#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  17
# Band-Index    1
   0.00000    -17.814148    -17.814148
   0.16111    -17.812257    -17.812257
   0.32221    -17.806106    -17.806105
   0.48332    -17.796251    -17.796251
   0.64443    -17.783241    -17.783241
   0.80554    -17.766200    -17.766200
   0.96664    -17.746305    -17.746305
   1.12775    -17.722185    -17.722185
   1.28886    -17.696126    -17.696126
   1.44997    -17.667312    -17.667312
   1.61107    -17.636017    -17.636017
   1.77218    -17.602524    -17.602524
   1.93329    -17.568197    -17.568197
   2.09440    -17.531298    -17.531298
   2.25550    -17.493191    -17.493191
   2.41661    -17.454236    -17.454236
   2.57772    -17.414788    -17.414788
   2.73882    -17.375214    -17.375214
   2.89993    -17.337023    -17.337023
   3.06104    -17.299438    -17.299438
   3.22215    -17.261726    -17.261726
   3.38325    -17.224785    -17.224785
   3.54436    -17.189846    -17.189846
   3.70547    -17.156669    -17.156669
   3.86658    -17.124022    -17.124022
   4.02768    -17.094892    -17.094892
   4.18879    -17.067933    -17.067933
   4.34990    -17.043613    -17.043613
   4.51100    -17.020860    -17.020860
   4.67211    -17.000078    -17.000077
   4.83322    -16.980063    -16.980063
   4.99433    -16.962933    -16.962933
   5.15543    -16.947535    -16.947535
   5.31654    -16.933806    -16.933806
   5.47765    -16.921875    -16.921875
   5.63876    -16.911126    -16.911126
   5.79986    -16.903043    -16.903043
   5.96097    -16.897082    -16.897083
   6.12208    -16.893074    -16.893074
   6.28319    -16.891847    -16.891847
   6.28319    -16.891847    -16.891847
   6.36374    -16.891717    -16.891717
   6.44429    -16.891335    -16.891335
   6.52485    -16.891367    -16.891367
   6.60540    -16.890502    -16.890502
   6.68595    -16.890100    -16.890100
   6.76651    -16.888815    -16.888815
   6.84706    -16.887353    -16.887353
   6.92761    -16.885754    -16.885754
   7.00817    -16.884670    -16.884670
   7.08872    -16.882961    -16.882962
   7.16928    -16.881311    -16.881311
   7.24983    -16.880242    -16.880242
   7.33038    -16.879052    -16.879052
   7.41094    -16.878640    -16.878641
   7.49149    -16.878687    -16.878687
   7.57204    -16.879597    -16.879597
