     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -19.74703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.64903     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.55203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.45403     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.35603     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.25903     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.16103     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.06303     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.96603     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.86803     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.77003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.67303     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.57503     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.47803     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.38003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.28203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.18503     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.08703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.98903     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.89203     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.79403     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.69603     0.00021     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00021
   -17.59903     0.00078     0.00001     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00082
   -17.50103     0.00164     0.00003     0.00001     0.00008     0.00000     0.00000     0.00000     0.00000     0.00001     0.00177
   -17.40403     0.00268     0.00008     0.00004     0.00018     0.00000     0.00000     0.00002     0.00000     0.00003     0.00302
   -17.30603     0.00391     0.00015     0.00007     0.00036     0.00000     0.00000     0.00004     0.00000     0.00008     0.00462
   -17.20803     0.00522     0.00028     0.00014     0.00062     0.00000     0.00000     0.00011     0.00000     0.00020     0.00657
   -17.11103     0.00652     0.00050     0.00029     0.00097     0.00000     0.00000     0.00028     0.00000     0.00044     0.00899
   -17.01303     0.00786     0.00083     0.00057     0.00138     0.00000     0.00000     0.00072     0.00000     0.00094     0.01230
   -16.91503     0.00928     0.00135     0.00105     0.00188     0.00000     0.00000     0.00194     0.00000     0.00200     0.01751
   -16.81803     0.01079     0.00231     0.00190     0.00247     0.00001     0.00001     0.00596     0.00000     0.00386     0.02730
   -16.72003     0.01163     0.00512     0.00419     0.00473     0.00001     0.00001     0.01263     0.00000     0.00628     0.04460
   -16.62203     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -16.52503     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -16.42703     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -16.33003     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -16.23203     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -16.13403     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -16.03703     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.93903     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.84103     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.74403     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.64603     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.54803     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.45103     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.35303     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.25603     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.15803     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -15.06003     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
   -14.96303     0.01171     0.00729     0.00594     0.00665     0.00001     0.00001     0.01617     0.00000     0.00759     0.05538
