      #Energy        TDOS-UP        TDOS-DOWN
     -19.74703       0.00000       0.00000
     -19.64903       0.00000       0.00000
     -19.55203       0.00000       0.00000
     -19.45403       0.00000       0.00000
     -19.35603       0.00000       0.00000
     -19.25903       0.00000       0.00000
     -19.16103       0.00000       0.00000
     -19.06303       0.00000       0.00000
     -18.96603       0.00000       0.00000
     -18.86803       0.00000       0.00000
     -18.77003       0.00000       0.00000
     -18.67303       0.00000       0.00000
     -18.57503       0.00000       0.00000
     -18.47803       0.00000       0.00000
     -18.38003       0.00000       0.00000
     -18.28203       0.00000       0.00000
     -18.18503       0.00000       0.00000
     -18.08703       0.00000       0.00000
     -17.98903       0.00000       0.00000
     -17.89203       0.00000       0.00000
     -17.79403       0.00000       0.00000
     -17.69603       0.00673      -0.00673
     -17.59903       0.02689      -0.02689
     -17.50103       0.05961      -0.05961
     -17.40403       0.10463      -0.10463
     -17.30603       0.16440      -0.16440
     -17.20803       0.24196      -0.24196
     -17.11103       0.34416      -0.34416
     -17.01303       0.48588      -0.48588
     -16.91503       0.70399      -0.70399
     -16.81803       1.09644      -1.09644
     -16.72003       1.91766      -1.91766
     -16.62203       2.48150      -2.48150
     -16.52503       2.48150      -2.48150
     -16.42703       2.48150      -2.48150
     -16.33003       2.48150      -2.48150
     -16.23203       2.48150      -2.48150
     -16.13403       2.48150      -2.48150
     -16.03703       2.48150      -2.48150
     -15.93903       2.48150      -2.48150
     -15.84103       2.48150      -2.48150
     -15.74403       2.48150      -2.48150
     -15.64603       2.48150      -2.48150
     -15.54803       2.48150      -2.48150
     -15.45103       2.48150      -2.48150
     -15.35303       2.48150      -2.48150
     -15.25603       2.48150      -2.48150
     -15.15803       2.48150      -2.48150
     -15.06003       2.48150      -2.48150
     -14.96303       2.48150      -2.48150
     -14.86503       2.48150      -2.48150
     -14.76703       2.48150      -2.48150
     -14.67003       2.48150      -2.48150
     -14.57203       2.48150      -2.48150
     -14.47403       2.48150      -2.48150
     -14.37703       2.48150      -2.48150
     -14.27903       2.48150      -2.48150
     -14.18203       2.48150      -2.48150
     -14.08403       2.48150      -2.48150
     -13.98603       2.48150      -2.48150
     -13.88903       2.48150      -2.48150
     -13.79103       2.48150      -2.48150
     -13.69303       2.48150      -2.48150
     -13.59603       2.48150      -2.48150
     -13.49803       2.48150      -2.48150
     -13.40103       2.48150      -2.48150
     -13.30303       2.48150      -2.48150
     -13.20503       2.48150      -2.48150
     -13.10803       2.48150      -2.48150
     -13.01003       2.48150      -2.48150
     -12.91203       2.48150      -2.48150
     -12.81503       2.48150      -2.48150
     -12.71703       2.48150      -2.48150
     -12.61903       2.48150      -2.48150
     -12.52203       2.48150      -2.48150
     -12.42403       2.48150      -2.48150
     -12.32703       2.48150      -2.48150
     -12.22903       2.48150      -2.48150
     -12.13103       2.48150      -2.48150
     -12.03403       2.48150      -2.48150
     -11.93603       2.48150      -2.48150
     -11.83803       2.48150      -2.48150
     -11.74103       2.48150      -2.48150
     -11.64303       2.48150      -2.48150
     -11.54503       2.48150      -2.48150
     -11.44803       2.48150      -2.48150
     -11.35003       2.48150      -2.48150
     -11.25303       2.48150      -2.48150
     -11.15503       2.48150      -2.48150
     -11.05703       2.48150      -2.48150
     -10.96003       2.48150      -2.48150
     -10.86203       2.48150      -2.48150
     -10.76403       2.48150      -2.48150
     -10.66703       2.48150      -2.48150
     -10.56903       2.48150      -2.48150
     -10.47103       2.48150      -2.48150
     -10.37403       2.48150      -2.48150
     -10.27603       2.48150      -2.48150
     -10.17903       2.48150      -2.48150
     -10.08103       2.48150      -2.48150
      -9.98303       2.48150      -2.48150
      -9.88603       2.48150      -2.48150
      -9.78803       2.48150      -2.48150
      -9.69003       2.48150      -2.48150
      -9.59303       2.48150      -2.48150
      -9.49503       2.48150      -2.48150
      -9.39703       2.48150      -2.48150
      -9.30003       2.48150      -2.48150
      -9.20203       2.48150      -2.48150
      -9.10503       2.48150      -2.48150
      -9.00703       2.48150      -2.48150
      -8.90903       2.48150      -2.48150
      -8.81203       2.48150      -2.48150
      -8.71403       2.48150      -2.48150
      -8.61603       2.48150      -2.48150
      -8.51903       2.48150      -2.48150
      -8.42103       2.48150      -2.48150
      -8.32303       2.48150      -2.48150
      -8.22603       2.48150      -2.48150
      -8.12803       2.48150      -2.48150
      -8.03103       2.48150      -2.48150
      -7.93303       2.48150      -2.48150
      -7.83503       2.48150      -2.48150
      -7.73803       2.48150      -2.48150
      -7.64003       2.48150      -2.48150
      -7.54203       2.48150      -2.48150
      -7.44503       2.48150      -2.48150
      -7.34703       2.48150      -2.48150
      -7.24903       2.48150      -2.48150
      -7.15203       2.48150      -2.48150
      -7.05403       2.48150      -2.48150
      -6.95703       2.48150      -2.48150
      -6.85903       2.48150      -2.48150
      -6.76103       2.48150      -2.48150
      -6.66403       2.48150      -2.48150
      -6.56603       2.48150      -2.48150
      -6.46803       2.48150      -2.48150
      -6.37103       2.48150      -2.48150
      -6.27303       2.48150      -2.48150
      -6.17503       2.48848      -2.48848
      -6.07803       2.51260      -2.51260
      -5.98003       2.55537      -2.55537
      -5.88303       2.61748      -2.61748
      -5.78503       2.71133      -2.71133
      -5.68703       2.86911      -2.86911
      -5.59003       3.10153      -3.10153
      -5.49203       3.34958      -3.34958
      -5.39403       3.52644      -3.52644
      -5.29703       3.67026      -3.67026
      -5.19903       3.91118      -3.91118
      -5.10103       4.25139      -4.25139
      -5.00403       4.65594      -4.65594
      -4.90603       5.16106      -5.16106
      -4.80903       5.51162      -5.51162
      -4.71103       5.64153      -5.64153
      -4.61303       5.83856      -5.83856
      -4.51603       6.08714      -6.08714
      -4.41803       6.34441      -6.34441
      -4.32003       6.60988      -6.60988
