#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  17
# Band-Index    1
   0.00000    -19.314991    -19.314991
   0.16111    -19.313152    -19.313152
   0.32221    -19.307151    -19.307151
   0.48332    -19.297550    -19.297550
   0.64443    -19.284897    -19.284897
   0.80554    -19.268293    -19.268293
   0.96664    -19.248930    -19.248930
   1.12775    -19.225396    -19.225396
   1.28886    -19.200000    -19.200000
   1.44997    -19.171893    -19.171893
   1.61107    -19.141333    -19.141333
   1.77218    -19.108580    -19.108580
   1.93329    -19.075003    -19.075003
   2.09440    -19.038788    -19.038788
   2.25550    -19.001297    -19.001297
   2.41661    -18.962856    -18.962856
   2.57772    -18.923789    -18.923789
   2.73882    -18.884425    -18.884425
   2.89993    -18.846245    -18.846245
   3.06104    -18.808383    -18.808383
   3.22215    -18.770152    -18.770152
   3.38325    -18.732375    -18.732375
   3.54436    -18.696291    -18.696291
   3.70547    -18.661646    -18.661646
   3.86658    -18.627086    -18.627086
   4.02768    -18.595916    -18.595916
   4.18879    -18.566707    -18.566707
   4.34990    -18.540164    -18.540164
   4.51100    -18.515253    -18.515253
   4.67211    -18.492554    -18.492554
   4.83322    -18.471000    -18.471000
   4.99433    -18.452799    -18.452799
   5.15543    -18.436844    -18.436844
   5.31654    -18.423113    -18.423113
   5.47765    -18.411571    -18.411571
   5.63876    -18.401512    -18.401512
   5.79986    -18.394276    -18.394276
   5.96097    -18.389130    -18.389130
   6.12208    -18.385614    -18.385614
   6.28319    -18.384594    -18.384594
   6.28319    -18.384594    -18.384594
   6.36374    -18.384453    -18.384453
   6.44429    -18.384031    -18.384031
   6.52485    -18.383974    -18.383974
   6.60540    -18.383019    -18.383019
   6.68595    -18.382462    -18.382462
   6.76651    -18.381011    -18.381011
   6.84706    -18.379345    -18.379345
   6.92761    -18.377526    -18.377526
   7.00817    -18.376387    -18.376387
   7.08872    -18.375242    -18.375242
   7.16928    -18.376093    -18.376093
   7.24983    -18.378719    -18.378719
   7.33038    -18.381593    -18.381593
   7.41094    -18.385439    -18.385439
   7.49149    -18.389065    -18.389065
   7.57204    -18.392726    -18.392726
   7.65260    -18.396591    -18.396591
   7.73315    -18.400521    -18.400521
   7.81370    -18.404485    -18.404485
   7.89426    -18.408456    -18.408456
   7.97481    -18.412410    -18.412410
   8.05537    -18.416318    -18.416318
   8.13592    -18.420056    -18.420056
   8.21647    -18.423805    -18.423805
   8.29703    -18.427433    -18.427433
   8.37758    -18.431860    -18.431860
   8.45813    -18.434619    -18.434619
   8.53869    -18.437773    -18.437773
   8.61924    -18.440720    -18.440720
   8.69980    -18.443443    -18.443443
   8.78035    -18.446175    -18.446175
   8.86090    -18.448402    -18.448402
   8.94146    -18.450359    -18.450359
   9.02201    -18.452163    -18.452163
   9.10256    -18.453552    -18.453552
   9.18312    -18.454640    -18.454640
   9.26367    -18.455420    -18.455420
   9.34422    -18.456134    -18.456134
   9.42478    -18.456576    -18.456576
   9.42478    -18.456576    -18.456576
   9.63015    -18.493770    -18.493770
   9.83552    -18.534926    -18.534926
  10.04089    -18.579057    -18.579057
  10.24627    -18.625863    -18.625863
  10.45164    -18.674999    -18.674999
  10.65701    -18.725650    -18.725650
  10.86238    -18.776488    -18.776488
  11.06776    -18.827689    -18.827689
  11.27313    -18.878380    -18.878380
  11.47850    -18.928008    -18.928008
  11.68387    -18.975524    -18.975524
  11.88925    -19.020309    -19.020309
  12.09462    -19.062524    -19.062524
  12.29999    -19.100400    -19.100400
  12.50536    -19.134306    -19.134306
  12.71074    -19.163809    -19.163809
  12.91611    -19.188594    -19.188594
  13.12148    -19.208053    -19.208053
  13.32685    -19.222113    -19.222113
  13.53222    -19.230610    -19.230610
  13.73760    -19.233449    -19.233449
  13.94297    -19.231127    -19.231127
  14.14834    -19.222367    -19.222367
  14.35371    -19.208053    -19.208053
  14.55909    -19.188070    -19.188070
  14.76446    -19.163319    -19.163319
  14.96983    -19.134085    -19.134085
  15.17520    -19.100306    -19.100306
  15.38058    -19.062005    -19.062005
  15.58595    -19.020309    -19.020309
  15.79132    -18.975240    -18.975240
  15.99669    -18.928114    -18.928114
  16.20207    -18.878353    -18.878353
  16.40744    -18.827810    -18.827810
  16.61281    -18.776652    -18.776652
  16.81818    -18.725453    -18.725453
  17.02355    -18.675055    -18.675055
  17.22893    -18.626001    -18.626001
  17.43430    -18.579338    -18.579338
  17.43430    -18.579338    -18.579338
  17.60518    -18.604877    -18.604877
  17.77606    -18.630050    -18.630050
  17.94694    -18.654273    -18.654273
  18.11782    -18.677637    -18.677637
  18.28870    -18.699021    -18.699021
  18.45958    -18.718813    -18.718813
  18.63046    -18.736245    -18.736245
  18.80134    -18.751254    -18.751254
  18.97222    -18.763583    -18.763583
  19.14310    -18.774122    -18.774122
  19.31398    -18.781906    -18.781906
  19.48486    -18.787225    -18.787225
  19.65574    -18.789168    -18.789168
  19.82662    -18.787396    -18.787396
  19.99750    -18.782267    -18.782267
  20.16838    -18.774731    -18.774731
  20.33926    -18.764573    -18.764573
  20.51014    -18.752975    -18.752975
  20.68102    -18.740163    -18.740163
  20.85190    -18.740278    -18.740278
  21.02278    -18.777754    -18.777754
  21.19366    -18.821741    -18.821741
  21.36454    -18.867025    -18.867025
  21.53542    -18.911568    -18.911568
  21.70630    -18.956196    -18.956196
  21.87718    -18.999427    -18.999427
  22.04806    -19.041089    -19.041089
  22.21894    -19.080272    -19.080272
  22.38982    -19.117721    -19.117721
  22.56070    -19.152566    -19.152566
  22.73158    -19.184548    -19.184548
  22.90246    -19.213377    -19.213377
  23.07334    -19.240144    -19.240144
  23.24422    -19.262566    -19.262566
  23.41510    -19.280973    -19.280973
  23.58598    -19.295727    -19.295727
  23.75686    -19.306485    -19.306485
  23.92774    -19.312923    -19.312923
  24.09862    -19.314991    -19.314991
  24.09862    -19.314991    -19.314991
  24.23815    -19.313613    -19.313613
  24.37767    -19.309480    -19.309480
  24.51719    -19.301891    -19.301891
  24.65672    -19.292334    -19.292334
  24.79624    -19.280113    -19.280113
  24.93576    -19.264897    -19.264897
  25.07528    -19.246755    -19.246755
  25.21481    -19.226977    -19.226977
  25.35433    -19.204053    -19.204053
  25.49385    -19.179685    -19.179685
  25.63338    -19.152450    -19.152450
  25.77290    -19.124428    -19.124428
  25.91242    -19.094173    -19.094173
  26.05195    -19.062263    -19.062263
  26.19147    -19.028789    -19.028789
  26.33099    -18.994223    -18.994223
  26.47051    -18.958820    -18.958820
  26.61004    -18.924165    -18.924164
  26.74956    -18.892341    -18.892341
  26.88908    -18.892341    -18.892341
  27.02861    -18.924165    -18.924165
  27.16813    -18.958820    -18.958820
  27.30765    -18.994223    -18.994223
  27.44718    -19.028789    -19.028789
  27.58670    -19.062263    -19.062263
  27.72622    -19.094173    -19.094173
  27.86575    -19.124428    -19.124428
  28.00527    -19.152450    -19.152450
  28.14479    -19.179685    -19.179685
  28.28431    -19.204053    -19.204053
  28.42384    -19.226977    -19.226977
  28.56336    -19.246755    -19.246755
  28.70288    -19.264897    -19.264897
  28.84241    -19.280113    -19.280113
  28.98193    -19.292334    -19.292334
  29.12145    -19.301891    -19.301891
  29.26098    -19.309480    -19.309480
  29.40050    -19.313613    -19.313613
  29.54002    -19.314991    -19.314991
 
# Band-Index    2
  29.54002    -18.354986    -18.354986
  29.40050    -18.356746    -18.356746
  29.26098    -18.362397    -18.362397
  29.12145    -18.372002    -18.372002
  28.98193    -18.384111    -18.384111
  28.84241    -18.399478    -18.399477
  28.70288    -18.417958    -18.417958
  28.56336    -18.439912    -18.439912
  28.42384    -18.464498    -18.464498
  28.28431    -18.491267    -18.491267
  28.14479    -18.519613    -18.519613
  28.00527    -18.550782    -18.550782
  27.86575    -18.583758    -18.583758
  27.72622    -18.618266    -18.618266
  27.58670    -18.654035    -18.654035
  27.44718    -18.690759    -18.690759
  27.30765    -18.727425    -18.727425
  27.16813    -18.764994    -18.764994
  27.02861    -18.801957    -18.801957
  26.88908    -18.834524    -18.834524
  26.74956    -18.834524    -18.834524
  26.61004    -18.801957    -18.801957
  26.47051    -18.764994    -18.764994
  26.33099    -18.727425    -18.727425
  26.19147    -18.690759    -18.690759
  26.05195    -18.654035    -18.654035
  25.91242    -18.618266    -18.618266
  25.77290    -18.583758    -18.583758
  25.63338    -18.550782    -18.550782
  25.49385    -18.519613    -18.519613
  25.35433    -18.491267    -18.491267
  25.21481    -18.464498    -18.464498
  25.07528    -18.439912    -18.439912
  24.93576    -18.417958    -18.417958
  24.79624    -18.399478    -18.399477
  24.65672    -18.384111    -18.384111
  24.51719    -18.372002    -18.372002
  24.37767    -18.362397    -18.362397
  24.23815    -18.356746    -18.356746
  24.09862    -18.354986    -18.354986
  24.09862    -18.354986    -18.354986
  23.92774    -18.357098    -18.357099
  23.75686    -18.362433    -18.362433
  23.58598    -18.370731    -18.370731
  23.41510    -18.382133    -18.382133
  23.24422    -18.396429    -18.396429
  23.07334    -18.413665    -18.413665
  22.90246    -18.433579    -18.433579
  22.73158    -18.454930    -18.454930
  22.56070    -18.478419    -18.478419
  22.38982    -18.501975    -18.501975
  22.21894    -18.526705    -18.526705
  22.04806    -18.552623    -18.552623
  21.87718    -18.578542    -18.578542
  21.70630    -18.603957    -18.603957
  21.53542    -18.628945    -18.628945
  21.36454    -18.652875    -18.652875
  21.19366    -18.675689    -18.675689
  21.02278    -18.695688    -18.695688
  20.85190    -18.707541    -18.707541
  20.68102    -18.680480    -18.680480
