      #Energy        TDOS-UP        TDOS-DOWN
     -21.29982       0.00000       0.00000
     -21.21082       0.00000       0.00000
     -21.12082       0.00000       0.00000
     -21.03182       0.00000       0.00000
     -20.94182       0.00000       0.00000
     -20.85282       0.00000       0.00000
     -20.76382       0.00000       0.00000
     -20.67382       0.00000       0.00000
     -20.58482       0.00000       0.00000
     -20.49482       0.00000       0.00000
     -20.40582       0.00000       0.00000
     -20.31682       0.00000       0.00000
     -20.22682       0.00000       0.00000
     -20.13782       0.00000       0.00000
     -20.04782       0.00000       0.00000
     -19.95882       0.00000       0.00000
     -19.86982       0.00000       0.00000
     -19.77982       0.00000       0.00000
     -19.69082       0.00000       0.00000
     -19.60082       0.00000       0.00000
     -19.51182       0.00000       0.00000
     -19.42282       0.00000       0.00000
     -19.33282       0.00000       0.00000
     -19.24382       0.00706      -0.00706
     -19.15382       0.02684      -0.02684
     -19.06482       0.05747      -0.05747
     -18.97582       0.09886      -0.09886
     -18.88582       0.15289      -0.15289
     -18.79682       0.22091      -0.22091
     -18.70682       0.30736      -0.30736
     -18.61782       0.42135      -0.42135
     -18.52882       0.57775      -0.57775
     -18.43882       0.81793      -0.81793
     -18.34982       1.33480      -1.33480
     -18.25982       1.70291      -1.70291
     -18.17082       1.70291      -1.70291
     -18.08182       1.70291      -1.70291
     -17.99182       1.70291      -1.70291
     -17.90282       1.70291      -1.70291
     -17.81282       1.70291      -1.70291
     -17.72382       1.70291      -1.70291
     -17.63482       1.70291      -1.70291
     -17.54482       1.70291      -1.70291
     -17.45582       1.70291      -1.70291
     -17.36582       1.70291      -1.70291
     -17.27682       1.70291      -1.70291
     -17.18782       1.70291      -1.70291
     -17.09782       1.70291      -1.70291
     -17.00882       1.70291      -1.70291
     -16.91882       1.70291      -1.70291
     -16.82982       1.70291      -1.70291
     -16.74082       1.70291      -1.70291
     -16.65082       1.70291      -1.70291
     -16.56182       1.70291      -1.70291
     -16.47182       1.70291      -1.70291
     -16.38282       1.70291      -1.70291
     -16.29382       1.70291      -1.70291
     -16.20382       1.70291      -1.70291
     -16.11482       1.70291      -1.70291
     -16.02482       1.70291      -1.70291
     -15.93582       1.70291      -1.70291
     -15.84682       1.70291      -1.70291
     -15.75682       1.70291      -1.70291
     -15.66782       1.70291      -1.70291
     -15.57782       1.70291      -1.70291
     -15.48882       1.70291      -1.70291
     -15.39882       1.70291      -1.70291
     -15.30982       1.70291      -1.70291
     -15.22082       1.70291      -1.70291
     -15.13082       1.70291      -1.70291
     -15.04182       1.70291      -1.70291
     -14.95182       1.70291      -1.70291
     -14.86282       1.70291      -1.70291
     -14.77382       1.70291      -1.70291
     -14.68382       1.70291      -1.70291
     -14.59482       1.70291      -1.70291
     -14.50482       1.70291      -1.70291
     -14.41582       1.70291      -1.70291
     -14.32682       1.70291      -1.70291
     -14.23682       1.70291      -1.70291
     -14.14782       1.70291      -1.70291
     -14.05782       1.70291      -1.70291
     -13.96882       1.70291      -1.70291
     -13.87982       1.70291      -1.70291
     -13.78982       1.70291      -1.70291
     -13.70082       1.70291      -1.70291
     -13.61082       1.70291      -1.70291
     -13.52182       1.70291      -1.70291
     -13.43282       1.70291      -1.70291
     -13.34282       1.70291      -1.70291
     -13.25382       1.70291      -1.70291
     -13.16382       1.70291      -1.70291
     -13.07482       1.70291      -1.70291
     -12.98582       1.70291      -1.70291
     -12.89582       1.70291      -1.70291
     -12.80682       1.70291      -1.70291
     -12.71682       1.70291      -1.70291
     -12.62782       1.70291      -1.70291
     -12.53882       1.70291      -1.70291
     -12.44882       1.70291      -1.70291
     -12.35982       1.70291      -1.70291
     -12.26982       1.70291      -1.70291
     -12.18082       1.70291      -1.70291
     -12.09182       1.70291      -1.70291
     -12.00182       1.70291      -1.70291
     -11.91282       1.70291      -1.70291
     -11.82282       1.70291      -1.70291
     -11.73382       1.70291      -1.70291
     -11.64482       1.70291      -1.70291
     -11.55482       1.70291      -1.70291
     -11.46582       1.70291      -1.70291
     -11.37582       1.70291      -1.70291
     -11.28682       1.70291      -1.70291
     -11.19782       1.70291      -1.70291
     -11.10782       1.70291      -1.70291
     -11.01882       1.70291      -1.70291
     -10.92882       1.70291      -1.70291
     -10.83982       1.70291      -1.70291
     -10.75082       1.70291      -1.70291
     -10.66082       1.70291      -1.70291
     -10.57182       1.70291      -1.70291
     -10.48182       1.70291      -1.70291
     -10.39282       1.70291      -1.70291
     -10.30382       1.70291      -1.70291
     -10.21382       1.70291      -1.70291
     -10.12482       1.70291      -1.70291
     -10.03482       1.70291      -1.70291
      -9.94582       1.70291      -1.70291
      -9.85682       1.70291      -1.70291
      -9.76682       1.70291      -1.70291
      -9.67782       1.70291      -1.70291
      -9.58782       1.70291      -1.70291
      -9.49882       1.70291      -1.70291
      -9.40982       1.70291      -1.70291
      -9.31982       1.70291      -1.70291
      -9.23082       1.70291      -1.70291
      -9.14082       1.70291      -1.70291
      -9.05182       1.70291      -1.70291
      -8.96282       1.70291      -1.70291
      -8.87282       1.70291      -1.70291
      -8.78382       1.70291      -1.70291
      -8.69382       1.70291      -1.70291
      -8.60482       1.70291      -1.70291
      -8.51582       1.70291      -1.70291
      -8.42582       1.70291      -1.70291
      -8.33682       1.70291      -1.70291
      -8.24682       1.70291      -1.70291
      -8.15782       1.70291      -1.70291
      -8.06882       1.70291      -1.70291
      -7.97882       1.70291      -1.70291
      -7.88982       1.70291      -1.70291
      -7.79982       1.70291      -1.70291
      -7.71082       1.70291      -1.70291
      -7.62182       1.70291      -1.70291
      -7.53182       1.70291      -1.70291
      -7.44282       1.70291      -1.70291
      -7.35282       1.70291      -1.70291
      -7.26382       1.70291      -1.70291
      -7.17482       1.70291      -1.70291
      -7.08482       1.70892      -1.70892
      -6.99582       1.72677      -1.72677
      -6.90582       1.75504      -1.75504
      -6.81682       1.79240      -1.79240
      -6.72782       1.83883      -1.83883
      -6.63782       1.89493      -1.89493
      -6.54882       1.96241      -1.96241
      -6.45882       2.04465      -2.04465
      -6.36982       2.15042      -2.15042
      -6.28082       2.29770      -2.29770
      -6.19082       2.46891      -2.46891
      -6.10182       2.63926      -2.63926
      -6.01182       2.83791      -2.83791
      -5.92282       3.03428      -3.03428
      -5.83382       3.18331      -3.18331
      -5.74382       3.30226      -3.30226
      -5.65482       3.38356      -3.38356
      -5.56482       3.43056      -3.43056
