      #Energy        TDOS-UP        TDOS-DOWN
     -21.29982       0.00000       0.00000
     -21.21082       0.00000       0.00000
     -21.12082       0.00000       0.00000
     -21.03182       0.00000       0.00000
     -20.94182       0.00000       0.00000
     -20.85282       0.00000       0.00000
     -20.76382       0.00000       0.00000
     -20.67382       0.00000       0.00000
     -20.58482       0.00000       0.00000
     -20.49482       0.00000       0.00000
     -20.40582       0.00000       0.00000
     -20.31682       0.00000       0.00000
     -20.22682       0.00000       0.00000
     -20.13782       0.00000       0.00000
     -20.04782       0.00000       0.00000
     -19.95882       0.00000       0.00000
     -19.86982       0.00000       0.00000
     -19.77982       0.00000       0.00000
     -19.69082       0.00000       0.00000
     -19.60082       0.00000       0.00000
     -19.51182       0.00000       0.00000
     -19.42282       0.00000       0.00000
     -19.33282       0.00000       0.00000
     -19.24382       0.15790      -0.15790
     -19.15382       0.28470      -0.28470
     -19.06482       0.40050      -0.40050
     -18.97582       0.52530      -0.52530
     -18.88582       0.68350      -0.68350
     -18.79682       0.83810      -0.83810
     -18.70682       1.09600      -1.09600
     -18.61782       1.45400      -1.45400
     -18.52882       2.04500      -2.04500
     -18.43882       3.32800      -3.32800
     -18.34982       8.23500      -8.23500
     -18.25982       0.00000       0.00000
     -18.17082       0.00000       0.00000
     -18.08182       0.00000       0.00000
     -17.99182       0.00000       0.00000
     -17.90282       0.00000       0.00000
     -17.81282       0.00000       0.00000
     -17.72382       0.00000       0.00000
     -17.63482       0.00000       0.00000
     -17.54482       0.00000       0.00000
     -17.45582       0.00000       0.00000
     -17.36582       0.00000       0.00000
     -17.27682       0.00000       0.00000
     -17.18782       0.00000       0.00000
     -17.09782       0.00000       0.00000
     -17.00882       0.00000       0.00000
     -16.91882       0.00000       0.00000
     -16.82982       0.00000       0.00000
     -16.74082       0.00000       0.00000
     -16.65082       0.00000       0.00000
     -16.56182       0.00000       0.00000
     -16.47182       0.00000       0.00000
     -16.38282       0.00000       0.00000
     -16.29382       0.00000       0.00000
     -16.20382       0.00000       0.00000
     -16.11482       0.00000       0.00000
     -16.02482       0.00000       0.00000
     -15.93582       0.00000       0.00000
     -15.84682       0.00000       0.00000
     -15.75682       0.00000       0.00000
     -15.66782       0.00000       0.00000
     -15.57782       0.00000       0.00000
     -15.48882       0.00000       0.00000
     -15.39882       0.00000       0.00000
     -15.30982       0.00000       0.00000
     -15.22082       0.00000       0.00000
     -15.13082       0.00000       0.00000
     -15.04182       0.00000       0.00000
     -14.95182       0.00000       0.00000
     -14.86282       0.00000       0.00000
     -14.77382       0.00000       0.00000
     -14.68382       0.00000       0.00000
     -14.59482       0.00000       0.00000
     -14.50482       0.00000       0.00000
     -14.41582       0.00000       0.00000
     -14.32682       0.00000       0.00000
     -14.23682       0.00000       0.00000
     -14.14782       0.00000       0.00000
     -14.05782       0.00000       0.00000
     -13.96882       0.00000       0.00000
     -13.87982       0.00000       0.00000
     -13.78982       0.00000       0.00000
     -13.70082       0.00000       0.00000
     -13.61082       0.00000       0.00000
     -13.52182       0.00000       0.00000
     -13.43282       0.00000       0.00000
     -13.34282       0.00000       0.00000
     -13.25382       0.00000       0.00000
     -13.16382       0.00000       0.00000
     -13.07482       0.00000       0.00000
     -12.98582       0.00000       0.00000
     -12.89582       0.00000       0.00000
     -12.80682       0.00000       0.00000
     -12.71682       0.00000       0.00000
     -12.62782       0.00000       0.00000
     -12.53882       0.00000       0.00000
     -12.44882       0.00000       0.00000
     -12.35982       0.00000       0.00000
     -12.26982       0.00000       0.00000
     -12.18082       0.00000       0.00000
     -12.09182       0.00000       0.00000
     -12.00182       0.00000       0.00000
     -11.91282       0.00000       0.00000
     -11.82282       0.00000       0.00000
     -11.73382       0.00000       0.00000
     -11.64482       0.00000       0.00000
     -11.55482       0.00000       0.00000
     -11.46582       0.00000       0.00000
     -11.37582       0.00000       0.00000
     -11.28682       0.00000       0.00000
     -11.19782       0.00000       0.00000
     -11.10782       0.00000       0.00000
     -11.01882       0.00000       0.00000
     -10.92882       0.00000       0.00000
     -10.83982       0.00000       0.00000
     -10.75082       0.00000       0.00000
     -10.66082       0.00000       0.00000
     -10.57182       0.00000       0.00000
     -10.48182       0.00000       0.00000
     -10.39282       0.00000       0.00000
     -10.30382       0.00000       0.00000
     -10.21382       0.00000       0.00000
     -10.12482       0.00000       0.00000
     -10.03482       0.00000       0.00000
      -9.94582       0.00000       0.00000
      -9.85682       0.00000       0.00000
      -9.76682       0.00000       0.00000
      -9.67782       0.00000       0.00000
      -9.58782       0.00000       0.00000
      -9.49882       0.00000       0.00000
      -9.40982       0.00000       0.00000
      -9.31982       0.00000       0.00000
      -9.23082       0.00000       0.00000
      -9.14082       0.00000       0.00000
      -9.05182       0.00000       0.00000
      -8.96282       0.00000       0.00000
      -8.87282       0.00000       0.00000
      -8.78382       0.00000       0.00000
      -8.69382       0.00000       0.00000
      -8.60482       0.00000       0.00000
      -8.51582       0.00000       0.00000
      -8.42582       0.00000       0.00000
      -8.33682       0.00000       0.00000
      -8.24682       0.00000       0.00000
      -8.15782       0.00000       0.00000
      -8.06882       0.00000       0.00000
      -7.97882       0.00000       0.00000
      -7.88982       0.00000       0.00000
      -7.79982       0.00000       0.00000
      -7.71082       0.00000       0.00000
      -7.62182       0.00000       0.00000
      -7.53182       0.00000       0.00000
      -7.44282       0.00000       0.00000
      -7.35282       0.00000       0.00000
      -7.26382       0.00000       0.00000
      -7.17482       0.00000       0.00000
      -7.08482       0.13450      -0.13450
      -6.99582       0.26470      -0.26470
      -6.90582       0.36780      -0.36780
      -6.81682       0.46810      -0.46810
      -6.72782       0.57040      -0.57040
      -6.63782       0.68480      -0.68480
      -6.54882       0.82480      -0.82480
      -6.45882       1.01500      -1.01500
      -6.36982       1.35100      -1.35100
      -6.28082       1.94400      -1.94400
      -6.19082       1.88600      -1.88600
      -6.10182       1.92500      -1.92500
      -6.01182       2.51900      -2.51900
      -5.92282       1.87400      -1.87400
      -5.83382       1.46000      -1.46000
      -5.74382       1.20100      -1.20100
      -5.65482       0.61790      -0.61790
      -5.56482       0.43350      -0.43350
      -5.47582       0.63600      -0.63600
      -5.38682       0.95420      -0.95420
      -5.29682       1.35700      -1.35700
      -5.20782       2.08900      -2.08900
      -5.11782       1.88700      -1.88700
      -5.02882       2.13200      -2.13200
      -4.93982       2.24200      -2.24200
