 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
  0.0000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0298  0.11312521E+03  0.11312521E+03  0.11312521E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0597  0.42276072E+03  0.42276072E+03  0.42276072E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0895  0.84670513E+03  0.84670513E+03  0.84670513E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1194  0.12809501E+04  0.12809501E+04  0.12809501E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1492  0.16230494E+04  0.16230494E+04  0.16230494E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1791  0.18037489E+04  0.18037489E+04  0.18037489E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2089  0.17891623E+04  0.17891623E+04  0.17891623E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2387  0.15859633E+04  0.15859633E+04  0.15859633E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2686  0.12262919E+04  0.12262919E+04  0.12262919E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2984  0.75281484E+03  0.75281484E+03  0.75281484E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3283  0.20648647E+03  0.20648647E+03  0.20648647E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3581  0.38645447E+03  0.38645447E+03  0.38645447E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3879  0.10151082E+04  0.10151082E+04  0.10151082E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4178  0.16852218E+04  0.16852218E+04  0.16852218E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4476  0.24109012E+04  0.24109012E+04  0.24109012E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4775  0.32096191E+04  0.32096191E+04  0.32096191E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5073  0.40950647E+04  0.40950647E+04  0.40950647E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5372  0.50805177E+04  0.50805177E+04  0.50805177E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5670  0.61801387E+04  0.61801387E+04  0.61801387E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5968  0.74211874E+04  0.74211874E+04  0.74211874E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6267  0.88573705E+04  0.88573705E+04  0.88573705E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6565  0.10564585E+05  0.10564585E+05  0.10564585E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6864  0.12650412E+05  0.12650412E+05  0.12650412E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7162  0.15220726E+05  0.15220726E+05  0.15220726E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7460  0.18363341E+05  0.18363341E+05  0.18363341E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7759  0.22105966E+05  0.22105966E+05  0.22105966E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8057  0.26370740E+05  0.26370740E+05  0.26370740E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8356  0.30976161E+05  0.30976161E+05  0.30976161E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8654  0.35604329E+05  0.35604329E+05  0.35604329E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8953  0.39863606E+05  0.39863606E+05  0.39863606E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9251  0.43299491E+05  0.43299491E+05  0.43299491E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9549  0.45499549E+05  0.45499549E+05  0.45499549E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9848  0.46162967E+05  0.46162967E+05  0.46162967E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0146  0.45163845E+05  0.45163845E+05  0.45163845E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0445  0.42629825E+05  0.42629825E+05  0.42629825E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0743  0.38896414E+05  0.38896414E+05  0.38896414E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1041  0.34482199E+05  0.34482199E+05  0.34482199E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1340  0.29951617E+05  0.29951617E+05  0.29951617E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1638  0.25798607E+05  0.25798607E+05  0.25798607E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1937  0.22377023E+05  0.22377023E+05  0.22377023E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2235  0.19862007E+05  0.19862007E+05  0.19862007E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2534  0.18287413E+05  0.18287413E+05  0.18287413E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2832  0.17588417E+05  0.17588417E+05  0.17588417E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3130  0.17673650E+05  0.17673650E+05  0.17673650E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3429  0.18480778E+05  0.18480778E+05  0.18480778E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3727  0.20008734E+05  0.20008734E+05  0.20008734E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4026  0.22355816E+05  0.22355816E+05  0.22355816E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4324  0.25713136E+05  0.25713136E+05  0.25713136E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4622  0.30347801E+05  0.30347801E+05  0.30347801E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4921  0.36567561E+05  0.36567561E+05  0.36567561E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5219  0.44639853E+05  0.44639853E+05  0.44639853E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5518  0.54751990E+05  0.54751990E+05  0.54751990E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5816  0.66914073E+05  0.66914073E+05  0.66914073E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6115  0.80944845E+05  0.80944845E+05  0.80944845E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6413  0.96425158E+05  0.96425158E+05  0.96425158E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6711  0.11276254E+06  0.11276254E+06  0.11276254E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7010  0.12924407E+06  0.12924407E+06  0.12924407E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7308  0.14512481E+06  0.14512481E+06  0.14512481E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7607  0.15979920E+06  0.15979920E+06  0.15979920E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7905  0.17286604E+06  0.17286604E+06  0.17286604E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.8204  0.18427587E+06  0.18427587E+06  0.18427587E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.8502  0.19426412E+06  0.19426412E+06  0.19426412E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.8800  0.20334659E+06  0.20334659E+06  0.20334659E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9099  0.21213955E+06  0.21213955E+06  0.21213955E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9397  0.22116038E+06  0.22116038E+06  0.22116038E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9696  0.23075889E+06  0.23075889E+06  0.23075889E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9994  0.24098763E+06  0.24098763E+06  0.24098763E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.0292  0.25172273E+06  0.25172273E+06  0.25172273E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.0591  0.26274604E+06  0.26274604E+06  0.26274604E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.0889  0.27385773E+06  0.27385773E+06  0.27385773E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.1188  0.28507385E+06  0.28507385E+06  0.28507385E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.1486  0.29659339E+06  0.29659339E+06  0.29659339E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.1785  0.30885723E+06  0.30885723E+06  0.30885723E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.2083  0.32234505E+06  0.32234505E+06  0.32234505E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.2381  0.33749548E+06  0.33749548E+06  0.33749548E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.2680  0.35451440E+06  0.35451440E+06  0.35451440E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.2978  0.37320333E+06  0.37320333E+06  0.37320333E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.3277  0.39306005E+06  0.39306005E+06  0.39306005E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.3575  0.41318534E+06  0.41318534E+06  0.41318534E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.3873  0.43254766E+06  0.43254766E+06  0.43254766E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.4172  0.45011344E+06  0.45011344E+06  0.45011344E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.4470  0.46497059E+06  0.46497059E+06  0.46497059E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.4769  0.47664206E+06  0.47664206E+06  0.47664206E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5067  0.48501447E+06  0.48501447E+06  0.48501447E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5366  0.49051361E+06  0.49051361E+06  0.49051361E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5664  0.49382195E+06  0.49382195E+06  0.49382195E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5962  0.49582700E+06  0.49582700E+06  0.49582700E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6261  0.49731313E+06  0.49731313E+06  0.49731313E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6559  0.49871656E+06  0.49871656E+06  0.49871656E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6858  0.50016177E+06  0.50016177E+06  0.50016177E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
