 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  0.0000  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.0298 -0.14604624E-02 -0.14604624E-02 -0.14604624E-02             NaN             NaN             NaN
  0.0597 -0.26801620E-02 -0.26801620E-02 -0.26801620E-02             NaN             NaN             NaN
  0.0895 -0.34957350E-02 -0.34957350E-02 -0.34957350E-02             NaN             NaN             NaN
  0.1194 -0.38555903E-02 -0.38555903E-02 -0.38555903E-02             NaN             NaN             NaN
  0.1492 -0.38015374E-02 -0.38015374E-02 -0.38015374E-02             NaN             NaN             NaN
  0.1791 -0.34307835E-02 -0.34307835E-02 -0.34307835E-02             NaN             NaN             NaN
  0.2089 -0.28557013E-02 -0.28557013E-02 -0.28557013E-02             NaN             NaN             NaN
  0.2387 -0.21783953E-02 -0.21783953E-02 -0.21783953E-02             NaN             NaN             NaN
  0.2686 -0.14782043E-02 -0.14782043E-02 -0.14782043E-02             NaN             NaN             NaN
  0.2984 -0.80943293E-03 -0.80943293E-03 -0.80943293E-03             NaN             NaN             NaN
  0.3283 -0.20043887E-03 -0.20043887E-03 -0.20043887E-03             NaN             NaN             NaN
  0.3581  0.34204884E-03  0.34204884E-03  0.34204884E-03             NaN             NaN             NaN
  0.3879  0.82531085E-03  0.82531085E-03  0.82531085E-03             NaN             NaN             NaN
  0.4178  0.12655871E-02  0.12655871E-02  0.12655871E-02             NaN             NaN             NaN
  0.4476  0.16807218E-02  0.16807218E-02  0.16807218E-02             NaN             NaN             NaN
  0.4775  0.20848487E-02  0.20848487E-02  0.20848487E-02             NaN             NaN             NaN
  0.5073  0.24874944E-02  0.24874944E-02  0.24874944E-02             NaN             NaN             NaN
  0.5372  0.28939037E-02  0.28939037E-02  0.28939037E-02             NaN             NaN             NaN
  0.5670  0.33097176E-02  0.33097176E-02  0.33097176E-02             NaN             NaN             NaN
  0.5968  0.37439108E-02  0.37439108E-02  0.37439108E-02             NaN             NaN             NaN
  0.6267  0.42150751E-02  0.42150751E-02  0.42150751E-02             NaN             NaN             NaN
  0.6565  0.47494570E-02  0.47494570E-02  0.47494570E-02             NaN             NaN             NaN
  0.6864  0.53799313E-02  0.53799313E-02  0.53799313E-02             NaN             NaN             NaN
  0.7162  0.61376959E-02  0.61376959E-02  0.61376959E-02             NaN             NaN             NaN
  0.7460  0.70450161E-02  0.70450161E-02  0.70450161E-02             NaN             NaN             NaN
  0.7759  0.81073613E-02  0.81073613E-02  0.81073613E-02             NaN             NaN             NaN
  0.8057  0.93080335E-02  0.93080335E-02  0.93080335E-02             NaN             NaN             NaN
  0.8356  0.10607121E-01  0.10607121E-01  0.10607121E-01             NaN             NaN             NaN
  0.8654  0.11937879E-01  0.11937879E-01  0.11937879E-01             NaN             NaN             NaN
  0.8953  0.13209213E-01  0.13209213E-01  0.13209213E-01             NaN             NaN             NaN
  0.9251  0.14303245E-01  0.14303245E-01  0.14303245E-01             NaN             NaN             NaN
  0.9549  0.15081671E-01  0.15081671E-01  0.15081671E-01             NaN             NaN             NaN
  0.9848  0.15402940E-01  0.15402940E-01  0.15402940E-01             NaN             NaN             NaN
  1.0146  0.15155488E-01  0.15155488E-01  0.15155488E-01             NaN             NaN             NaN
  1.0445  0.14304251E-01  0.14304251E-01  0.14304251E-01             NaN             NaN             NaN
  1.0743  0.12926813E-01  0.12926813E-01  0.12926813E-01             NaN             NaN             NaN
  1.1041  0.11214451E-01  0.11214451E-01  0.11214451E-01             NaN             NaN             NaN
  1.1340  0.94153449E-02  0.94153449E-02  0.94153449E-02             NaN             NaN             NaN
