 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  0.0000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0298  0.37454118E-01  0.37454118E-01  0.37454118E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0597  0.69867743E-01  0.69867743E-01  0.69867743E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0895  0.93339522E-01  0.93339522E-01  0.93339522E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1194  0.10584840E+00  0.10584840E+00  0.10584840E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1492  0.10732956E+00  0.10732956E+00  0.10732956E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1791  0.99365794E-01  0.99365794E-01  0.99365794E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2089  0.84502140E-01  0.84502140E-01  0.84502140E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2387  0.65553688E-01  0.65553688E-01  0.65553688E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2686  0.45044758E-01  0.45044758E-01  0.45044758E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2984  0.24891196E-01  0.24891196E-01  0.24891196E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3283  0.62055052E-02  0.62055052E-02  0.62055052E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3581  0.10647568E-01  0.10647568E-01  0.10647568E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3879  0.25819568E-01  0.25819568E-01  0.25819568E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4178  0.39796515E-01  0.39796515E-01  0.39796515E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4476  0.53142961E-01  0.53142961E-01  0.53142961E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4775  0.66318781E-01  0.66318781E-01  0.66318781E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5073  0.79643864E-01  0.79643864E-01  0.79643864E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5372  0.93310042E-01  0.93310042E-01  0.93310042E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5670  0.10754038E+00  0.10754038E+00  0.10754038E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5968  0.12268769E+00  0.12268769E+00  0.12268769E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6267  0.13944455E+00  0.13944455E+00  0.13944455E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6565  0.15877208E+00  0.15877208E+00  0.15877208E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6864  0.18183765E+00  0.18183765E+00  0.18183765E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7162  0.20968023E+00  0.20968023E+00  0.20968023E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7460  0.24286743E+00  0.24286743E+00  0.24286743E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7759  0.28109956E+00  0.28109956E+00  0.28109956E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8057  0.32292775E+00  0.32292775E+00  0.32292775E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8356  0.36575105E+00  0.36575105E+00  0.36575105E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8654  0.40592176E+00  0.40592176E+00  0.40592176E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8953  0.43930325E+00  0.43930325E+00  0.43930325E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9251  0.46179639E+00  0.46179639E+00  0.46179639E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9549  0.47011664E+00  0.47011664E+00  0.47011664E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9848  0.46248973E+00  0.46248973E+00  0.46248973E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0146  0.43919003E+00  0.43919003E+00  0.43919003E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0445  0.40268136E+00  0.40268136E+00  0.40268136E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0743  0.35722382E+00  0.35722382E+00  0.35722382E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1041  0.30813637E+00  0.30813637E+00  0.30813637E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1340  0.26059354E+00  0.26059354E+00  0.26059354E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1638  0.21871286E+00  0.21871286E+00  0.21871286E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1937  0.18495392E+00  0.18495392E+00  0.18495392E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2235  0.16016793E+00  0.16016793E+00  0.16016793E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2534  0.14395243E+00  0.14395243E+00  0.14395243E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2832  0.13523491E+00  0.13523491E+00  0.13523491E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3130  0.13280607E+00  0.13280607E+00  0.13280607E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3429  0.13577912E+00  0.13577912E+00  0.13577912E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3727  0.14381374E+00  0.14381374E+00  0.14381374E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4026  0.15725813E+00  0.15725813E+00  0.15725813E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4324  0.17711166E+00  0.17711166E+00  0.17711166E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4622  0.20477497E+00  0.20477497E+00  0.20477497E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4921  0.24179899E+00  0.24179899E+00  0.24179899E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5219  0.28939636E+00  0.28939636E+00  0.28939636E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5518  0.34811327E+00  0.34811327E+00  0.34811327E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5816  0.41742382E+00  0.41742382E+00  0.41742382E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6115  0.49558175E+00  0.49558175E+00  0.49558175E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6413  0.57964062E+00  0.57964062E+00  0.57964062E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6711  0.66576171E+00  0.66576171E+00  0.66576171E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7010  0.74965725E+00  0.74965725E+00  0.74965725E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7308  0.82727748E+00  0.82727748E+00  0.82727748E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7607  0.89545891E+00  0.89545891E+00  0.89545891E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7905  0.95255879E+00  0.95255879E+00  0.95255879E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.8204  0.99875294E+00  0.99875294E+00  0.99875294E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.8502  0.10359298E+01  0.10359298E+01  0.10359298E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.8800  0.10671745E+01  0.10671745E+01  0.10671745E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9099  0.10958912E+01  0.10958912E+01  0.10958912E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9397  0.11249395E+01  0.11249395E+01  0.11249395E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9696  0.11559441E+01  0.11559441E+01  0.11559441E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9994  0.11891906E+01  0.11891906E+01  0.11891906E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.0292  0.12239227E+01  0.12239227E+01  0.12239227E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.0591  0.12589693E+01  0.12589693E+01  0.12589693E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.0889  0.12934921E+01  0.12934921E+01  0.12934921E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.1188  0.13274673E+01  0.13274673E+01  0.13274673E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.1486  0.13619536E+01  0.13619536E+01  0.13619536E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.1785  0.13988032E+01  0.13988032E+01  0.13988032E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.2083  0.14401885E+01  0.14401885E+01  0.14401885E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.2381  0.14878012E+01  0.14878012E+01  0.14878012E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.2680  0.15422233E+01  0.15422233E+01  0.15422233E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.2978  0.16024693E+01  0.16024693E+01  0.16024693E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.3277  0.16660511E+01  0.16660511E+01  0.16660511E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.3575  0.17292175E+01  0.17292175E+01  0.17292175E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.3873  0.17876537E+01  0.17876537E+01  0.17876537E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.4172  0.18372396E+01  0.18372396E+01  0.18372396E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.4470  0.18747697E+01  0.18747697E+01  0.18747697E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.4769  0.18986299E+01  0.18986299E+01  0.18986299E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5067  0.19090124E+01  0.19090124E+01  0.19090124E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5366  0.19078995E+01  0.19078995E+01  0.19078995E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5664  0.18984644E+01  0.18984644E+01  0.18984644E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5962  0.18842931E+01  0.18842931E+01  0.18842931E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6261  0.18684225E+01  0.18684225E+01  0.18684225E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6559  0.18526718E+01  0.18526718E+01  0.18526718E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6858  0.18373557E+01  0.18373557E+01  0.18373557E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.7156  0.18214704E+01  0.18214704E+01  0.18214704E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.7454  0.18032535E+01  0.18032535E+01  0.18032535E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.7753  0.17808306E+01  0.17808306E+01  0.17808306E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8051  0.17527777E+01  0.17527777E+01  0.17527777E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8350  0.17185665E+01  0.17185665E+01  0.17185665E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8648  0.16786889E+01  0.16786889E+01  0.16786889E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8947  0.16344326E+01  0.16344326E+01  0.16344326E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.9245  0.15876447E+01  0.15876447E+01  0.15876447E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.9543  0.15403861E+01  0.15403861E+01  0.15403861E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.9842  0.14945939E+01  0.14945939E+01  0.14945939E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.0140  0.14521510E+01  0.14521510E+01  0.14521510E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.0439  0.14148093E+01  0.14148093E+01  0.14148093E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.0737  0.13843351E+01  0.13843351E+01  0.13843351E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1036  0.13624327E+01  0.13624327E+01  0.13624327E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1334  0.13504988E+01  0.13504988E+01  0.13504988E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1632  0.13493503E+01  0.13493503E+01  0.13493503E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1931  0.13589680E+01  0.13589680E+01  0.13589680E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.2229  0.13784495E+01  0.13784495E+01  0.13784495E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.2528  0.14061727E+01  0.14061727E+01  0.14061727E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.2826  0.14401712E+01  0.14401712E+01  0.14401712E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.3124  0.14785357E+01  0.14785357E+01  0.14785357E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.3423  0.15197992E+01  0.15197992E+01  0.15197992E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.3721  0.15631003E+01  0.15631003E+01  0.15631003E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4020  0.16081354E+01  0.16081354E+01  0.16081354E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4318  0.16549821E+01  0.16549821E+01  0.16549821E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4617  0.17037501E+01  0.17037501E+01  0.17037501E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
