 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  0.0000  0.33087197E+00  0.33087197E+00  0.33087197E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.0298  0.33163497E+00  0.33163497E+00  0.33163497E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.0597  0.33377356E+00  0.33377356E+00  0.33377356E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.0895  0.33689079E+00  0.33689079E+00  0.33689079E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.1194  0.34048006E+00  0.34048006E+00  0.34048006E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.1492  0.34407406E+00  0.34407406E+00  0.34407406E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.1791  0.34732709E+00  0.34732709E+00  0.34732709E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.2089  0.35004599E+00  0.35004599E+00  0.35004599E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.2387  0.35217226E+00  0.35217226E+00  0.35217226E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.2686  0.35375698E+00  0.35375698E+00  0.35375698E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.2984  0.35490958E+00  0.35490958E+00  0.35490958E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.3283  0.35576811E+00  0.35576811E+00  0.35576811E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.3581  0.35646694E+00  0.35646694E+00  0.35646694E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.3879  0.35711198E+00  0.35711198E+00  0.35711198E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.4178  0.35777594E+00  0.35777594E+00  0.35777594E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.4476  0.35849456E+00  0.35849456E+00  0.35849456E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.4775  0.35927962E+00  0.35927962E+00  0.35927962E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.5073  0.36013169E+00  0.36013169E+00  0.36013169E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.5372  0.36105397E+00  0.36105397E+00  0.36105397E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.5670  0.36206365E+00  0.36206365E+00  0.36206365E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.5968  0.36318428E+00  0.36318428E+00  0.36318428E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.6267  0.36443799E+00  0.36443799E+00  0.36443799E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.6565  0.36582504E+00  0.36582504E+00  0.36582504E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.6864  0.36730151E+00  0.36730151E+00  0.36730151E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.7162  0.36876546E+00  0.36876546E+00  0.36876546E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.7460  0.37005666E+00  0.37005666E+00  0.37005666E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.7759  0.37096894E+00  0.37096894E+00  0.37096894E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.8057  0.37127619E+00  0.37127619E+00  0.37127619E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.8356  0.37076818E+00  0.37076818E+00  0.37076818E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.8654  0.36928269E+00  0.36928269E+00  0.36928269E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.8953  0.36674334E+00  0.36674334E+00  0.36674334E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.9251  0.36319319E+00  0.36319319E+00  0.36319319E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.9549  0.35883218E+00  0.35883218E+00  0.35883218E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.9848  0.35403057E+00  0.35403057E+00  0.35403057E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.0146  0.34932116E+00  0.34932116E+00  0.34932116E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.0445  0.34531953E+00  0.34531953E+00  0.34531953E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.0743  0.34258998E+00  0.34258998E+00  0.34258998E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.1041  0.34150390E+00  0.34150390E+00  0.34150390E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.1340  0.34213757E+00  0.34213757E+00  0.34213757E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.1638  0.34429629E+00  0.34429629E+00  0.34429629E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.1937  0.34761411E+00  0.34761411E+00  0.34761411E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.2235  0.35169624E+00  0.35169624E+00  0.35169624E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.2534  0.35620955E+00  0.35620955E+00  0.35620955E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.2832  0.36093506E+00  0.36093506E+00  0.36093506E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.3130  0.36576555E+00  0.36576555E+00  0.36576555E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.3429  0.37067826E+00  0.37067826E+00  0.37067826E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.3727  0.37570430E+00  0.37570430E+00  0.37570430E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.4026  0.38088675E+00  0.38088675E+00  0.38088675E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.4324  0.38624974E+00  0.38624974E+00  0.38624974E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.4622  0.39177458E+00  0.39177458E+00  0.39177458E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.4921  0.39738736E+00  0.39738736E+00  0.39738736E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.5219  0.40295842E+00  0.40295842E+00  0.40295842E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.5518  0.40831802E+00  0.40831802E+00  0.40831802E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.5816  0.41327496E+00  0.41327496E+00  0.41327496E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.6115  0.41764347E+00  0.41764347E+00  0.41764347E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.6413  0.42126419E+00  0.42126419E+00  0.42126419E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
