 #Energy       XX              YY             ZZ              XY              YZ              XZ       
 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  0.0000  0.37082610E+01  0.37082610E+01  0.37082610E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0298  0.37152124E+01  0.37152124E+01  0.37152124E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0597  0.37349139E+01  0.37349139E+01  0.37349139E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0895  0.37642147E+01  0.37642147E+01  0.37642147E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1194  0.37988293E+01  0.37988293E+01  0.37988293E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1492  0.38344517E+01  0.38344517E+01  0.38344517E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1791  0.38675281E+01  0.38675281E+01  0.38675281E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2089  0.38957593E+01  0.38957593E+01  0.38957593E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2387  0.39181625E+01  0.39181625E+01  0.39181625E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2686  0.39349751E+01  0.39349751E+01  0.39349751E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2984  0.39471787E+01  0.39471787E+01  0.39471787E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3283  0.39561646E+01  0.39561646E+01  0.39561646E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3581  0.39633462E+01  0.39633462E+01  0.39633462E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3879  0.39698573E+01  0.39698573E+01  0.39698573E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4178  0.39764788E+01  0.39764788E+01  0.39764788E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4476  0.39835944E+01  0.39835944E+01  0.39835944E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4775  0.39913279E+01  0.39913279E+01  0.39913279E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5073  0.39996804E+01  0.39996804E+01  0.39996804E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5372  0.40086789E+01  0.40086789E+01  0.40086789E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5670  0.40184904E+01  0.40184904E+01  0.40184904E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5968  0.40293365E+01  0.40293365E+01  0.40293365E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6267  0.40413914E+01  0.40413914E+01  0.40413914E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6565  0.40545541E+01  0.40545541E+01  0.40545541E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6864  0.40681894E+01  0.40681894E+01  0.40681894E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7162  0.40809761E+01  0.40809761E+01  0.40809761E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7460  0.40909149E+01  0.40909149E+01  0.40909149E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7759  0.40955240E+01  0.40955240E+01  0.40955240E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8057  0.40922466E+01  0.40922466E+01  0.40922466E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8356  0.40790040E+01  0.40790040E+01  0.40790040E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8654  0.40547222E+01  0.40547222E+01  0.40547222E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
