#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.030644   61.753789   61.753789   61.753789   -0.000000   -0.000000   -0.000000
    0.061289  124.884964  124.884964  124.884964   -0.000000   -0.000000   -0.000000
    0.091933  190.384467  190.384467  190.384467   -0.000000   -0.000000   -0.000000
    0.122578  258.516859  258.516859  258.516859   -0.000000   -0.000000   -0.000000
    0.153222  328.573467  328.573467  328.573467   -0.000000   -0.000000   -0.000000
    0.183867  398.773495  398.773495  398.773495   -0.000000   -0.000000   -0.000000
    0.214511  466.347369  466.347369  466.347369   -0.000000   -0.000000   -0.000000
    0.245156  527.823995  527.823995  527.823995   -0.000000   -0.000000   -0.000000
    0.275800  579.492838  579.492838  579.492838   -0.000000   -0.000000   -0.000000
    0.306445  617.972117  617.972117  617.972117   -0.000000   -0.000000   -0.000000
    0.337089  640.773651  640.773651  640.773651   -0.000000   -0.000000   -0.000000
    0.367734  646.745349  646.745349  646.745349   -0.000000   -0.000000   -0.000000
    0.398378  636.278988  636.278988  636.278988   -0.000000   -0.000000   -0.000000
    0.429023  611.251309  611.251309  611.251309   -0.000000   -0.000000   -0.000000
    0.459667  574.697235  574.697235  574.697235   -0.000000   -0.000000   -0.000000
    0.490312  530.306690  530.306690  530.306690   -0.000000   -0.000000   -0.000000
    0.520956  481.860623  481.860623  481.860623   -0.000000   -0.000000   -0.000000
    0.551601  432.729191  432.729191  432.729191   -0.000000    0.000000   -0.000000
    0.582245  385.526586  385.526586  385.526586   -0.000000    0.000000   -0.000000
    0.612889  341.964025  341.964025  341.964025   -0.000000    0.000000   -0.000000
    0.643534  302.890487  302.890487  302.890487   -0.000000   -0.000000   -0.000000
    0.674178  268.465015  268.465015  268.465015   -0.000000   -0.000000   -0.000000
    0.704823  238.397301  238.397301  238.397301   -0.000000   -0.000000   -0.000000
    0.735467  212.179656  212.179656  212.179656   -0.000000   -0.000000   -0.000000
    0.766112  189.269299  189.269299  189.269299   -0.000000   -0.000000   -0.000000
    0.796756  169.197560  169.197560  169.197560   -0.000000   -0.000000   -0.000000
    0.827401  151.608745  151.608745  151.608745   -0.000000   -0.000000   -0.000000
    0.858045  136.249323  136.249323  136.249323   -0.000000   -0.000000   -0.000000
    0.888690  122.931038  122.931038  122.931038   -0.000000   -0.000000   -0.000000
    0.919334  111.491177  111.491177  111.491177   -0.000000   -0.000000   -0.000000
    0.949979  101.764106  101.764106  101.764106   -0.000000   -0.000000   -0.000000
    0.980623   93.569244   93.569244   93.569244   -0.000000   -0.000000   -0.000000
    1.011268   86.712731   86.712731   86.712731   -0.000000   -0.000000   -0.000000
    1.041912   80.997773   80.997773   80.997773   -0.000000   -0.000000   -0.000000
    1.072557   76.235597   76.235597   76.235597   -0.000000   -0.000000   -0.000000
    1.103201   72.252956   72.252956   72.252956   -0.000000   -0.000000   -0.000000
