#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000  768.950194  768.950194  768.950194   -0.000000   -0.000000   -0.000000
    0.030644  767.502117  767.502117  767.502117   -0.000000   -0.000000   -0.000000
    0.061289  762.704991  762.704991  762.704991   -0.000000   -0.000000   -0.000000
    0.091933  753.273287  753.273287  753.273287   -0.000000   -0.000000   -0.000000
    0.122578  737.305118  737.305118  737.305118   -0.000000   -0.000000   -0.000000
    0.153222  712.623035  712.623035  712.623035   -0.000000   -0.000000   -0.000000
    0.183867  677.207259  677.207259  677.207259   -0.000000   -0.000000   -0.000000
    0.214511  629.665001  629.665001  629.665001   -0.000000   -0.000000   -0.000000
    0.245156  569.648798  569.648798  569.648798   -0.000000   -0.000000   -0.000000
    0.275800  498.140303  498.140303  498.140303   -0.000000   -0.000000   -0.000000
    0.306445  417.510722  417.510722  417.510722   -0.000000   -0.000000   -0.000000
    0.337089  331.328123  331.328123  331.328123   -0.000000   -0.000000   -0.000000
    0.367734  243.925056  243.925056  243.925056   -0.000000   -0.000000   -0.000000
    0.398378  159.810226  159.810226  159.810226   -0.000000   -0.000000   -0.000000
    0.429023   83.044327   83.044327   83.044327   -0.000000   -0.000000   -0.000000
    0.459667   16.715009   16.715009   16.715009   -0.000000   -0.000000   -0.000000
    0.490312  -37.383993  -37.383993  -37.383993   -0.000000   -0.000000   -0.000000
    0.520956  -78.819238  -78.819238  -78.819238    0.000000   -0.000000   -0.000000
    0.551601 -108.343981 -108.343981 -108.343981    0.000000   -0.000000   -0.000000
    0.582245 -127.555767 -127.555767 -127.555767   -0.000000   -0.000000   -0.000000
    0.612889 -138.483996 -138.483996 -138.483996   -0.000000   -0.000000   -0.000000
    0.643534 -143.205716 -143.205716 -143.205716   -0.000000   -0.000000   -0.000000
    0.674178 -143.559877 -143.559877 -143.559877   -0.000000   -0.000000   -0.000000
    0.704823 -140.992144 -140.992144 -140.992144   -0.000000   -0.000000   -0.000000
    0.735467 -136.524173 -136.524173 -136.524173   -0.000000   -0.000000   -0.000000
    0.766112 -130.812549 -130.812549 -130.812549    0.000000   -0.000000    0.000000
    0.796756 -124.254080 -124.254080 -124.254080    0.000000   -0.000000    0.000000
    0.827401 -117.095065 -117.095065 -117.095065    0.000000   -0.000000    0.000000
    0.858045 -109.518076 -109.518076 -109.518076    0.000000   -0.000000    0.000000
    0.888690 -101.692035 -101.692035 -101.692035    0.000000    0.000000    0.000000
    0.919334  -93.789863  -93.789863  -93.789863    0.000000   -0.000000    0.000000
    0.949979  -85.982683  -85.982683  -85.982683    0.000000   -0.000000    0.000000
    0.980623  -78.424226  -78.424226  -78.424226    0.000000   -0.000000    0.000000
    1.011268  -71.237105  -71.237105  -71.237105    0.000000   -0.000000    0.000000
    1.041912  -64.505190  -64.505190  -64.505190    0.000000   -0.000000    0.000000
    1.072557  -58.275009  -58.275009  -58.275009    0.000000   -0.000000    0.000000
    1.103201  -52.561266  -52.561266  -52.561266    0.000000   -0.000000    0.000000
    1.133845  -47.354534  -47.354534  -47.354534    0.000000   -0.000000    0.000000
    1.164490  -42.626794  -42.626794  -42.626794    0.000000   -0.000000    0.000000
    1.195134  -38.334307  -38.334307  -38.334307    0.000000   -0.000000    0.000000
    1.225779  -34.418872  -34.418872  -34.418872    0.000000   -0.000000    0.000000
    1.256423  -30.808705  -30.808705  -30.808705    0.000000   -0.000000    0.000000
    1.287068  -27.422267  -27.422267  -27.422267    0.000000   -0.000000    0.000000
    1.317712  -24.173618  -24.173618  -24.173618    0.000000   -0.000000    0.000000
    1.348357  -20.980718  -20.980718  -20.980718    0.000000   -0.000000    0.000000
    1.379001  -17.773191  -17.773191  -17.773191    0.000000   -0.000000    0.000000
    1.409646  -14.498450  -14.498450  -14.498450    0.000000    0.000000    0.000000
    1.440290  -11.124493  -11.124493  -11.124493    0.000000    0.000000    0.000000
    1.470935   -7.639736   -7.639736   -7.639736    0.000000    0.000000    0.000000
    1.501579   -4.051101   -4.051101   -4.051101    0.000000    0.000000    0.000000
    1.532224   -0.382489   -0.382489   -0.382489    0.000000    0.000000    0.000000
    1.562868    3.324525    3.324525    3.324525    0.000000    0.000000    0.000000
    1.593513    7.006940    7.006940    7.006940    0.000000    0.000000    0.000000
    1.624157   10.573855   10.573855   10.573855    0.000000    0.000000    0.000000
    1.654802   13.899543   13.899543   13.899543    0.000000    0.000000    0.000000
    1.685446   16.818098   16.818098   16.818098    0.000000    0.000000    0.000000
    1.716090   19.123324   19.123324   19.123324    0.000000    0.000000    0.000000
    1.746735   20.576298   20.576298   20.576298    0.000000    0.000000    0.000000
    1.777379   20.922375   20.922375   20.922375    0.000000   -0.000000    0.000000
    1.808024   19.918555   19.918555   19.918555    0.000000   -0.000000    0.000000
    1.838668   17.368929   17.368929   17.368929    0.000000   -0.000000    0.000000
    1.869313   13.164276   13.164276   13.164276    0.000000   -0.000000    0.000000
    1.899957    7.318889    7.318889    7.318889    0.000000   -0.000000   -0.000000
    1.930602   -0.004016   -0.004016   -0.004016    0.000000   -0.000000   -0.000000
    1.961246   -8.486149   -8.486149   -8.486149    0.000000   -0.000000   -0.000000
    1.991891  -17.672751  -17.672751  -17.672751    0.000000    0.000000    0.000000
    2.022535  -27.016213  -27.016213  -27.016213    0.000000    0.000000    0.000000
    2.053180  -35.938816  -35.938816  -35.938816    0.000000    0.000000    0.000000
    2.083824  -43.903568  -43.903568  -43.903568   -0.000000    0.000000   -0.000000
    2.114469  -50.479479  -50.479479  -50.479479   -0.000000    0.000000    0.000000
    2.145113  -55.388200  -55.388200  -55.388200   -0.000000    0.000000    0.000000
    2.175758  -58.524690  -58.524690  -58.524690   -0.000000    0.000000    0.000000
    2.206402  -59.948781  -59.948781  -59.948781   -0.000000    0.000000   -0.000000
    2.237047  -59.853528  -59.853528  -59.853528   -0.000000   -0.000000   -0.000000
