 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29800000E-01  0.39612145E+01  0.39612145E+01  0.39612145E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59700000E-01  0.15868946E+02  0.15868946E+02  0.15868946E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89500000E-01  0.35798391E+02  0.35798391E+02  0.35798391E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11940000E+00  0.63926351E+02  0.63926351E+02  0.63926351E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14920000E+00  0.10026351E+03  0.10026351E+03  0.10026351E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17910000E+00  0.14527446E+03  0.14527446E+03  0.14527446E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20890000E+00  0.19902584E+03  0.19902584E+03  0.19902584E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23870000E+00  0.26179231E+03  0.26179231E+03  0.26179231E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26860000E+00  0.33426595E+03  0.33426595E+03  0.33426595E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29840000E+00  0.41693190E+03  0.41693190E+03  0.41693190E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32830000E+00  0.51048110E+03  0.51048110E+03  0.51048110E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35810000E+00  0.61503087E+03  0.61503087E+03  0.61503087E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38790000E+00  0.73164934E+03  0.73164934E+03  0.73164934E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41780000E+00  0.86218060E+03  0.86218060E+03  0.86218060E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44760000E+00  0.10069629E+04  0.10069629E+04  0.10069629E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47750000E+00  0.11684152E+04  0.11684152E+04  0.11684152E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50730000E+00  0.13476776E+04  0.13476776E+04  0.13476776E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53720000E+00  0.15477051E+04  0.15477051E+04  0.15477051E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.56700000E+00  0.17714257E+04  0.17714257E+04  0.17714257E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59680000E+00  0.20222019E+04  0.20222019E+04  0.20222019E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62670000E+00  0.23053996E+04  0.23053996E+04  0.23053996E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.65650000E+00  0.26276143E+04  0.26276143E+04  0.26276143E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68640000E+00  0.29985910E+04  0.29985910E+04  0.29985910E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71620000E+00  0.34302289E+04  0.34302289E+04  0.34302289E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.74600000E+00  0.39398986E+04  0.39398986E+04  0.39398986E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77590000E+00  0.45549198E+04  0.45549198E+04  0.45549198E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
