  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.29800000E-01  0.51865520E-04  0.51865520E-04  0.51865520E-04             NaN             NaN             NaN
  0.59700000E-01  0.10366568E-03  0.10366568E-03  0.10366568E-03             NaN             NaN             NaN
  0.89500000E-01  0.15586837E-03  0.15586837E-03  0.15586837E-03             NaN             NaN             NaN
  0.11940000E+00  0.20840876E-03  0.20840876E-03  0.20840876E-03             NaN             NaN             NaN
  0.14920000E+00  0.26121293E-03  0.26121293E-03  0.26121293E-03             NaN             NaN             NaN
  0.17910000E+00  0.31474024E-03  0.31474024E-03  0.31474024E-03             NaN             NaN             NaN
  0.20890000E+00  0.36891457E-03  0.36891457E-03  0.36891457E-03             NaN             NaN             NaN
  0.23870000E+00  0.42365226E-03  0.42365226E-03  0.42365226E-03             NaN             NaN             NaN
  0.26860000E+00  0.47939794E-03  0.47939794E-03  0.47939794E-03             NaN             NaN             NaN
  0.29840000E+00  0.53657116E-03  0.53657116E-03  0.53657116E-03             NaN             NaN             NaN
  0.32830000E+00  0.59506956E-03  0.59506956E-03  0.59506956E-03             NaN             NaN             NaN
  0.35810000E+00  0.65476886E-03  0.65476886E-03  0.65476886E-03             NaN             NaN             NaN
  0.38790000E+00  0.71606119E-03  0.71606119E-03  0.71606119E-03             NaN             NaN             NaN
  0.41780000E+00  0.77982142E-03  0.77982142E-03  0.77982142E-03             NaN             NaN             NaN
  0.44760000E+00  0.84589330E-03  0.84589330E-03  0.84589330E-03             NaN             NaN             NaN
  0.47750000E+00  0.91506022E-03  0.91506022E-03  0.91506022E-03             NaN             NaN             NaN
  0.50730000E+00  0.98761871E-03  0.98761871E-03  0.98761871E-03             NaN             NaN             NaN
  0.53720000E+00  0.10642778E-02  0.10642778E-02  0.10642778E-02             NaN             NaN             NaN
  0.56700000E+00  0.11461938E-02  0.11461938E-02  0.11461938E-02             NaN             NaN             NaN
  0.59680000E+00  0.12339543E-02  0.12339543E-02  0.12339543E-02             NaN             NaN             NaN
  0.62670000E+00  0.13289860E-02  0.13289860E-02  0.13289860E-02             NaN             NaN             NaN
  0.65650000E+00  0.14335941E-02  0.14335941E-02  0.14335941E-02             NaN             NaN             NaN
  0.68640000E+00  0.15502689E-02  0.15502689E-02  0.15502689E-02             NaN             NaN             NaN
  0.71620000E+00  0.16826848E-02  0.16826848E-02  0.16826848E-02             NaN             NaN             NaN
  0.74600000E+00  0.18355376E-02  0.18355376E-02  0.18355376E-02             NaN             NaN             NaN
  0.77590000E+00  0.20165953E-02  0.20165953E-02  0.20165953E-02             NaN             NaN             NaN
  0.80570000E+00  0.22365207E-02  0.22365207E-02  0.22365207E-02             NaN             NaN             NaN
  0.83560000E+00  0.25112001E-02  0.25112001E-02  0.25112001E-02             NaN             NaN             NaN
  0.86540000E+00  0.28609933E-02  0.28609933E-02  0.28609933E-02             NaN             NaN             NaN
  0.89530000E+00  0.33082185E-02  0.33082185E-02  0.33082185E-02             NaN             NaN             NaN
  0.92510000E+00  0.38594180E-02  0.38594180E-02  0.38594180E-02             NaN             NaN             NaN
  0.95490000E+00  0.44758304E-02  0.44758304E-02  0.44758304E-02             NaN             NaN             NaN
  0.98480000E+00  0.50858412E-02  0.50858412E-02  0.50858412E-02             NaN             NaN             NaN
  0.10146000E+01  0.56392829E-02  0.56392829E-02  0.56392829E-02             NaN             NaN             NaN
  0.10445000E+01  0.61272555E-02  0.61272555E-02  0.61272555E-02             NaN             NaN             NaN
  0.10743000E+01  0.65608035E-02  0.65608035E-02  0.65608035E-02             NaN             NaN             NaN
