  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29800000E-01  0.13115007E-02  0.13115007E-02  0.13115007E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59700000E-01  0.26225886E-02  0.26225886E-02  0.26225886E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89500000E-01  0.39463617E-02  0.39463617E-02  0.39463617E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11940000E+00  0.52824088E-02  0.52824088E-02  0.52824088E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14920000E+00  0.66302589E-02  0.66302589E-02  0.66302589E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17910000E+00  0.80029500E-02  0.80029500E-02  0.80029500E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20890000E+00  0.93999909E-02  0.93999909E-02  0.93999909E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23870000E+00  0.10820838E-01  0.10820838E-01  0.10820838E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26860000E+00  0.12278422E-01  0.12278422E-01  0.12278422E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29840000E+00  0.13785506E-01  0.13785506E-01  0.13785506E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32830000E+00  0.15341407E-01  0.15341407E-01  0.15341407E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35810000E+00  0.16945290E-01  0.16945290E-01  0.16945290E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38790000E+00  0.18609711E-01  0.18609711E-01  0.18609711E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41780000E+00  0.20360396E-01  0.20360396E-01  0.20360396E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44760000E+00  0.22196260E-01  0.22196260E-01  0.22196260E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47750000E+00  0.24142390E-01  0.24142390E-01  0.24142390E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50730000E+00  0.26210636E-01  0.26210636E-01  0.26210636E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53720000E+00  0.28425533E-01  0.28425533E-01  0.28425533E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.56700000E+00  0.30824518E-01  0.30824518E-01  0.30824518E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59680000E+00  0.33431211E-01  0.33431211E-01  0.33431211E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62670000E+00  0.36294677E-01  0.36294677E-01  0.36294677E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.65650000E+00  0.39489652E-01  0.39489652E-01  0.39489652E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68640000E+00  0.43101896E-01  0.43101896E-01  0.43101896E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71620000E+00  0.47254721E-01  0.47254721E-01  0.47254721E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.74600000E+00  0.52107788E-01  0.52107788E-01  0.52107788E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77590000E+00  0.57920380E-01  0.57920380E-01  0.57920380E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80570000E+00  0.65050008E-01  0.65050008E-01  0.65050008E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83560000E+00  0.74027370E-01  0.74027370E-01  0.74027370E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86540000E+00  0.85531608E-01  0.85531608E-01  0.85531608E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89530000E+00  0.10029535E+00  0.10029535E+00  0.10029535E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92510000E+00  0.11850345E+00  0.11850345E+00  0.11850345E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.95490000E+00  0.13882472E+00  0.13882472E+00  0.13882472E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98480000E+00  0.15889480E+00  0.15889480E+00  0.15889480E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10146000E+01  0.17713837E+00  0.17713837E+00  0.17713837E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10445000E+01  0.19336089E+00  0.19336089E+00  0.19336089E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10743000E+01  0.20798768E+00  0.20798768E+00  0.20798768E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11041000E+01  0.22150535E+00  0.22150535E+00  0.22150535E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11340000E+01  0.23428230E+00  0.23428230E+00  0.23428230E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11638000E+01  0.24659040E+00  0.24659040E+00  0.24659040E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11937000E+01  0.25858772E+00  0.25858772E+00  0.25858772E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12235000E+01  0.27039888E+00  0.27039888E+00  0.27039888E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12534000E+01  0.28213146E+00  0.28213146E+00  0.28213146E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12832000E+01  0.29381978E+00  0.29381978E+00  0.29381978E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13130000E+01  0.30552266E+00  0.30552266E+00  0.30552266E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13429000E+01  0.31728430E+00  0.31728430E+00  0.31728430E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13727000E+01  0.32912280E+00  0.32912280E+00  0.32912280E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14026000E+01  0.34108123E+00  0.34108123E+00  0.34108123E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14324000E+01  0.35320093E+00  0.35320093E+00  0.35320093E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14623000E+01  0.36549487E+00  0.36549487E+00  0.36549487E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14921000E+01  0.37801581E+00  0.37801581E+00  0.37801581E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15219000E+01  0.39080981E+00  0.39080981E+00  0.39080981E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15518000E+01  0.40396075E+00  0.40396075E+00  0.40396075E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15816000E+01  0.41755892E+00  0.41755892E+00  0.41755892E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16115000E+01  0.43174566E+00  0.43174566E+00  0.43174566E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16413000E+01  0.44669726E+00  0.44669726E+00  0.44669726E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16711000E+01  0.46265547E+00  0.46265547E+00  0.46265547E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17010000E+01  0.47970881E+00  0.47970881E+00  0.47970881E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17308000E+01  0.49735289E+00  0.49735289E+00  0.49735289E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17607000E+01  0.51403717E+00  0.51403717E+00  0.51403717E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17905000E+01  0.52847819E+00  0.52847819E+00  0.52847819E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18204000E+01  0.54183303E+00  0.54183303E+00  0.54183303E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18502000E+01  0.55687897E+00  0.55687897E+00  0.55687897E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
