#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.029842    0.009701    0.009701    0.009701   -0.000000   -0.000000   -0.000000
    0.059684    0.019433    0.019433    0.019433   -0.000000   -0.000000   -0.000000
    0.089526    0.029228    0.029228    0.029228   -0.000000   -0.000000   -0.000000
    0.119367    0.039117    0.039117    0.039117   -0.000000   -0.000000   -0.000000
    0.149209    0.049134    0.049134    0.049134   -0.000000   -0.000000   -0.000000
    0.179051    0.059315    0.059315    0.059315   -0.000000   -0.000000   -0.000000
    0.208893    0.069698    0.069698    0.069698   -0.000000   -0.000000   -0.000000
    0.238735    0.080325    0.080325    0.080325   -0.000000   -0.000000   -0.000000
    0.268577    0.091241    0.091241    0.091241   -0.000000   -0.000000   -0.000000
    0.298419    0.102497    0.102497    0.102497   -0.000000   -0.000000   -0.000000
    0.328261    0.114152    0.114152    0.114152   -0.000000   -0.000000   -0.000000
    0.358102    0.126270    0.126270    0.126270   -0.000000   -0.000000   -0.000000
    0.387944    0.138927    0.138927    0.138927   -0.000000   -0.000000   -0.000000
    0.417786    0.152214    0.152214    0.152214   -0.000000   -0.000000   -0.000000
    0.447628    0.166234    0.166234    0.166234   -0.000000   -0.000000   -0.000000
    0.477470    0.181116    0.181116    0.181116   -0.000000   -0.000000   -0.000000
    0.507312    0.197012    0.197012    0.197012   -0.000000   -0.000000   -0.000000
    0.537154    0.214115    0.214115    0.214115   -0.000000   -0.000000   -0.000000
    0.566995    0.232663    0.232663    0.232663   -0.000000   -0.000000   -0.000000
    0.596837    0.252961    0.252961    0.252961   -0.000000   -0.000000   -0.000000
    0.626679    0.275406    0.275406    0.275406   -0.000000   -0.000000   -0.000000
    0.656521    0.300524    0.300524    0.300524   -0.000000   -0.000000   -0.000000
    0.686363    0.329027    0.329027    0.329027   -0.000000   -0.000000   -0.000000
    0.716205    0.361899    0.361899    0.361899   -0.000000   -0.000000   -0.000000
    0.746047    0.400532    0.400532    0.400532   -0.000000   -0.000000   -0.000000
    0.775888    0.446934    0.446934    0.446934   -0.000000   -0.000000   -0.000000
    0.805730    0.504037    0.504037    0.504037   -0.000000   -0.000000   -0.000000
    0.835572    0.576063    0.576063    0.576063   -0.000000   -0.000000   -0.000000
    0.865414    0.668674    0.668674    0.668674   -0.000000   -0.000000   -0.000000
    0.895256    0.787740    0.787740    0.787740   -0.000000   -0.000000   -0.000000
    0.925098    0.934456    0.934456    0.934456   -0.000000   -0.000000   -0.000000
    0.954940    1.098153    1.098153    1.098153   -0.000000   -0.000000   -0.000000
    0.984782    1.259659    1.259659    1.259659   -0.000000   -0.000000   -0.000000
    1.014623    1.406479    1.406479    1.406479    0.000000   -0.000000   -0.000000
    1.044465    1.537287    1.537287    1.537287    0.000000   -0.000000    0.000000
    1.074307    1.655706    1.655706    1.655706    0.000000   -0.000000    0.000000
    1.104149    1.765711    1.765711    1.765711    0.000000   -0.000000    0.000000
    1.133991    1.870334    1.870334    1.870334    0.000000   -0.000000    0.000000
    1.163833    1.971681    1.971681    1.971681    0.000000   -0.000000    0.000000
    1.193675    2.071187    2.071187    2.071187    0.000000   -0.000000   -0.000000
    1.223516    2.169841    2.169841    2.169841    0.000000   -0.000000   -0.000000
    1.253358    2.268357    2.268357    2.268357   -0.000000   -0.000000   -0.000000
    1.283200    2.367264    2.367264    2.367264   -0.000000   -0.000000   -0.000000
    1.313042    2.466976    2.466976    2.466976   -0.000000   -0.000000   -0.000000
    1.342884    2.567851    2.567851    2.567851   -0.000000    0.000000   -0.000000
    1.372726    2.670203    2.670203    2.670203   -0.000000    0.000000   -0.000000
    1.402568    2.774338    2.774338    2.774338   -0.000000    0.000000   -0.000000
    1.432409    2.880579    2.880579    2.880579   -0.000000    0.000000   -0.000000
    1.462251    2.989289    2.989289    2.989289   -0.000000    0.000000   -0.000000
    1.492093    3.100895    3.100895    3.100895   -0.000000    0.000000   -0.000000
    1.521935    3.215940    3.215940    3.215940   -0.000000    0.000000   -0.000000
    1.551777    3.335126    3.335126    3.335126   -0.000000   -0.000000   -0.000000
    1.581619    3.459405    3.459405    3.459405   -0.000000   -0.000000   -0.000000
    1.611461    3.590062    3.590062    3.590062   -0.000000   -0.000000   -0.000000
    1.641303    3.728803    3.728803    3.728803   -0.000000   -0.000000   -0.000000
    1.671144    3.877515    3.877515    3.877515   -0.000000    0.000000   -0.000000
    1.700986    4.036745    4.036745    4.036745   -0.000000    0.000000   -0.000000
    1.730828    4.201629    4.201629    4.201629    0.000000    0.000000   -0.000000
    1.760670    4.359126    4.359126    4.359126    0.000000    0.000000   -0.000000
    1.790512    4.500318    4.500318    4.500318    0.000000   -0.000000    0.000000
    1.820354    4.637980    4.637980    4.637980    0.000000   -0.000000    0.000000
    1.850196    4.797297    4.797297    4.797297    0.000000   -0.000000    0.000000
    1.880037    4.996527    4.996527    4.996527    0.000000    0.000000    0.000000
    1.909879    5.244298    5.244298    5.244298    0.000000    0.000000    0.000000
    1.939721    5.546604    5.546604    5.546604    0.000000    0.000000   -0.000000
