#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   13.674176   13.674176   13.674176   -0.000000    0.000000   -0.000000
    0.029842   13.675606   13.675606   13.675606   -0.000000    0.000000   -0.000000
    0.059684   13.679899   13.679899   13.679899   -0.000000    0.000000   -0.000000
    0.089526   13.687070   13.687070   13.687070   -0.000000    0.000000   -0.000000
    0.119367   13.697140   13.697140   13.697140   -0.000000    0.000000   -0.000000
    0.149209   13.710135   13.710135   13.710135   -0.000000    0.000000   -0.000000
    0.179051   13.726104   13.726104   13.726104   -0.000000    0.000000   -0.000000
    0.208893   13.745102   13.745102   13.745102   -0.000000    0.000000   -0.000000
    0.238735   13.767178   13.767178   13.767178   -0.000000    0.000000   -0.000000
    0.268577   13.792416   13.792416   13.792416   -0.000000    0.000000   -0.000000
    0.298419   13.820897   13.820897   13.820897   -0.000000    0.000000   -0.000000
    0.328261   13.852726   13.852726   13.852726   -0.000000    0.000000   -0.000000
    0.358102   13.888020   13.888020   13.888020   -0.000000   -0.000000   -0.000000
    0.387944   13.926904   13.926904   13.926904   -0.000000   -0.000000   -0.000000
    0.417786   13.969559   13.969559   13.969559   -0.000000   -0.000000   -0.000000
    0.447628   14.016142   14.016142   14.016142   -0.000000   -0.000000   -0.000000
    0.477470   14.066875   14.066875   14.066875   -0.000000   -0.000000   -0.000000
    0.507312   14.121995   14.121995   14.121995   -0.000000   -0.000000   -0.000000
    0.537154   14.181782   14.181782   14.181782   -0.000000   -0.000000   -0.000000
    0.566995   14.246564   14.246564   14.246564   -0.000000   -0.000000   -0.000000
    0.596837   14.316710   14.316710   14.316710   -0.000000   -0.000000   -0.000000
    0.626679   14.392661   14.392661   14.392661   -0.000000   -0.000000   -0.000000
    0.656521   14.474929   14.474929   14.474929   -0.000000   -0.000000   -0.000000
    0.686363   14.564109   14.564109   14.564109   -0.000000   -0.000000   -0.000000
    0.716205   14.660861   14.660861   14.660861   -0.000000   -0.000000   -0.000000
    0.746047   14.765892   14.765892   14.765892   -0.000000   -0.000000   -0.000000
    0.775888   14.879880   14.879880   14.879880   -0.000000   -0.000000   -0.000000
    0.805730   15.003204   15.003204   15.003204   -0.000000   -0.000000   -0.000000
    0.835572   15.135351   15.135351   15.135351   -0.000000   -0.000000   -0.000000
    0.865414   15.273568   15.273568   15.273568   -0.000000   -0.000000   -0.000000
    0.895256   15.410491   15.410491   15.410491   -0.000000   -0.000000   -0.000000
    0.925098   15.532551   15.532551   15.532551   -0.000000   -0.000000   -0.000000
    0.954940   15.625547   15.625547   15.625547   -0.000000   -0.000000   -0.000000
    0.984782   15.687629   15.687629   15.687629   -0.000000   -0.000000   -0.000000
    1.014623   15.730042   15.730042   15.730042    0.000000   -0.000000   -0.000000
    1.044465   15.764930   15.764930   15.764930    0.000000   -0.000000   -0.000000
    1.074307   15.799396   15.799396   15.799396   -0.000000   -0.000000   -0.000000
    1.104149   15.836572   15.836572   15.836572   -0.000000    0.000000   -0.000000
    1.133991   15.877556   15.877556   15.877556   -0.000000    0.000000   -0.000000
    1.163833   15.922640   15.922640   15.922640   -0.000000    0.000000   -0.000000
    1.193675   15.971764   15.971764   15.971764   -0.000000    0.000000   -0.000000
    1.223516   16.024827   16.024827   16.024827   -0.000000    0.000000   -0.000000
    1.253358   16.081718   16.081718   16.081718   -0.000000    0.000000   -0.000000
    1.283200   16.142369   16.142369   16.142369   -0.000000    0.000000   -0.000000
    1.313042   16.206780   16.206780   16.206780   -0.000000    0.000000   -0.000000
    1.342884   16.275023   16.275023   16.275023   -0.000000    0.000000   -0.000000
    1.372726   16.347196   16.347196   16.347196   -0.000000    0.000000   -0.000000
    1.402568   16.423501   16.423501   16.423501   -0.000000    0.000000   -0.000000
    1.432409   16.504144   16.504144   16.504144   -0.000000    0.000000   -0.000000
    1.462251   16.589457   16.589457   16.589457   -0.000000    0.000000   -0.000000
    1.492093   16.679799   16.679799   16.679799    0.000000   -0.000000   -0.000000
    1.521935   16.775577   16.775577   16.775577    0.000000   -0.000000   -0.000000
    1.551777   16.877231   16.877231   16.877231    0.000000   -0.000000   -0.000000
    1.581619   16.985211   16.985211   16.985211    0.000000    0.000000   -0.000000
    1.611461   17.099750   17.099750   17.099750    0.000000    0.000000   -0.000000
    1.641303   17.220558   17.220558   17.220558    0.000000    0.000000   -0.000000
    1.671144   17.346113   17.346113   17.346113    0.000000    0.000000   -0.000000
    1.700986   17.472510   17.472510   17.472510    0.000000    0.000000   -0.000000
    1.730828   17.594498   17.594498   17.594498    0.000000    0.000000   -0.000000
    1.760670   17.713912   17.713912   17.713912    0.000000    0.000000   -0.000000
    1.790512   17.849541   17.849541   17.849541    0.000000    0.000000   -0.000000
    1.820354   18.024086   18.024086   18.024086    0.000000    0.000000   -0.000000
    1.850196   18.242788   18.242788   18.242788    0.000000    0.000000   -0.000000
    1.880037   18.496127   18.496127   18.496127   -0.000000    0.000000   -0.000000
    1.909879   18.773112   18.773112   18.773112   -0.000000    0.000000   -0.000000
    1.939721   19.066405   19.066405   19.066405   -0.000000    0.000000   -0.000000
    1.969563   19.369570   19.369570   19.369570   -0.000000    0.000000   -0.000000
    1.999405   19.671553   19.671553   19.671553   -0.000000    0.000000   -0.000000
    2.029247   19.951634   19.951634   19.951634   -0.000000    0.000000   -0.000000
    2.059089   20.179621   20.179621   20.179621   -0.000000    0.000000   -0.000000
    2.088930   20.324658   20.324658   20.324658   -0.000000    0.000000   -0.000000
    2.118772   20.366012   20.366012   20.366012   -0.000000    0.000000   -0.000000
    2.148614   20.295686   20.295686   20.295686   -0.000000    0.000000   -0.000000
    2.178456   20.114140   20.114140   20.114140   -0.000000    0.000000   -0.000000
    2.208298   19.827168   19.827168   19.827168   -0.000000    0.000000   -0.000000
    2.238140   19.445168   19.445168   19.445168   -0.000000    0.000000   -0.000000
    2.267982   18.982283   18.982283   18.982283   -0.000000    0.000000   -0.000000
    2.297824   18.456044   18.456044   18.456044    0.000000    0.000000   -0.000000
    2.327665   17.887275   17.887275   17.887275    0.000000   -0.000000   -0.000000
    2.357507   17.297308   17.297308   17.297308    0.000000   -0.000000   -0.000000
    2.387349   16.703653   16.703653   16.703653    0.000000   -0.000000   -0.000000
    2.417191   16.122512   16.122512   16.122512    0.000000    0.000000   -0.000000
    2.447033   15.571419   15.571419   15.571419    0.000000    0.000000   -0.000000
    2.476875   15.056054   15.056054   15.056054    0.000000    0.000000   -0.000000
    2.506717   14.567291   14.567291   14.567291    0.000000    0.000000   -0.000000
    2.536558   14.099760   14.099760   14.099760    0.000000    0.000000   -0.000000
    2.566400   13.660699   13.660699   13.660699    0.000000    0.000000   -0.000000
    2.596242   13.263061   13.263061   13.263061    0.000000    0.000000    0.000000
