  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.32979135E+00  0.32979135E+00  0.32979135E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.29800000E-01  0.32981113E+00  0.32981113E+00  0.32981113E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.59700000E-01  0.32987186E+00  0.32987186E+00  0.32987186E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.89500000E-01  0.32997350E+00  0.32997350E+00  0.32997350E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11940000E+00  0.33011460E+00  0.33011460E+00  0.33011460E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14920000E+00  0.33029787E+00  0.33029787E+00  0.33029787E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17910000E+00  0.33052322E+00  0.33052322E+00  0.33052322E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20890000E+00  0.33079049E+00  0.33079049E+00  0.33079049E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.23870000E+00  0.33110093E+00  0.33110093E+00  0.33110093E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.26860000E+00  0.33145434E+00  0.33145434E+00  0.33145434E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.29840000E+00  0.33185331E+00  0.33185331E+00  0.33185331E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.32830000E+00  0.33229756E+00  0.33229756E+00  0.33229756E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.35810000E+00  0.33278958E+00  0.33278958E+00  0.33278958E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.38790000E+00  0.33333042E+00  0.33333042E+00  0.33333042E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.41780000E+00  0.33392249E+00  0.33392249E+00  0.33392249E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.44760000E+00  0.33456534E+00  0.33456534E+00  0.33456534E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.47750000E+00  0.33526540E+00  0.33526540E+00  0.33526540E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.50730000E+00  0.33602211E+00  0.33602211E+00  0.33602211E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.53720000E+00  0.33684034E+00  0.33684034E+00  0.33684034E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.56700000E+00  0.33772353E+00  0.33772353E+00  0.33772353E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.59680000E+00  0.33867496E+00  0.33867496E+00  0.33867496E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.62670000E+00  0.33970190E+00  0.33970190E+00  0.33970190E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.65650000E+00  0.34080752E+00  0.34080752E+00  0.34080752E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.68640000E+00  0.34200156E+00  0.34200156E+00  0.34200156E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.71620000E+00  0.34329103E+00  0.34329103E+00  0.34329103E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.74600000E+00  0.34468297E+00  0.34468297E+00  0.34468297E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.77590000E+00  0.34618743E+00  0.34618743E+00  0.34618743E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.80570000E+00  0.34780871E+00  0.34780871E+00  0.34780871E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.83560000E+00  0.34954395E+00  0.34954395E+00  0.34954395E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.86540000E+00  0.35136193E+00  0.35136193E+00  0.35136193E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.89530000E+00  0.35318173E+00  0.35318173E+00  0.35318173E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.92510000E+00  0.35484950E+00  0.35484950E+00  0.35484950E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.95490000E+00  0.35619300E+00  0.35619300E+00  0.35619300E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.98480000E+00  0.35718052E+00  0.35718052E+00  0.35718052E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10146000E+01  0.35792988E+00  0.35792988E+00  0.35792988E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10445000E+01  0.35858105E+00  0.35858105E+00  0.35858105E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10743000E+01  0.35921983E+00  0.35921983E+00  0.35921983E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11041000E+01  0.35988639E+00  0.35988639E+00  0.35988639E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11340000E+01  0.36059667E+00  0.36059667E+00  0.36059667E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11638000E+01  0.36135542E+00  0.36135542E+00  0.36135542E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11937000E+01  0.36216616E+00  0.36216616E+00  0.36216616E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12235000E+01  0.36302512E+00  0.36302512E+00  0.36302512E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12534000E+01  0.36393455E+00  0.36393455E+00  0.36393455E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12832000E+01  0.36489303E+00  0.36489303E+00  0.36489303E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13130000E+01  0.36589982E+00  0.36589982E+00  0.36589982E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13429000E+01  0.36695629E+00  0.36695629E+00  0.36695629E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13727000E+01  0.36806442E+00  0.36806442E+00  0.36806442E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14026000E+01  0.36922562E+00  0.36922562E+00  0.36922562E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14324000E+01  0.37044244E+00  0.37044244E+00  0.37044244E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14623000E+01  0.37172010E+00  0.37172010E+00  0.37172010E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14921000E+01  0.37306020E+00  0.37306020E+00  0.37306020E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15219000E+01  0.37446979E+00  0.37446979E+00  0.37446979E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15518000E+01  0.37595354E+00  0.37595354E+00  0.37595354E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15816000E+01  0.37751960E+00  0.37751960E+00  0.37751960E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16115000E+01  0.37917218E+00  0.37917218E+00  0.37917218E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16413000E+01  0.38091468E+00  0.38091468E+00  0.38091468E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16711000E+01  0.38273503E+00  0.38273503E+00  0.38273503E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17010000E+01  0.38459792E+00  0.38459792E+00  0.38459792E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17308000E+01  0.38643420E+00  0.38643420E+00  0.38643420E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17607000E+01  0.38821335E+00  0.38821335E+00  0.38821335E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17905000E+01  0.39008119E+00  0.39008119E+00  0.39008119E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18204000E+01  0.39229686E+00  0.39229686E+00  0.39229686E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18502000E+01  0.39499083E+00  0.39499083E+00  0.39499083E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18800000E+01  0.39812869E+00  0.39812869E+00  0.39812869E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19099000E+01  0.40163186E+00  0.40163186E+00  0.40163186E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19397000E+01  0.40545129E+00  0.40545129E+00  0.40545129E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19696000E+01  0.40956814E+00  0.40956814E+00  0.40956814E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19994000E+01  0.41395115E+00  0.41395115E+00  0.41395115E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20292000E+01  0.41851053E+00  0.41851053E+00  0.41851053E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20591000E+01  0.42307803E+00  0.42307803E+00  0.42307803E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20889000E+01  0.42744733E+00  0.42744733E+00  0.42744733E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.21188000E+01  0.43145197E+00  0.43145197E+00  0.43145197E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.21486000E+01  0.43500286E+00  0.43500286E+00  0.43500286E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.21785000E+01  0.43805662E+00  0.43805662E+00  0.43805662E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.22083000E+01  0.44059106E+00  0.44059106E+00  0.44059106E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.22381000E+01  0.44259309E+00  0.44259309E+00  0.44259309E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.22680000E+01  0.44405904E+00  0.44405904E+00  0.44405904E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.22978000E+01  0.44498857E+00  0.44498857E+00  0.44498857E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.23277000E+01  0.44540373E+00  0.44540373E+00  0.44540373E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.23575000E+01  0.44535064E+00  0.44535064E+00  0.44535064E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.23873000E+01  0.44488041E+00  0.44488041E+00  0.44488041E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.24172000E+01  0.44403362E+00  0.44403362E+00  0.44403362E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.24470000E+01  0.44291406E+00  0.44291406E+00  0.44291406E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.24769000E+01  0.44166248E+00  0.44166248E+00  0.44166248E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.25067000E+01  0.44030750E+00  0.44030750E+00  0.44030750E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.25366000E+01  0.43876502E+00  0.43876502E+00  0.43876502E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.25664000E+01  0.43697818E+00  0.43697818E+00  0.43697818E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.25962000E+01  0.43499576E+00  0.43499576E+00  0.43499576E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.26261000E+01  0.43294527E+00  0.43294527E+00  0.43294527E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.26559000E+01  0.43096346E+00  0.43096346E+00  0.43096346E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.26858000E+01  0.42913023E+00  0.42913023E+00  0.42913023E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.27156000E+01  0.42745840E+00  0.42745840E+00  0.42745840E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.27455000E+01  0.42591531E+00  0.42591531E+00  0.42591531E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.27753000E+01  0.42446139E+00  0.42446139E+00  0.42446139E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.28051000E+01  0.42307516E+00  0.42307516E+00  0.42307516E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.28350000E+01  0.42175406E+00  0.42175406E+00  0.42175406E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.28648000E+01  0.42050385E+00  0.42050385E+00  0.42050385E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.28947000E+01  0.41933181E+00  0.41933181E+00  0.41933181E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.29245000E+01  0.41824281E+00  0.41824281E+00  0.41824281E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
