  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.36978642E+01  0.36978642E+01  0.36978642E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29800000E-01  0.36980538E+01  0.36980538E+01  0.36980538E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59700000E-01  0.36986358E+01  0.36986358E+01  0.36986358E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89500000E-01  0.36996102E+01  0.36996102E+01  0.36996102E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11940000E+00  0.37009631E+01  0.37009631E+01  0.37009631E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14920000E+00  0.37027212E+01  0.37027212E+01  0.37027212E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17910000E+00  0.37048838E+01  0.37048838E+01  0.37048838E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20890000E+00  0.37074504E+01  0.37074504E+01  0.37074504E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23870000E+00  0.37104335E+01  0.37104335E+01  0.37104335E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26860000E+00  0.37138324E+01  0.37138324E+01  0.37138324E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29840000E+00  0.37176727E+01  0.37176727E+01  0.37176727E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32830000E+00  0.37219532E+01  0.37219532E+01  0.37219532E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35810000E+00  0.37266992E+01  0.37266992E+01  0.37266992E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38790000E+00  0.37319226E+01  0.37319226E+01  0.37319226E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41780000E+00  0.37376483E+01  0.37376483E+01  0.37376483E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44760000E+00  0.37438740E+01  0.37438740E+01  0.37438740E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47750000E+00  0.37506643E+01  0.37506643E+01  0.37506643E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50730000E+00  0.37580164E+01  0.37580164E+01  0.37580164E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53720000E+00  0.37659804E+01  0.37659804E+01  0.37659804E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.56700000E+00  0.37745927E+01  0.37745927E+01  0.37745927E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59680000E+00  0.37838892E+01  0.37838892E+01  0.37838892E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62670000E+00  0.37939448E+01  0.37939448E+01  0.37939448E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.65650000E+00  0.38047943E+01  0.38047943E+01  0.38047943E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68640000E+00  0.38165374E+01  0.38165374E+01  0.38165374E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71620000E+00  0.38292471E+01  0.38292471E+01  0.38292471E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.74600000E+00  0.38429956E+01  0.38429956E+01  0.38429956E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77590000E+00  0.38578822E+01  0.38578822E+01  0.38578822E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80570000E+00  0.38739426E+01  0.38739426E+01  0.38739426E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83560000E+00  0.38911284E+01  0.38911284E+01  0.38911284E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86540000E+00  0.39090812E+01  0.39090812E+01  0.39090812E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89530000E+00  0.39269020E+01  0.39269020E+01  0.39269020E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92510000E+00  0.39429232E+01  0.39429232E+01  0.39429232E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.95490000E+00  0.39553473E+01  0.39553473E+01  0.39553473E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98480000E+00  0.39639434E+01  0.39639434E+01  0.39639434E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10146000E+01  0.39700602E+01  0.39700602E+01  0.39700602E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10445000E+01  0.39752092E+01  0.39752092E+01  0.39752092E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10743000E+01  0.39802838E+01  0.39802838E+01  0.39802838E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11041000E+01  0.39856825E+01  0.39856825E+01  0.39856825E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11340000E+01  0.39915521E+01  0.39915521E+01  0.39915521E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11638000E+01  0.39979253E+01  0.39979253E+01  0.39979253E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11937000E+01  0.40048305E+01  0.40048305E+01  0.40048305E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12235000E+01  0.40122208E+01  0.40122208E+01  0.40122208E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12534000E+01  0.40201117E+01  0.40201117E+01  0.40201117E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12832000E+01  0.40284898E+01  0.40284898E+01  0.40284898E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13130000E+01  0.40373437E+01  0.40373437E+01  0.40373437E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13429000E+01  0.40466862E+01  0.40466862E+01  0.40466862E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13727000E+01  0.40565406E+01  0.40565406E+01  0.40565406E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14026000E+01  0.40669198E+01  0.40669198E+01  0.40669198E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14324000E+01  0.40778488E+01  0.40778488E+01  0.40778488E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14623000E+01  0.40893871E+01  0.40893871E+01  0.40893871E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14921000E+01  0.41015480E+01  0.41015480E+01  0.41015480E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15219000E+01  0.41144055E+01  0.41144055E+01  0.41144055E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15518000E+01  0.41280000E+01  0.41280000E+01  0.41280000E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15816000E+01  0.41424094E+01  0.41424094E+01  0.41424094E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16115000E+01  0.41576561E+01  0.41576561E+01  0.41576561E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
