 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26000000E-01  0.15183412E+01  0.15183412E+01  0.15183412E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52100000E-01  0.60104563E+01  0.60104563E+01  0.60104563E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78100000E-01  0.13569044E+02  0.13569044E+02  0.13569044E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10410000E+00  0.24161002E+02  0.24161002E+02  0.24161002E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13010000E+00  0.37598250E+02  0.37598250E+02  0.37598250E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15620000E+00  0.54245750E+02  0.54245750E+02  0.54245750E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18220000E+00  0.74146565E+02  0.74146565E+02  0.74146565E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20820000E+00  0.96843355E+02  0.96843355E+02  0.96843355E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23420000E+00  0.12255246E+03  0.12255246E+03  0.12255246E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26030000E+00  0.15169548E+03  0.15169548E+03  0.15169548E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28630000E+00  0.18385822E+03  0.18385822E+03  0.18385822E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31230000E+00  0.21908479E+03  0.21908479E+03  0.21908479E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33840000E+00  0.25792261E+03  0.25792261E+03  0.25792261E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36440000E+00  0.29980864E+03  0.29980864E+03  0.29980864E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
