  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.26000000E-01  0.25584572E-04  0.25584572E-04  0.25584572E-04             NaN             NaN             NaN
  0.52100000E-01  0.50532339E-04  0.50532339E-04  0.50532339E-04             NaN             NaN             NaN
  0.78100000E-01  0.76077946E-04  0.76077946E-04  0.76077946E-04             NaN             NaN             NaN
  0.10410000E+00  0.10158728E-03  0.10158728E-03  0.10158728E-03             NaN             NaN             NaN
  0.13010000E+00  0.12642073E-03  0.12642073E-03  0.12642073E-03             NaN             NaN             NaN
  0.15620000E+00  0.15181481E-03  0.15181481E-03  0.15181481E-03             NaN             NaN             NaN
  0.18220000E+00  0.17775307E-03  0.17775307E-03  0.17775307E-03             NaN             NaN             NaN
  0.20820000E+00  0.20298193E-03  0.20298193E-03  0.20298193E-03             NaN             NaN             NaN
  0.23420000E+00  0.22810825E-03  0.22810825E-03  0.22810825E-03             NaN             NaN             NaN
  0.26030000E+00  0.25373813E-03  0.25373813E-03  0.25373813E-03             NaN             NaN             NaN
  0.28630000E+00  0.27923791E-03  0.27923791E-03  0.27923791E-03             NaN             NaN             NaN
  0.31230000E+00  0.30459482E-03  0.30459482E-03  0.30459482E-03             NaN             NaN             NaN
  0.33840000E+00  0.33041155E-03  0.33041155E-03  0.33041155E-03             NaN             NaN             NaN
  0.36440000E+00  0.35605763E-03  0.35605763E-03  0.35605763E-03             NaN             NaN             NaN
  0.39040000E+00  0.38152058E-03  0.38152058E-03  0.38152058E-03             NaN             NaN             NaN
  0.41640000E+00  0.40739892E-03  0.40739892E-03  0.40739892E-03             NaN             NaN             NaN
  0.44250000E+00  0.43305973E-03  0.43305973E-03  0.43305973E-03             NaN             NaN             NaN
  0.46850000E+00  0.45910418E-03  0.45910418E-03  0.45910418E-03             NaN             NaN             NaN
  0.49450000E+00  0.48490196E-03  0.48490196E-03  0.48490196E-03             NaN             NaN             NaN
  0.52050000E+00  0.51104347E-03  0.51104347E-03  0.51104347E-03             NaN             NaN             NaN
  0.54660000E+00  0.53691695E-03  0.53691695E-03  0.53691695E-03             NaN             NaN             NaN
  0.57260000E+00  0.56309262E-03  0.56309262E-03  0.56309262E-03             NaN             NaN             NaN
  0.59860000E+00  0.58896271E-03  0.58896271E-03  0.58896271E-03             NaN             NaN             NaN
  0.62470000E+00  0.61510944E-03  0.61510944E-03  0.61510944E-03             NaN             NaN             NaN
  0.65070000E+00  0.64150381E-03  0.64150381E-03  0.64150381E-03             NaN             NaN             NaN
