  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26000000E-01  0.57617239E-03  0.57617239E-03  0.57617239E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52100000E-01  0.11382198E-02  0.11382198E-02  0.11382198E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78100000E-01  0.17141729E-02  0.17141729E-02  0.17141729E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10410000E+00  0.22899217E-02  0.22899217E-02  0.22899217E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13010000E+00  0.28513252E-02  0.28513252E-02  0.28513252E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15620000E+00  0.34264240E-02  0.34264240E-02  0.34264240E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18220000E+00  0.40151251E-02  0.40151251E-02  0.40151251E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20820000E+00  0.45892902E-02  0.45892902E-02  0.45892902E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23420000E+00  0.51628745E-02  0.51628745E-02  0.51628745E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26030000E+00  0.57498286E-02  0.57498286E-02  0.57498286E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28630000E+00  0.63360429E-02  0.63360429E-02  0.63360429E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31230000E+00  0.69214432E-02  0.69214432E-02  0.69214432E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33840000E+00  0.75199592E-02  0.75199592E-02  0.75199592E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36440000E+00  0.81174981E-02  0.81174981E-02  0.81174981E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39040000E+00  0.87139853E-02  0.87139853E-02  0.87139853E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41640000E+00  0.93233250E-02  0.93233250E-02  0.93233250E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44250000E+00  0.99314080E-02  0.99314080E-02  0.99314080E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46850000E+00  0.10552152E-01  0.10552152E-01  0.10552152E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49450000E+00  0.11171461E-01  0.11171461E-01  0.11171461E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52050000E+00  0.11803189E-01  0.11803189E-01  0.11803189E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.54660000E+00  0.12433345E-01  0.12433345E-01  0.12433345E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.57260000E+00  0.13075663E-01  0.13075663E-01  0.13075663E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59860000E+00  0.13716174E-01  0.13716174E-01  0.13716174E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62470000E+00  0.14368678E-01  0.14368678E-01  0.14368678E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.65070000E+00  0.15032996E-01  0.15032996E-01  0.15032996E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67670000E+00  0.15709055E-01  0.15709055E-01  0.15709055E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70270000E+00  0.16382766E-01  0.16382766E-01  0.16382766E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.72880000E+00  0.17067918E-01  0.17067918E-01  0.17067918E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75480000E+00  0.17764375E-01  0.17764375E-01  0.17764375E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78080000E+00  0.18471926E-01  0.18471926E-01  0.18471926E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80680000E+00  0.19204263E-01  0.19204263E-01  0.19204263E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83290000E+00  0.19933538E-01  0.19933538E-01  0.19933538E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85890000E+00  0.20673455E-01  0.20673455E-01  0.20673455E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
