#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.026027    0.004059    0.004059    0.004059    0.000000   -0.000000    0.000000
    0.052055    0.008120    0.008120    0.008120    0.000000   -0.000000    0.000000
    0.078082    0.012187    0.012187    0.012187    0.000000   -0.000000    0.000000
    0.104109    0.016261    0.016261    0.016261    0.000000   -0.000000    0.000000
    0.130137    0.020345    0.020345    0.020345    0.000000   -0.000000    0.000000
    0.156164    0.024442    0.024442    0.024442    0.000000   -0.000000    0.000000
    0.182191    0.028554    0.028554    0.028554    0.000000   -0.000000    0.000000
    0.208219    0.032684    0.032684    0.032684    0.000000   -0.000000    0.000000
    0.234246    0.036835    0.036835    0.036835    0.000000   -0.000000    0.000000
    0.260273    0.041009    0.041009    0.041009    0.000000   -0.000000    0.000000
    0.286301    0.045209    0.045209    0.045209    0.000000   -0.000000    0.000000
    0.312328    0.049437    0.049437    0.049437    0.000000   -0.000000    0.000000
    0.338355    0.053697    0.053697    0.053697    0.000000   -0.000000    0.000000
    0.364383    0.057992    0.057992    0.057992    0.000000   -0.000000    0.000000
    0.390410    0.062324    0.062324    0.062324    0.000000   -0.000000    0.000000
    0.416437    0.066696    0.066696    0.066696    0.000000   -0.000000    0.000000
    0.442465    0.071112    0.071112    0.071112    0.000000   -0.000000    0.000000
    0.468492    0.075574    0.075574    0.075574    0.000000   -0.000000    0.000000
    0.494520    0.080086    0.080086    0.080086    0.000000   -0.000000    0.000000
    0.520547    0.084651    0.084651    0.084651    0.000000   -0.000000    0.000000
    0.546574    0.089273    0.089273    0.089273    0.000000   -0.000000    0.000000
    0.572602    0.093956    0.093956    0.093956    0.000000   -0.000000    0.000000
    0.598629    0.098701    0.098701    0.098701    0.000000   -0.000000    0.000000
    0.624656    0.103515    0.103515    0.103515    0.000000   -0.000000    0.000000
    0.650684    0.108400    0.108400    0.108400    0.000000   -0.000000    0.000000
    0.676711    0.113361    0.113361    0.113361    0.000000   -0.000000    0.000000
    0.702738    0.118402    0.118402    0.118402    0.000000   -0.000000    0.000000
    0.728766    0.123527    0.123527    0.123527    0.000000   -0.000000    0.000000
    0.754793    0.128741    0.128741    0.128741    0.000000   -0.000000    0.000000
    0.780820    0.134048    0.134048    0.134048    0.000000   -0.000000    0.000000
    0.806848    0.139454    0.139454    0.139454    0.000000   -0.000000    0.000000
    0.832875    0.144964    0.144964    0.144964    0.000000   -0.000000    0.000000
    0.858902    0.150583    0.150583    0.150583    0.000000   -0.000000    0.000000
    0.884930    0.156317    0.156317    0.156317    0.000000   -0.000000    0.000000
    0.910957    0.162172    0.162172    0.162172    0.000000   -0.000000    0.000000
    0.936984    0.168154    0.168154    0.168154    0.000000   -0.000000    0.000000
    0.963012    0.174269    0.174269    0.174269    0.000000   -0.000000    0.000000
    0.989039    0.180525    0.180525    0.180525    0.000000   -0.000000    0.000000
    1.015066    0.186928    0.186928    0.186928    0.000000   -0.000000    0.000000
    1.041094    0.193487    0.193487    0.193487    0.000000   -0.000000    0.000000
    1.067121    0.200209    0.200209    0.200209    0.000000   -0.000000    0.000000
    1.093148    0.207103    0.207103    0.207103    0.000000   -0.000000    0.000000
    1.119176    0.214178    0.214178    0.214178    0.000000   -0.000000    0.000000
    1.145203    0.221443    0.221443    0.221443    0.000000   -0.000000    0.000000
    1.171230    0.228908    0.228908    0.228908    0.000000   -0.000000    0.000000
    1.197258    0.236584    0.236584    0.236584    0.000000   -0.000000    0.000000
    1.223285    0.244483    0.244483    0.244483    0.000000   -0.000000    0.000000
    1.249312    0.252615    0.252615    0.252615    0.000000   -0.000000    0.000000
    1.275340    0.260994    0.260994    0.260994    0.000000   -0.000000    0.000000
    1.301367    0.269634    0.269634    0.269634    0.000000   -0.000000    0.000000
    1.327394    0.278548    0.278548    0.278548    0.000000   -0.000000    0.000000
    1.353422    0.287753    0.287753    0.287753    0.000000   -0.000000    0.000000
    1.379449    0.297265    0.297265    0.297265    0.000000   -0.000000    0.000000
    1.405476    0.307100    0.307100    0.307100    0.000000   -0.000000    0.000000
    1.431504    0.317280    0.317280    0.317280    0.000000   -0.000000    0.000000
    1.457531    0.327823    0.327823    0.327823    0.000000   -0.000000    0.000000
    1.483559    0.338751    0.338751    0.338751    0.000000   -0.000000    0.000000
    1.509586    0.350088    0.350088    0.350088    0.000000   -0.000000    0.000000
    1.535613    0.361858    0.361858    0.361858    0.000000   -0.000000    0.000000
    1.561641    0.374091    0.374091    0.374091    0.000000   -0.000000    0.000000
    1.587668    0.386814    0.386814    0.386814    0.000000   -0.000000    0.000000
    1.613695    0.400059    0.400059    0.400059    0.000000   -0.000000    0.000000
    1.639723    0.413862    0.413862    0.413862    0.000000   -0.000000    0.000000
    1.665750    0.428260    0.428260    0.428260    0.000000   -0.000000    0.000000
    1.691777    0.443294    0.443294    0.443294    0.000000   -0.000000    0.000000
    1.717805    0.459008    0.459008    0.459008    0.000000   -0.000000    0.000000
    1.743832    0.475452    0.475452    0.475452    0.000000   -0.000000    0.000000
    1.769859    0.492679    0.492679    0.492679    0.000000   -0.000000    0.000000
    1.795887    0.510747    0.510747    0.510747    0.000000   -0.000000    0.000000
    1.821914    0.529721    0.529721    0.529721    0.000000   -0.000000    0.000000
    1.847941    0.549673    0.549673    0.549673    0.000000   -0.000000    0.000000
    1.873969    0.570682    0.570682    0.570682    0.000000   -0.000000    0.000000
    1.899996    0.592835    0.592835    0.592835    0.000000   -0.000000    0.000000
    1.926023    0.616229    0.616229    0.616229    0.000000   -0.000000    0.000000
    1.952051    0.640974    0.640974    0.640974    0.000000   -0.000000    0.000000
    1.978078    0.667192    0.667192    0.667192    0.000000   -0.000000    0.000000
    2.004105    0.695019    0.695019    0.695019    0.000000   -0.000000    0.000000
    2.030133    0.724610    0.724610    0.724610    0.000000   -0.000000    0.000000
    2.056160    0.756140    0.756140    0.756140    0.000000   -0.000000    0.000000
    2.082187    0.789809    0.789809    0.789809    0.000000   -0.000000    0.000000
    2.108215    0.825844    0.825844    0.825844    0.000000   -0.000000    0.000000
    2.134242    0.864507    0.864507    0.864507    0.000000   -0.000000    0.000000
    2.160269    0.906101    0.906101    0.906101    0.000000   -0.000000    0.000000
    2.186297    0.950977    0.950977    0.950977    0.000000   -0.000000    0.000000
    2.212324    0.999545    0.999545    0.999545    0.000000   -0.000000    0.000000
    2.238351    1.052290    1.052290    1.052290    0.000000   -0.000000    0.000000
    2.264379    1.109786    1.109786    1.109786    0.000000   -0.000000    0.000000
    2.290406    1.172718    1.172718    1.172718    0.000000   -0.000000    0.000000
    2.316433    1.241917    1.241917    1.241917    0.000000   -0.000000    0.000000
    2.342461    1.318391    1.318391    1.318391    0.000000   -0.000000    0.000000
    2.368488    1.403384    1.403384    1.403384    0.000000   -0.000000    0.000000
    2.394516    1.498449    1.498449    1.498449    0.000000   -0.000000    0.000000
    2.420543    1.605544    1.605544    1.605544    0.000000    0.000000    0.000000
    2.446570    1.727181    1.727181    1.727181    0.000000    0.000000    0.000000
    2.472598    1.866624    1.866624    1.866624    0.000000    0.000000    0.000000
    2.498625    2.028189    2.028189    2.028189    0.000000    0.000000    0.000000
    2.524652    2.217669    2.217669    2.217669    0.000000    0.000000    0.000000
    2.550680    2.442937    2.442937    2.442937    0.000000    0.000000    0.000000
    2.576707    2.714742    2.714742    2.714742    0.000000    0.000000    0.000000
    2.602734    3.047580    3.047580    3.047580    0.000000    0.000000    0.000000
    2.628762    3.459923    3.459923    3.459923    0.000000    0.000000    0.000000
    2.654789    3.972039    3.972039    3.972039    0.000000    0.000000    0.000000
    2.680816    4.598803    4.598803    4.598803    0.000000    0.000000    0.000000
    2.706844    5.340258    5.340258    5.340258    0.000000    0.000000    0.000000
    2.732871    6.182924    6.182924    6.182924    0.000000    0.000000    0.000000
    2.758898    7.114255    7.114255    7.114255    0.000000    0.000000    0.000000
    2.784926    8.129201    8.129201    8.129201    0.000000    0.000000    0.000000
    2.810953    9.220442    9.220442    9.220442    0.000000    0.000000    0.000000
    2.836980   10.364533   10.364533   10.364533    0.000000    0.000000    0.000000
    2.863008   11.518383   11.518383   11.518383    0.000000    0.000000    0.000000
    2.889035   12.633180   12.633180   12.633180    0.000000    0.000000    0.000000
    2.915062   13.674630   13.674630   13.674630    0.000000    0.000000    0.000000
    2.941090   14.631006   14.631006   14.631006    0.000000    0.000000   -0.000000
    2.967117   15.507486   15.507486   15.507486    0.000000    0.000000   -0.000000
    2.993144   16.316546   16.316546   16.316546    0.000000    0.000000   -0.000000
    3.019172   17.071004   17.071004   17.071004    0.000000    0.000000   -0.000000
    3.045199   17.780682   17.780682   17.780682    0.000000    0.000000    0.000000
    3.071226   18.452034   18.452034   18.452034    0.000000    0.000000    0.000000
    3.097254   19.089819   19.089819   19.089819    0.000000    0.000000    0.000000
    3.123281   19.699443   19.699443   19.699443   -0.000000    0.000000    0.000000
    3.149308   20.288856   20.288856   20.288856   -0.000000    0.000000    0.000000
    3.175336   20.865924   20.865924   20.865924   -0.000000    0.000000   -0.000000
    3.201363   21.433142   21.433142   21.433142   -0.000000    0.000000   -0.000000
    3.227390   21.986694   21.986694   21.986694    0.000000   -0.000000   -0.000000
    3.253418   22.520414   22.520414   22.520414    0.000000   -0.000000   -0.000000
    3.279445   23.031525   23.031525   23.031525    0.000000   -0.000000   -0.000000
    3.305472   23.525148   23.525148   23.525148    0.000000   -0.000000   -0.000000
    3.331500   24.013034   24.013034   24.013034    0.000000   -0.000000   -0.000000
    3.357527   24.508716   24.508716   24.508716    0.000000   -0.000000   -0.000000
    3.383555   25.025504   25.025504   25.025504    0.000000   -0.000000   -0.000000
