#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   12.658606   12.658606   12.658606    0.000000   -0.000000    0.000000
    0.026027   12.659136   12.659136   12.659136    0.000000   -0.000000    0.000000
    0.052055   12.660718   12.660718   12.660718    0.000000   -0.000000    0.000000
    0.078082   12.663353   12.663353   12.663353    0.000000   -0.000000    0.000000
    0.104109   12.667044   12.667044   12.667044    0.000000   -0.000000    0.000000
    0.130137   12.671792   12.671792   12.671792    0.000000   -0.000000    0.000000
    0.156164   12.677604   12.677604   12.677604    0.000000   -0.000000    0.000000
    0.182191   12.684481   12.684481   12.684481    0.000000   -0.000000    0.000000
    0.208219   12.692420   12.692420   12.692420    0.000000   -0.000000    0.000000
    0.234246   12.701437   12.701437   12.701437    0.000000   -0.000000    0.000000
    0.260273   12.711539   12.711539   12.711539    0.000000   -0.000000    0.000000
    0.286301   12.722726   12.722726   12.722726    0.000000   -0.000000    0.000000
    0.312328   12.735003   12.735003   12.735003    0.000000   -0.000000    0.000000
    0.338355   12.748377   12.748377   12.748377    0.000000   -0.000000    0.000000
    0.364383   12.762867   12.762867   12.762867    0.000000   -0.000000    0.000000
    0.390410   12.778473   12.778473   12.778473    0.000000   -0.000000    0.000000
    0.416437   12.795203   12.795203   12.795203    0.000000   -0.000000    0.000000
    0.442465   12.813081   12.813081   12.813081    0.000000   -0.000000    0.000000
    0.468492   12.832109   12.832109   12.832109    0.000000   -0.000000    0.000000
    0.494520   12.852300   12.852300   12.852300    0.000000   -0.000000    0.000000
    0.520547   12.873660   12.873660   12.873660    0.000000   -0.000000    0.000000
    0.546574   12.896224   12.896224   12.896224    0.000000   -0.000000    0.000000
    0.572602   12.919991   12.919991   12.919991    0.000000   -0.000000    0.000000
    0.598629   12.944978   12.944978   12.944978    0.000000   -0.000000    0.000000
    0.624656   12.971206   12.971206   12.971206    0.000000   -0.000000    0.000000
    0.650684   12.998683   12.998683   12.998683    0.000000   -0.000000    0.000000
    0.676711   13.027442   13.027442   13.027442    0.000000   -0.000000    0.000000
    0.702738   13.057497   13.057497   13.057497    0.000000   -0.000000    0.000000
    0.728766   13.088865   13.088865   13.088865    0.000000   -0.000000    0.000000
    0.754793   13.121577   13.121577   13.121577    0.000000   -0.000000    0.000000
    0.780820   13.155651   13.155651   13.155651    0.000000   -0.000000    0.000000
    0.806848   13.191110   13.191110   13.191110    0.000000   -0.000000    0.000000
    0.832875   13.227983   13.227983   13.227983    0.000000   -0.000000    0.000000
    0.858902   13.266299   13.266299   13.266299    0.000000   -0.000000    0.000000
    0.884930   13.306085   13.306085   13.306085    0.000000   -0.000000    0.000000
    0.910957   13.347368   13.347368   13.347368    0.000000   -0.000000    0.000000
