  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.31494625E+00  0.31494625E+00  0.31494625E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.26000000E-01  0.31495386E+00  0.31495386E+00  0.31495386E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.52100000E-01  0.31497820E+00  0.31497820E+00  0.31497820E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.78100000E-01  0.31501927E+00  0.31501927E+00  0.31501927E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10410000E+00  0.31507402E+00  0.31507402E+00  0.31507402E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13010000E+00  0.31514699E+00  0.31514699E+00  0.31514699E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15620000E+00  0.31523513E+00  0.31523513E+00  0.31523513E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18220000E+00  0.31533994E+00  0.31533994E+00  0.31533994E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20820000E+00  0.31545986E+00  0.31545986E+00  0.31545986E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.23420000E+00  0.31559640E+00  0.31559640E+00  0.31559640E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.26030000E+00  0.31574951E+00  0.31574951E+00  0.31574951E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.28630000E+00  0.31591916E+00  0.31591916E+00  0.31591916E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.31230000E+00  0.31610531E+00  0.31610531E+00  0.31610531E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.33840000E+00  0.31630791E+00  0.31630791E+00  0.31630791E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.36440000E+00  0.31652690E+00  0.31652690E+00  0.31652690E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.39040000E+00  0.31676224E+00  0.31676224E+00  0.31676224E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.41640000E+00  0.31701387E+00  0.31701387E+00  0.31701387E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.44250000E+00  0.31728322E+00  0.31728322E+00  0.31728322E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.46850000E+00  0.31756873E+00  0.31756873E+00  0.31756873E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.49450000E+00  0.31787182E+00  0.31787182E+00  0.31787182E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.52050000E+00  0.31819242E+00  0.31819242E+00  0.31819242E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.54660000E+00  0.31852893E+00  0.31852893E+00  0.31852893E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.57260000E+00  0.31888427E+00  0.31888427E+00  0.31888427E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.59860000E+00  0.31925683E+00  0.31925683E+00  0.31925683E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.62470000E+00  0.31964653E+00  0.31964653E+00  0.31964653E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.65070000E+00  0.32005475E+00  0.32005475E+00  0.32005475E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.67670000E+00  0.32047989E+00  0.32047989E+00  0.32047989E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.70270000E+00  0.32092477E+00  0.32092477E+00  0.32092477E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.72880000E+00  0.32138781E+00  0.32138781E+00  0.32138781E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.75480000E+00  0.32186888E+00  0.32186888E+00  0.32186888E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.78080000E+00  0.32236929E+00  0.32236929E+00  0.32236929E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.80680000E+00  0.32288748E+00  0.32288748E+00  0.32288748E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.83290000E+00  0.32342615E+00  0.32342615E+00  0.32342615E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.85890000E+00  0.32398370E+00  0.32398370E+00  0.32398370E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.88490000E+00  0.32456143E+00  0.32456143E+00  0.32456143E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.91100000E+00  0.32515916E+00  0.32515916E+00  0.32515916E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.93700000E+00  0.32577669E+00  0.32577669E+00  0.32577669E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.96300000E+00  0.32641526E+00  0.32641526E+00  0.32641526E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.98900000E+00  0.32707464E+00  0.32707464E+00  0.32707464E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10151000E+01  0.32775466E+00  0.32775466E+00  0.32775466E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10411000E+01  0.32845651E+00  0.32845651E+00  0.32845651E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10671000E+01  0.32917991E+00  0.32917991E+00  0.32917991E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10931000E+01  0.32992605E+00  0.32992605E+00  0.32992605E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11192000E+01  0.33069466E+00  0.33069466E+00  0.33069466E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11452000E+01  0.33148543E+00  0.33148543E+00  0.33148543E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11712000E+01  0.33229953E+00  0.33229953E+00  0.33229953E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11973000E+01  0.33313800E+00  0.33313800E+00  0.33313800E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12233000E+01  0.33400052E+00  0.33400052E+00  0.33400052E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12493000E+01  0.33488811E+00  0.33488811E+00  0.33488811E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
