  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.35578926E+01  0.35578926E+01  0.35578926E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26000000E-01  0.35579629E+01  0.35579629E+01  0.35579629E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52100000E-01  0.35581879E+01  0.35581879E+01  0.35581879E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78100000E-01  0.35585675E+01  0.35585675E+01  0.35585675E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10410000E+00  0.35590736E+01  0.35590736E+01  0.35590736E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13010000E+00  0.35597483E+01  0.35597483E+01  0.35597483E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15620000E+00  0.35605634E+01  0.35605634E+01  0.35605634E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18220000E+00  0.35615328E+01  0.35615328E+01  0.35615328E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20820000E+00  0.35626424E+01  0.35626424E+01  0.35626424E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23420000E+00  0.35639061E+01  0.35639061E+01  0.35639061E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26030000E+00  0.35653237E+01  0.35653237E+01  0.35653237E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28630000E+00  0.35668950E+01  0.35668950E+01  0.35668950E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31230000E+00  0.35686199E+01  0.35686199E+01  0.35686199E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33840000E+00  0.35704981E+01  0.35704981E+01  0.35704981E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36440000E+00  0.35725293E+01  0.35725293E+01  0.35725293E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39040000E+00  0.35747134E+01  0.35747134E+01  0.35747134E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41640000E+00  0.35770500E+01  0.35770500E+01  0.35770500E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44250000E+00  0.35795529E+01  0.35795529E+01  0.35795529E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46850000E+00  0.35822076E+01  0.35822076E+01  0.35822076E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49450000E+00  0.35850279E+01  0.35850279E+01  0.35850279E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52050000E+00  0.35880133E+01  0.35880133E+01  0.35880133E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.54660000E+00  0.35911495E+01  0.35911495E+01  0.35911495E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.57260000E+00  0.35944639E+01  0.35944639E+01  0.35944639E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59860000E+00  0.35979422E+01  0.35979422E+01  0.35979422E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62470000E+00  0.36015839E+01  0.36015839E+01  0.36015839E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.65070000E+00  0.36054023E+01  0.36054023E+01  0.36054023E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67670000E+00  0.36093832E+01  0.36093832E+01  0.36093832E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.70270000E+00  0.36135534E+01  0.36135534E+01  0.36135534E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.72880000E+00  0.36178987E+01  0.36178987E+01  0.36178987E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75480000E+00  0.36224185E+01  0.36224185E+01  0.36224185E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78080000E+00  0.36271258E+01  0.36271258E+01  0.36271258E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80680000E+00  0.36320062E+01  0.36320062E+01  0.36320062E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83290000E+00  0.36370864E+01  0.36370864E+01  0.36370864E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85890000E+00  0.36423519E+01  0.36423519E+01  0.36423519E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.88490000E+00  0.36478156E+01  0.36478156E+01  0.36478156E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91100000E+00  0.36534768E+01  0.36534768E+01  0.36534768E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.93700000E+00  0.36593344E+01  0.36593344E+01  0.36593344E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96300000E+00  0.36654011E+01  0.36654011E+01  0.36654011E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98900000E+00  0.36716759E+01  0.36716759E+01  0.36716759E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10151000E+01  0.36781579E+01  0.36781579E+01  0.36781579E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10411000E+01  0.36848595E+01  0.36848595E+01  0.36848595E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10671000E+01  0.36917794E+01  0.36917794E+01  0.36917794E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10931000E+01  0.36989301E+01  0.36989301E+01  0.36989301E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11192000E+01  0.37063102E+01  0.37063102E+01  0.37063102E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11452000E+01  0.37139182E+01  0.37139182E+01  0.37139182E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11712000E+01  0.37217665E+01  0.37217665E+01  0.37217665E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11973000E+01  0.37298667E+01  0.37298667E+01  0.37298667E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12233000E+01  0.37382174E+01  0.37382174E+01  0.37382174E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12493000E+01  0.37468302E+01  0.37468302E+01  0.37468302E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12753000E+01  0.37557033E+01  0.37557033E+01  0.37557033E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13014000E+01  0.37648482E+01  0.37648482E+01  0.37648482E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13274000E+01  0.37742762E+01  0.37742762E+01  0.37742762E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13534000E+01  0.37839855E+01  0.37839855E+01  0.37839855E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
