#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.026518    0.229922    0.229922    0.229922    0.000000    0.000000    0.000000
    0.053037    0.445841    0.445841    0.445841    0.000000    0.000000    0.000000
    0.079555    0.635432    0.635432    0.635432    0.000000    0.000000    0.000000
    0.106073    0.789447    0.789447    0.789447    0.000000    0.000000    0.000000
    0.132592    0.902576    0.902576    0.902576    0.000000    0.000000    0.000000
    0.159110    0.973698    0.973698    0.973698   -0.000000    0.000000    0.000000
    0.185628    1.005500    1.005500    1.005500   -0.000000    0.000000    0.000000
    0.212147    1.003643    1.003643    1.003643   -0.000000    0.000000    0.000000
    0.238665    0.975644    0.975644    0.975644   -0.000000    0.000000    0.000000
    0.265183    0.929714    0.929714    0.929714   -0.000000    0.000000    0.000000
    0.291702    0.873749    0.873749    0.873749   -0.000000    0.000000   -0.000000
    0.318220    0.814573    0.814573    0.814573   -0.000000    0.000000   -0.000000
    0.344738    0.757529    0.757529    0.757529   -0.000000    0.000000   -0.000000
    0.371257    0.706335    0.706335    0.706335   -0.000000    0.000000   -0.000000
    0.397775    0.663211    0.663211    0.663211   -0.000000    0.000000   -0.000000
    0.424294    0.629123    0.629123    0.629123   -0.000000    0.000000    0.000000
    0.450812    0.604115    0.604115    0.604115   -0.000000    0.000000    0.000000
    0.477330    0.587623    0.587623    0.587623   -0.000000    0.000000    0.000000
    0.503849    0.578754    0.578754    0.578754   -0.000000    0.000000    0.000000
    0.530367    0.576488    0.576488    0.576488   -0.000000    0.000000    0.000000
    0.556885    0.579823    0.579823    0.579823   -0.000000    0.000000    0.000000
    0.583404    0.587849    0.587849    0.587849   -0.000000    0.000000    0.000000
    0.609922    0.599795    0.599795    0.599795   -0.000000    0.000000    0.000000
    0.636440    0.615026    0.615026    0.615026   -0.000000    0.000000    0.000000
    0.662959    0.633041    0.633041    0.633041   -0.000000    0.000000    0.000000
    0.689477    0.653451    0.653451    0.653451   -0.000000    0.000000    0.000000
    0.715995    0.675961    0.675961    0.675961   -0.000000    0.000000    0.000000
    0.742514    0.700350    0.700350    0.700350   -0.000000    0.000000    0.000000
    0.769032    0.726456    0.726456    0.726456   -0.000000    0.000000    0.000000
    0.795550    0.754169    0.754169    0.754169   -0.000000    0.000000    0.000000
    0.822069    0.783410    0.783410    0.783410   -0.000000    0.000000    0.000000
    0.848587    0.814135    0.814135    0.814135   -0.000000    0.000000    0.000000
    0.875105    0.846321    0.846321    0.846321   -0.000000    0.000000    0.000000
    0.901624    0.879971    0.879971    0.879971   -0.000000    0.000000    0.000000
    0.928142    0.915105    0.915105    0.915105   -0.000000    0.000000    0.000000
    0.954660    0.951758    0.951758    0.951758   -0.000000    0.000000    0.000000
    0.981179    0.989984    0.989984    0.989984   -0.000000    0.000000    0.000000
    1.007697    1.029847    1.029847    1.029847   -0.000000    0.000000    0.000000
    1.034215    1.071428    1.071428    1.071428   -0.000000    0.000000    0.000000
    1.060734    1.114818    1.114818    1.114818   -0.000000    0.000000    0.000000
    1.087252    1.160122    1.160122    1.160122   -0.000000    0.000000    0.000000
    1.113771    1.207455    1.207455    1.207455   -0.000000    0.000000    0.000000
    1.140289    1.256946    1.256946    1.256946   -0.000000    0.000000    0.000000
    1.166807    1.308732    1.308732    1.308732   -0.000000    0.000000    0.000000
    1.193326    1.362967    1.362967    1.362967   -0.000000   -0.000000    0.000000
    1.219844    1.419820    1.419820    1.419820   -0.000000   -0.000000    0.000000
    1.246362    1.479472    1.479472    1.479472   -0.000000   -0.000000    0.000000
    1.272881    1.542126    1.542126    1.542126   -0.000000   -0.000000    0.000000
    1.299399    1.608003    1.608003    1.608003   -0.000000   -0.000000    0.000000
    1.325917    1.677350    1.677350    1.677350   -0.000000   -0.000000    0.000000
    1.352436    1.750439    1.750439    1.750439   -0.000000   -0.000000    0.000000
    1.378954    1.827570    1.827570    1.827570   -0.000000   -0.000000    0.000000
    1.405472    1.909077    1.909077    1.909077   -0.000000   -0.000000    0.000000
    1.431991    1.995337    1.995337    1.995337   -0.000000   -0.000000    0.000000
    1.458509    2.086765    2.086765    2.086765   -0.000000   -0.000000    0.000000
    1.485027    2.183825    2.183825    2.183825   -0.000000   -0.000000    0.000000
    1.511546    2.287043    2.287043    2.287043   -0.000000   -0.000000    0.000000
    1.538064    2.397001    2.397001    2.397001   -0.000000   -0.000000    0.000000
    1.564582    2.514358    2.514358    2.514358   -0.000000   -0.000000    0.000000
    1.591101    2.639866    2.639866    2.639866   -0.000000   -0.000000    0.000000
    1.617619    2.774371    2.774371    2.774371   -0.000000   -0.000000    0.000000
    1.644137    2.918837    2.918837    2.918837   -0.000000   -0.000000    0.000000
    1.670656    3.074368    3.074368    3.074368   -0.000000   -0.000000    0.000000
    1.697174    3.242239    3.242239    3.242239   -0.000000   -0.000000    0.000000
    1.723692    3.423916    3.423916    3.423916   -0.000000   -0.000000    0.000000
    1.750211    3.621112    3.621112    3.621112   -0.000000   -0.000000    0.000000
    1.776729    3.835832    3.835832    3.835832   -0.000000   -0.000000    0.000000
    1.803248    4.070438    4.070438    4.070438   -0.000000   -0.000000    0.000000
    1.829766    4.327735    4.327735    4.327735   -0.000000   -0.000000    0.000000
    1.856284    4.611085    4.611085    4.611085   -0.000000   -0.000000    0.000000
    1.882803    4.924554    4.924554    4.924554   -0.000000   -0.000000    0.000000
    1.909321    5.273098    5.273098    5.273098   -0.000000   -0.000000    0.000000
