#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   37.912702   37.912702   37.912702   -0.000000    0.000000    0.000000
    0.026518   37.890466   37.890466   37.890466   -0.000000    0.000000    0.000000
    0.053037   37.826107   37.826107   37.826107   -0.000000    0.000000    0.000000
    0.079555   37.726299   37.726299   37.726299   -0.000000    0.000000    0.000000
    0.106073   37.601109   37.601109   37.601109   -0.000000    0.000000    0.000000
    0.132592   37.462561   37.462561   37.462561   -0.000000    0.000000    0.000000
    0.159110   37.323098   37.323098   37.323098   -0.000000    0.000000    0.000000
    0.185628   37.194121   37.194121   37.194121   -0.000000    0.000000    0.000000
    0.212147   37.084857   37.084857   37.084857   -0.000000    0.000000    0.000000
    0.238665   37.001736   37.001736   37.001736   -0.000000    0.000000    0.000000
    0.265183   36.948287   36.948287   36.948287   -0.000000    0.000000    0.000000
    0.291702   36.925239   36.925239   36.925239   -0.000000    0.000000    0.000000
    0.318220   36.931216   36.931216   36.931216   -0.000000    0.000000    0.000000
    0.344738   36.963488   36.963488   36.963488   -0.000000    0.000000    0.000000
    0.371257   37.018454   37.018454   37.018454   -0.000000    0.000000    0.000000
    0.397775   37.092412   37.092412   37.092412   -0.000000    0.000000    0.000000
    0.424294   37.181809   37.181809   37.181809   -0.000000    0.000000    0.000000
    0.450812   37.283720   37.283720   37.283720   -0.000000    0.000000    0.000000
    0.477330   37.395787   37.395787   37.395787   -0.000000    0.000000    0.000000
    0.503849   37.516253   37.516253   37.516253   -0.000000    0.000000    0.000000
    0.530367   37.643924   37.643924   37.643924   -0.000000    0.000000    0.000000
    0.556885   37.778103   37.778103   37.778103   -0.000000    0.000000    0.000000
    0.583404   37.918374   37.918374   37.918374   -0.000000    0.000000    0.000000
    0.609922   38.064625   38.064625   38.064625   -0.000000    0.000000    0.000000
    0.636440   38.216877   38.216877   38.216877   -0.000000    0.000000    0.000000
    0.662959   38.375258   38.375258   38.375258   -0.000000    0.000000    0.000000
    0.689477   38.539994   38.539994   38.539994   -0.000000    0.000000    0.000000
    0.715995   38.711330   38.711330   38.711330   -0.000000    0.000000    0.000000
    0.742514   38.889577   38.889577   38.889577   -0.000000    0.000000    0.000000
    0.769032   39.074963   39.074963   39.074963   -0.000000    0.000000    0.000000
    0.795550   39.267846   39.267846   39.267846   -0.000000    0.000000    0.000000
    0.822069   39.468527   39.468527   39.468527   -0.000000    0.000000    0.000000
    0.848587   39.677344   39.677344   39.677344   -0.000000    0.000000    0.000000
    0.875105   39.894590   39.894590   39.894590   -0.000000    0.000000    0.000000
    0.901624   40.120656   40.120656   40.120656   -0.000000    0.000000    0.000000
    0.928142   40.355859   40.355859   40.355859   -0.000000    0.000000    0.000000
    0.954660   40.600654   40.600654   40.600654   -0.000000    0.000000    0.000000
    0.981179   40.855353   40.855353   40.855353   -0.000000    0.000000    0.000000
    1.007697   41.120364   41.120364   41.120364   -0.000000    0.000000    0.000000
    1.034215   41.396161   41.396161   41.396161   -0.000000    0.000000    0.000000
    1.060734   41.683194   41.683194   41.683194   -0.000000    0.000000    0.000000
    1.087252   41.981891   41.981891   41.981891   -0.000000    0.000000    0.000000
    1.113771   42.292800   42.292800   42.292800   -0.000000    0.000000    0.000000
    1.140289   42.616384   42.616384   42.616384   -0.000000    0.000000    0.000000
    1.166807   42.953284   42.953284   42.953284   -0.000000    0.000000    0.000000
    1.193326   43.304070   43.304070   43.304070   -0.000000    0.000000    0.000000
    1.219844   43.669368   43.669368   43.669368   -0.000000    0.000000    0.000000
    1.246362   44.049879   44.049879   44.049879   -0.000000    0.000000    0.000000
    1.272881   44.446352   44.446352   44.446352   -0.000000    0.000000    0.000000
    1.299399   44.859564   44.859564   44.859564   -0.000000    0.000000    0.000000
    1.325917   45.290388   45.290388   45.290388   -0.000000    0.000000    0.000000
    1.352436   45.739725   45.739725   45.739725   -0.000000    0.000000    0.000000
    1.378954   46.208550   46.208550   46.208550   -0.000000    0.000000    0.000000
