 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42800000E-01  0.24007804E+04  0.24007804E+04  0.10164296E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85600000E-01  0.99667196E+04  0.99667196E+04  0.44119930E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12840000E+00  0.23789826E+05  0.23789826E+05  0.11341283E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17120000E+00  0.45395749E+05  0.45395749E+05  0.23867750E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21410000E+00  0.75040813E+05  0.75040813E+05  0.43865468E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25690000E+00  0.10934826E+06  0.10934826E+06  0.70696399E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29970000E+00  0.14342334E+06  0.14342334E+06  0.10020500E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34250000E+00  0.17289760E+06  0.17289760E+06  0.12504357E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38530000E+00  0.19543841E+06  0.19543841E+06  0.14077719E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42810000E+00  0.21149937E+06  0.21149937E+06  0.14897253E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47090000E+00  0.22221556E+06  0.22221556E+06  0.15313458E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51370000E+00  0.22781318E+06  0.22781318E+06  0.15637950E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55660000E+00  0.22981686E+06  0.22981686E+06  0.16163753E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59940000E+00  0.23097449E+06  0.23097449E+06  0.17066184E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64220000E+00  0.23310605E+06  0.23310605E+06  0.18362833E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68500000E+00  0.23668472E+06  0.23668535E+06  0.19956340E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
