  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.42800000E-01  0.16022691E-02  0.16022691E-02  0.68618625E-02             NaN             NaN             NaN
  0.85600000E-01  0.32370279E-02  0.32370279E-02  0.14679461E-01             NaN             NaN             NaN
  0.12840000E+00  0.49477059E-02  0.49477059E-02  0.24621957E-01             NaN             NaN             NaN
  0.17120000E+00  0.68006619E-02  0.68006619E-02  0.38061715E-01             NaN             NaN             NaN
  0.21410000E+00  0.88613987E-02  0.88613987E-02  0.55669875E-01             NaN             NaN             NaN
  0.25690000E+00  0.11126523E-01  0.11126523E-01  0.76779203E-01             NaN             NaN             NaN
  0.29970000E+00  0.13592775E-01  0.13592775E-01  0.99762198E-01             NaN             NaN             NaN
  0.34250000E+00  0.16327386E-01  0.16327386E-01  0.12063349E+00             NaN             NaN             NaN
  0.38530000E+00  0.19387643E-01  0.19387643E-01  0.13474966E+00             NaN             NaN             NaN
  0.42810000E+00  0.22800514E-01  0.22800514E-01  0.14078929E+00             NaN             NaN             NaN
  0.47090000E+00  0.26686950E-01  0.26686950E-01  0.14062047E+00             NaN             NaN             NaN
  0.51370000E+00  0.31296789E-01  0.31296789E-01  0.13709320E+00             NaN             NaN             NaN
  0.55660000E+00  0.36558651E-01  0.36558651E-01  0.13345219E+00             NaN             NaN             NaN
  0.59940000E+00  0.41956603E-01  0.41956603E-01  0.13203664E+00             NaN             NaN             NaN
  0.64220000E+00  0.47031111E-01  0.47031111E-01  0.13356132E+00             NaN             NaN             NaN
  0.68500000E+00  0.51624435E-01  0.51624307E-01  0.13756208E+00             NaN             NaN             NaN
  0.72780000E+00  0.55829090E-01  0.55829090E-01  0.14316532E+00             NaN             NaN             NaN
  0.77060000E+00  0.59810291E-01  0.59810291E-01  0.14943164E+00             NaN             NaN             NaN
  0.81340000E+00  0.63554234E-01  0.63554234E-01  0.15558647E+00             NaN             NaN             NaN
  0.85620000E+00  0.66900484E-01  0.66900484E-01  0.16104520E+00             NaN             NaN             NaN
  0.89910000E+00  0.69909842E-01  0.69909842E-01  0.16547078E+00             NaN             NaN             NaN
  0.94190000E+00  0.72907494E-01  0.72907494E-01  0.16877904E+00             NaN             NaN             NaN
  0.98470000E+00  0.76326205E-01  0.76326205E-01  0.17092477E+00             NaN             NaN             NaN
  0.10275000E+01  0.80766121E-01  0.80766121E-01  0.17194215E+00             NaN             NaN             NaN
  0.10703000E+01  0.86970216E-01  0.86970216E-01  0.17229934E+00             NaN             NaN             NaN
  0.11131000E+01  0.94959301E-01  0.94959301E-01  0.17274073E+00             NaN             NaN             NaN
  0.11559000E+01  0.10415106E+00  0.10415106E+00  0.17343321E+00             NaN             NaN             NaN
  0.11987000E+01  0.11424345E+00  0.11424345E+00  0.17409319E+00             NaN             NaN             NaN
  0.12416000E+01  0.12534010E+00  0.12534010E+00  0.17457101E+00             NaN             NaN             NaN
  0.12844000E+01  0.13790771E+00  0.13790771E+00  0.17465827E+00             NaN             NaN             NaN
  0.13272000E+01  0.15273402E+00  0.15273402E+00  0.17432919E+00             NaN             NaN             NaN
  0.13700000E+01  0.17047005E+00  0.17047005E+00  0.17388011E+00             NaN             NaN             NaN
  0.14128000E+01  0.19024880E+00  0.19024880E+00  0.17400072E+00             NaN             NaN             NaN
  0.14556000E+01  0.20953320E+00  0.20953320E+00  0.17467259E+00             NaN             NaN             NaN
