  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42800000E-01  0.55343304E+00  0.55343304E+00  0.23430953E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85600000E-01  0.11487748E+01  0.11487748E+01  0.50853104E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12840000E+00  0.18280272E+01  0.18280272E+01  0.87147228E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17120000E+00  0.26161813E+01  0.26161813E+01  0.13755112E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21410000E+00  0.34580979E+01  0.34580979E+01  0.20214477E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25690000E+00  0.41995639E+01  0.41995639E+01  0.27151236E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29970000E+00  0.47216035E+01  0.47216035E+01  0.32988234E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34250000E+00  0.49806360E+01  0.49806360E+01  0.36021121E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38530000E+00  0.50045764E+01  0.50045764E+01  0.36048707E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42810000E+00  0.48743900E+01  0.48743900E+01  0.34333445E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47090000E+00  0.46558844E+01  0.46558844E+01  0.32084923E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51370000E+00  0.43754800E+01  0.43754800E+01  0.30034933E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55660000E+00  0.40737569E+01  0.40737569E+01  0.28652031E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59940000E+00  0.38019263E+01  0.38019263E+01  0.28091576E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64220000E+00  0.35812914E+01  0.35812914E+01  0.28211475E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68500000E+00  0.34090712E+01  0.34090803E+01  0.28743970E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.72780000E+00  0.32733296E+01  0.32733296E+01  0.29411663E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77060000E+00  0.31614653E+01  0.31614653E+01  0.29995594E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.81340000E+00  0.30683255E+01  0.30683255E+01  0.30369304E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85620000E+00  0.29962813E+01  0.29962813E+01  0.30481630E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89910000E+00  0.29438326E+01  0.29438326E+01  0.30347660E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94190000E+00  0.29019317E+01  0.29019317E+01  0.30019307E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98470000E+00  0.28584085E+01  0.28584085E+01  0.29537574E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
