#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.042812    9.759099    9.759099    0.088910    0.000000    0.000000    0.000000
    0.085624   20.266000   20.266000    0.193764    0.000000    0.000000    0.000000
    0.128437   32.133165   32.133165    0.334225    0.000000    0.000000    0.000000
    0.171249   45.223556   45.223556    0.530107    0.000000    0.000000    0.000000
    0.214061   57.190585   57.190585    0.777222    0.000000    0.000000    0.000000
    0.256873   64.117518   64.117518    1.028252    0.000000    0.000000    0.000000
    0.299685   64.432596   64.432596    1.212539    0.000000    0.000000    0.000000
    0.342498   59.329032   59.329032    1.272033    0.000000    0.000000    0.000000
    0.385310   51.537455   51.537455    1.224539    0.000000    0.000000   -0.000000
    0.428122   43.521683   43.521683    1.132033    0.000000    0.000000   -0.000000
    0.470934   36.321680   36.321680    1.037326    0.000000    0.000000    0.000000
    0.513746   30.233267   30.233267    0.960537    0.000000    0.000000    0.000000
    0.556559   25.576714   25.576714    0.911785    0.000000    0.000000    0.000000
    0.599371   22.295327   22.295327    0.891860    0.000000    0.000000    0.000000
    0.642183   19.996493   19.996493    0.893330    0.000000    0.000000    0.000000
    0.684995   18.307404   18.307403    0.906028    0.000000    0.000000    0.000000
    0.727807   16.971983   16.971983    0.920613    0.000000    0.000000    0.000000
    0.770620   15.851050   15.851050    0.930415    0.000000    0.000000   -0.000000
    0.813432   14.905852   14.905852    0.932160    0.000000    0.000000   -0.000000
    0.856244   14.113631   14.113631    0.925367    0.000000    0.000000   -0.000000
    0.899056   13.394593   13.394593    0.911415    0.000000    0.000000   -0.000000
    0.941868   12.651877   12.651877    0.892384    0.000000    0.000000   -0.000000
    0.984681   11.814650   11.814650    0.870018    0.000000   -0.000000   -0.000000
    1.027493   10.847002   10.847002    0.846262    0.000000   -0.000000   -0.000000
    1.070305    9.801203    9.801203    0.824569    0.000000   -0.000000   -0.000000
    1.113117    8.833191    8.833191    0.806633    0.000000   -0.000000   -0.000000
    1.155929    8.016488    8.016488    0.790586    0.000000   -0.000000    0.000000
    1.198742    7.328728    7.328728    0.774998   -0.000000   -0.000000    0.000000
    1.241554    6.729131    6.729131    0.759091   -0.000000   -0.000000    0.000000
    1.284366    6.185978    6.185978    0.742475   -0.000000   -0.000000    0.000000
    1.327178    5.683030    5.683030    0.725853   -0.000000   -0.000000   -0.000000
    1.369991    5.229995    5.229995    0.710871   -0.000000   -0.000000   -0.000000
    1.412803    4.856815    4.856815    0.698623    0.000000   -0.000000   -0.000000
    1.455615    4.575262    4.575262    0.685804    0.000000   -0.000000    0.000000
    1.498427    4.378274    4.378274    0.666079    0.000000   -0.000000    0.000000
    1.541239    4.255006    4.255006    0.639543    0.000000   -0.000000    0.000000
    1.584052    4.194837    4.194837    0.611213    0.000000   -0.000000    0.000000
    1.626864    4.189074    4.189074    0.586348    0.000000   -0.000000    0.000000
    1.669676    4.230743    4.230743    0.567976    0.000000   -0.000000    0.000000
    1.712488    4.312472    4.312472    0.556601    0.000000    0.000000    0.000000
    1.755300    4.425452    4.425452    0.552330    0.000000    0.000000    0.000000
    1.798113    4.560065    4.560065    0.554404    0.000000    0.000000    0.000000
    1.840925    4.710413    4.710413    0.560568    0.000000    0.000000   -0.000000
    1.883737    4.879727    4.879727    0.569974    0.000000    0.000000   -0.000000
    1.926549    5.077482    5.077482    0.583394    0.000000    0.000000   -0.000000
    1.969361    5.313211    5.313211    0.599791    0.000000    0.000000   -0.000000
    2.012174    5.595803    5.595803    0.614128    0.000000    0.000000   -0.000000
    2.054986    5.941582    5.941582    0.620567    0.000000    0.000000   -0.000000
    2.097798    6.379947    6.379947    0.617035    0.000000    0.000000   -0.000000
    2.140610    6.957630    6.957630    0.603937    0.000000   -0.000000    0.000000
    2.183422    7.714089    7.714088    0.587356    0.000000   -0.000000    0.000000
    2.226235    8.545218    8.545218    0.575542    0.000000   -0.000000    0.000000
    2.269047    9.130256    9.130256    0.567187    0.000000   -0.000000    0.000000
    2.311859    9.236733    9.236733    0.551516    0.000000   -0.000000    0.000000
    2.354671    8.910613    8.910613    0.526527    0.000000   -0.000000   -0.000000
    2.397483    8.307985    8.307985    0.501470    0.000000   -0.000000   -0.000000
    2.440296    7.554598    7.554598    0.481937    0.000000   -0.000000   -0.000000
    2.483108    6.732075    6.732075    0.467686    0.000000   -0.000000   -0.000000
    2.525920    5.915201    5.915201    0.456727    0.000000   -0.000000   -0.000000
    2.568732    5.183890    5.183890    0.447501    0.000000   -0.000000   -0.000000
    2.611544    4.612219    4.612219    0.439305    0.000000   -0.000000   -0.000000
    2.654357    4.221698    4.221698    0.431918    0.000000   -0.000000   -0.000000
    2.697169    3.907846    3.907846    0.425308    0.000000   -0.000000   -0.000000
    2.739981    3.558481    3.558481    0.419301    0.000000   -0.000000   -0.000000
    2.782793    3.243106    3.243106    0.413443    0.000000   -0.000000   -0.000000
    2.825605    3.019890    3.019890    0.407385    0.000000    0.000000   -0.000000
    2.868418    2.871834    2.871834    0.401035    0.000000    0.000000   -0.000000
    2.911230    2.772824    2.772824    0.394455    0.000000    0.000000   -0.000000
    2.954042    2.705285    2.705285    0.387965    0.000000    0.000000   -0.000000
    2.996854    2.655180    2.655180    0.382598   -0.000000    0.000000   -0.000000
    3.039666    2.604810    2.604810    0.380263   -0.000000    0.000000   -0.000000
    3.082479    2.533947    2.533946    0.381232    0.000000    0.000000   -0.000000
    3.125291    2.431166    2.431166    0.377609    0.000000    0.000000   -0.000000
    3.168103    2.301862    2.301862    0.360861    0.000000    0.000000   -0.000000
    3.210915    2.157688    2.157688    0.339971    0.000000    0.000000   -0.000000
    3.253727    2.007611    2.007611    0.323047    0.000000    0.000000   -0.000000
    3.296540    1.857330    1.857330    0.310345    0.000000    0.000000   -0.000000
    3.339352    1.710438    1.710438    0.300507    0.000000    0.000000   -0.000000
    3.382164    1.569178    1.569178    0.292541    0.000000    0.000000   -0.000000
    3.424976    1.434797    1.434797    0.285896    0.000000    0.000000   -0.000000
    3.467788    1.308137    1.308137    0.280289    0.000000    0.000000    0.000000
    3.510601    1.193978    1.193978    0.275440    0.000000    0.000000    0.000000
    3.553413    1.100660    1.100660    0.271004    0.000000    0.000000    0.000000
    3.596225    1.028355    1.028355    0.266912    0.000000    0.000000    0.000000
    3.639037    0.971698    0.971698    0.263346    0.000000    0.000000    0.000000
    3.681849    0.926139    0.926139    0.260520    0.000000    0.000000   -0.000000
    3.724662    0.888614    0.888614    0.258497    0.000000    0.000000   -0.000000
    3.767474    0.856874    0.856874    0.257062    0.000000   -0.000000   -0.000000
    3.810286    0.829267    0.829267    0.255804    0.000000   -0.000000   -0.000000
    3.853098    0.804631    0.804631    0.254423    0.000000   -0.000000   -0.000000
    3.895911    0.782163    0.782163    0.252870    0.000000    0.000000   -0.000000
    3.938723    0.761248    0.761248    0.251224    0.000000    0.000000   -0.000000
    3.981535    0.741232    0.741232    0.249585    0.000000    0.000000   -0.000000
