#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   77.658509   77.658509    3.587767    0.000000    0.000000    0.000000
    0.042812   77.431032   77.431032    3.598311    0.000000    0.000000    0.000000
    0.085624   76.485082   76.485082    3.628261    0.000000    0.000000    0.000000
    0.128437   73.905523   73.905523    3.669037    0.000000    0.000000    0.000000
    0.171249   67.857960   67.857960    3.694139    0.000000    0.000000    0.000000
    0.214061   56.419310   56.419310    3.654666    0.000000    0.000000    0.000000
    0.256873   40.639036   40.639036    3.512158    0.000000    0.000000    0.000000
    0.299685   24.262114   24.262114    3.268645    0.000000    0.000000   -0.000000
    0.342498   10.666790   10.666790    2.987679    0.000000   -0.000000   -0.000000
    0.385310    1.466846    1.466846    2.754647    0.000000   -0.000000   -0.000000
    0.428122   -3.829479   -3.829479    2.599805   -0.000000   -0.000000   -0.000000
    0.470934   -6.462446   -6.462446    2.510147   -0.000000   -0.000000   -0.000000
    0.513746   -7.208846   -7.208846    2.466453   -0.000000   -0.000000   -0.000000
    0.556559   -6.740948   -6.740948    2.449742   -0.000000   -0.000000   -0.000000
    0.599371   -5.857374   -5.857374    2.441152   -0.000000   -0.000000   -0.000000
    0.642183   -5.031482   -5.031482    2.427048   -0.000000   -0.000000   -0.000000
    0.684995   -4.412049   -4.412050    2.401134   -0.000000   -0.000000   -0.000000
    0.727807   -3.993845   -3.993845    2.362803   -0.000000   -0.000000   -0.000000
    0.770620   -3.710180   -3.710180    2.315271   -0.000000   -0.000000   -0.000000
    0.813432   -3.514580   -3.514580    2.263276   -0.000000   -0.000000   -0.000000
    0.856244   -3.430765   -3.430765    2.211319   -0.000000   -0.000000   -0.000000
    0.899056   -3.490418   -3.490418    2.162707   -0.000000   -0.000000   -0.000000
    0.941868   -3.669212   -3.669212    2.119199   -0.000000   -0.000000   -0.000000
    0.984681   -3.899471   -3.899471    2.081567   -0.000000   -0.000000    0.000000
    1.027493   -4.079654   -4.079654    2.050782   -0.000000   -0.000000    0.000000
    1.070305   -4.078269   -4.078269    2.026343   -0.000000   -0.000000    0.000000
    1.113117   -3.872444   -3.872444    2.004656   -0.000000   -0.000000    0.000000
    1.155929   -3.564475   -3.564475    1.983345   -0.000000   -0.000000    0.000000
    1.198742   -3.231133   -3.231133    1.962441   -0.000000   -0.000000    0.000000
    1.241554   -2.899286   -2.899286    1.942210   -0.000000    0.000000    0.000000
    1.284366   -2.567048   -2.567048    1.923479   -0.000000    0.000000    0.000000
    1.327178   -2.216307   -2.216307    1.907114   -0.000000    0.000000    0.000000
    1.369991   -1.824036   -1.824036    1.892851   -0.000000    0.000000    0.000000
    1.412803   -1.392921   -1.392921    1.878034    0.000000    0.000000    0.000000
    1.455615   -0.949901   -0.949901    1.859039    0.000000    0.000000    0.000000
    1.498427   -0.516181   -0.516181    1.838588    0.000000    0.000000    0.000000
    1.541239   -0.103847   -0.103847    1.823881    0.000000    0.000000    0.000000
    1.584052    0.280431    0.280431    1.818500    0.000000    0.000000    0.000000
    1.626864    0.633249    0.633249    1.821830    0.000000    0.000000    0.000000
    1.669676    0.951763    0.951763    1.830636    0.000000    0.000000   -0.000000
    1.712488    1.233166    1.233166    1.841907    0.000000    0.000000   -0.000000
    1.755300    1.476246    1.476246    1.853402    0.000000    0.000000   -0.000000
    1.798113    1.683952    1.683952    1.862440    0.000000    0.000000   -0.000000
    1.840925    1.865347    1.865347    1.867789    0.000000    0.000000   -0.000000
    1.883737    2.030550    2.030550    1.869935    0.000000   -0.000000   -0.000000
    1.926549    2.183719    2.183719    1.867798    0.000000   -0.000000   -0.000000
    1.969361    2.322861    2.322861    1.857967    0.000000   -0.000000   -0.000000
    2.012174    2.445600    2.445600    1.838103    0.000000   -0.000000   -0.000000
    2.054986    2.549180    2.549180    1.811051    0.000000   -0.000000   -0.000000
    2.097798    2.621355    2.621355    1.782022    0.000000   -0.000000   -0.000000
    2.140610    2.620893    2.620893    1.756948    0.000000   -0.000000   -0.000000
    2.183422    2.427884    2.427884    1.740794    0.000000   -0.000000   -0.000000
    2.226235    1.837522    1.837522    1.729914    0.000000   -0.000000   -0.000000
    2.269047    0.803895    0.803895    1.714555    0.000000   -0.000000   -0.000000
    2.311859   -0.417546   -0.417546    1.694553   -0.000000    0.000000   -0.000000
    2.354671   -1.540746   -1.540746    1.680977   -0.000000   -0.000000   -0.000000
    2.397483   -2.438884   -2.438884    1.678169   -0.000000    0.000000   -0.000000
    2.440296   -3.090214   -3.090214    1.681255   -0.000000    0.000000   -0.000000
    2.483108   -3.498224   -3.498224    1.685635   -0.000000    0.000000   -0.000000
    2.525920   -3.668839   -3.668839    1.689331   -0.000000    0.000000   -0.000000
    2.568732   -3.629688   -3.629688    1.692159   -0.000000    0.000000   -0.000000
    2.611544   -3.449045   -3.449045    1.694422   -0.000000    0.000000   -0.000000
    2.654357   -3.250438   -3.250438    1.696341   -0.000000    0.000000   -0.000000
    2.697169   -3.132512   -3.132512    1.697910   -0.000000    0.000000   -0.000000
    2.739981   -3.017908   -3.017908    1.698900   -0.000000    0.000000    0.000000
    2.782793   -2.824353   -2.824353    1.699252   -0.000000    0.000000    0.000000
    2.825605   -2.604544   -2.604544    1.699246   -0.000000    0.000000    0.000000
    2.868418   -2.406195   -2.406195    1.699232   -0.000000    0.000000    0.000000
    2.911230   -2.243832   -2.243832    1.699553   -0.000000    0.000000    0.000000
    2.954042   -2.120750   -2.120750    1.700638   -0.000000    0.000000    0.000000
    2.996854   -2.039940   -2.039940    1.702758   -0.000000    0.000000    0.000000
    3.039666   -2.002511   -2.002511    1.704702   -0.000000   -0.000000    0.000000
    3.082479   -1.999690   -1.999690    1.701790   -0.000000   -0.000000    0.000000
    3.125291   -2.010404   -2.010404    1.689863   -0.000000   -0.000000   -0.000000
    3.168103   -2.014499   -2.014499    1.679053   -0.000000    0.000000   -0.000000
    3.210915   -2.003447   -2.003447    1.679315   -0.000000    0.000000    0.000000
    3.253727   -1.975982   -1.975982    1.686412   -0.000000    0.000000    0.000000
    3.296540   -1.933200   -1.933200    1.695634   -0.000000    0.000000    0.000000
    3.339352   -1.876739   -1.876739    1.705208   -0.000000    0.000000    0.000000
    3.382164   -1.808173   -1.808173    1.714664   -0.000000    0.000000    0.000000
    3.424976   -1.728639   -1.728639    1.723930   -0.000000   -0.000000    0.000000
    3.467788   -1.637538   -1.637538    1.732971   -0.000000   -0.000000    0.000000
    3.510601   -1.532738   -1.532738    1.741697   -0.000000   -0.000000    0.000000
    3.553413   -1.419301   -1.419301    1.750225   -0.000000   -0.000000    0.000000
    3.596225   -1.307536   -1.307536    1.758849   -0.000000   -0.000000   -0.000000
    3.639037   -1.202693   -1.202693    1.767707   -0.000000   -0.000000   -0.000000
    3.681849   -1.105947   -1.105947    1.776693   -0.000000   -0.000000   -0.000000
