  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.63389685E+00  0.63389685E+00  0.95450441E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.42800000E-01  0.63520401E+00  0.63520401E+00  0.95939614E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.85600000E-01  0.63910915E+00  0.63910915E+00  0.97400706E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12840000E+00  0.64548518E+00  0.64548518E+00  0.99693834E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17120000E+00  0.65369919E+00  0.65369919E+00  0.10227385E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.21410000E+00  0.66205309E+00  0.66205309E+00  0.10390813E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.25690000E+00  0.66874012E+00  0.66874012E+00  0.10327208E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.29970000E+00  0.67312404E+00  0.67312404E+00  0.99327600E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.34250000E+00  0.67450268E+00  0.67450268E+00  0.92041625E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.38530000E+00  0.67233035E+00  0.67233035E+00  0.83346932E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.42810000E+00  0.66695654E+00  0.66695654E+00  0.75495323E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.47090000E+00  0.65853923E+00  0.65853923E+00  0.69507526E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.51370000E+00  0.64557008E+00  0.64557008E+00  0.65593214E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.55660000E+00  0.62770911E+00  0.62770911E+00  0.63500895E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.59940000E+00  0.60795615E+00  0.60795615E+00  0.62600254E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.64220000E+00  0.58949242E+00  0.58949242E+00  0.62158910E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.68500000E+00  0.57382286E+00  0.57382414E+00  0.61678871E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.72780000E+00  0.56098026E+00  0.56098026E+00  0.60871114E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.77060000E+00  0.55019402E+00  0.55019402E+00  0.59641671E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.81340000E+00  0.54110652E+00  0.54110652E+00  0.58031967E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.85620000E+00  0.53443262E+00  0.53443262E+00  0.56147385E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.89910000E+00  0.53072757E+00  0.53072757E+00  0.54125048E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.94190000E+00  0.52950826E+00  0.52950826E+00  0.52083639E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.98470000E+00  0.52963511E+00  0.52963511E+00  0.50099633E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10275000E+01  0.52923963E+00  0.52923963E+00  0.48276601E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10703000E+01  0.52521030E+00  0.52521030E+00  0.46722023E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11131000E+01  0.51607624E+00  0.51607624E+00  0.45393870E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11559000E+01  0.50347686E+00  0.50347686E+00  0.44145958E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11987000E+01  0.48906154E+00  0.48906154E+00  0.42929178E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12416000E+01  0.47344024E+00  0.47344024E+00  0.41724500E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12844000E+01  0.45624690E+00  0.45624690E+00  0.40542707E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13272000E+01  0.43622797E+00  0.43622797E+00  0.39434735E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13700000E+01  0.41157847E+00  0.41157847E+00  0.38455344E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
