  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.88124060E+01  0.88124060E+01  0.18941489E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42800000E-01  0.88168752E+01  0.88168752E+01  0.18970633E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85600000E-01  0.88207020E+01  0.88207020E+01  0.19054884E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12840000E+00  0.87890377E+01  0.87890377E+01  0.19174448E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17120000E+00  0.86430553E+01  0.86430553E+01  0.19269199E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21410000E+00  0.82690834E+01  0.82690834E+01  0.19223846E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25690000E+00  0.76338284E+01  0.76338284E+01  0.18936523E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29970000E+00  0.68231693E+01  0.68231693E+01  0.18377765E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34250000E+00  0.59559663E+01  0.59559663E+01  0.17656308E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38530000E+00  0.51490372E+01  0.51490372E+01  0.16983966E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42810000E+00  0.44643227E+01  0.44643227E+01  0.16485383E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47090000E+00  0.39006230E+01  0.39006230E+01  0.16164913E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51370000E+00  0.34548553E+01  0.34548553E+01  0.15989715E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55660000E+00  0.31392030E+01  0.31392030E+01  0.15911612E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59940000E+00  0.29321057E+01  0.29321057E+01  0.15874866E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64220000E+00  0.27918002E+01  0.27918002E+01  0.15832210E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68500000E+00  0.26851008E+01  0.26850937E+01  0.15759827E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.72780000E+00  0.25924673E+01  0.25924673E+01  0.15650254E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77060000E+00  0.25069230E+01  0.25069230E+01  0.15508944E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.81340000E+00  0.24289959E+01  0.24289959E+01  0.15347734E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85620000E+00  0.23551861E+01  0.23551861E+01  0.15179634E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.89910000E+00  0.22750275E+01  0.22750275E+01  0.15015985E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94190000E+00  0.21799100E+01  0.21799100E+01  0.14863768E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98470000E+00  0.20666395E+01  0.20666395E+01  0.14727005E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10275000E+01  0.19376721E+01  0.19376721E+01  0.14610543E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10703000E+01  0.18079740E+01  0.18079740E+01  0.14515440E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11131000E+01  0.16988723E+01  0.16988723E+01  0.14431884E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11559000E+01  0.16138078E+01  0.16138078E+01  0.14349862E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11987000E+01  0.15456811E+01  0.15456811E+01  0.14269357E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12416000E+01  0.14879218E+01  0.14879218E+01  0.14190623E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12844000E+01  0.14370923E+01  0.14370923E+01  0.14116185E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13272000E+01  0.13934804E+01  0.13934804E+01  0.14049339E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13700000E+01  0.13628906E+01  0.13628906E+01  0.13990875E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14128000E+01  0.13527178E+01  0.13527178E+01  0.13931490E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14556000E+01  0.13643618E+01  0.13643618E+01  0.13857245E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14984000E+01  0.13950672E+01  0.13950672E+01  0.13773418E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15412000E+01  0.14409139E+01  0.14409139E+01  0.13705223E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15841000E+01  0.14974247E+01  0.14974247E+01  0.13669245E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16269000E+01  0.15604303E+01  0.15604303E+01  0.13666783E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16697000E+01  0.16260756E+01  0.16260756E+01  0.13688125E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17125000E+01  0.16909403E+01  0.16909403E+01  0.13722358E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17553000E+01  0.17523432E+01  0.17523432E+01  0.13761070E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17981000E+01  0.18090201E+01  0.18090201E+01  0.13794140E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18409000E+01  0.18616635E+01  0.18616635E+01  0.13816503E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18837000E+01  0.19125638E+01  0.19125638E+01  0.13828859E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19265000E+01  0.19635255E+01  0.19635255E+01  0.13828578E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19694000E+01  0.20151538E+01  0.20151538E+01  0.13802925E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20122000E+01  0.20679067E+01  0.20679067E+01  0.13740580E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20550000E+01  0.21230369E+01  0.21230369E+01  0.13648404E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20978000E+01  0.21816110E+01  0.21816110E+01  0.13542142E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21406000E+01  0.22422948E+01  0.22422948E+01  0.13443758E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21834000E+01  0.22929296E+01  0.22929296E+01  0.13375411E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22262000E+01  0.22997858E+01  0.22997858E+01  0.13328572E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22690000E+01  0.22326579E+01  0.22326579E+01  0.13267595E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23119000E+01  0.21010272E+01  0.21010272E+01  0.13184619E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23547000E+01  0.19367650E+01  0.19367650E+01  0.13119686E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23975000E+01  0.17634746E+01  0.17634746E+01  0.13095285E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24403000E+01  0.15924805E+01  0.15924805E+01  0.13096372E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24831000E+01  0.14297791E+01  0.14297791E+01  0.13105119E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25259000E+01  0.12829226E+01  0.12829226E+01  0.13113439E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25687000E+01  0.11615965E+01  0.11615965E+01  0.13119776E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26115000E+01  0.10747478E+01  0.10747478E+01  0.13124065E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26544000E+01  0.10192215E+01  0.10192215E+01  0.13127681E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26972000E+01  0.96846238E+00  0.96846238E+00  0.13130605E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27400000E+01  0.90774504E+00  0.90774504E+00  0.13131600E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27828000E+01  0.85911977E+00  0.85911977E+00  0.13130427E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28256000E+01  0.83168013E+00  0.83168013E+00  0.13127370E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28684000E+01  0.81865834E+00  0.81865834E+00  0.13124549E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29112000E+01  0.81336942E+00  0.81336942E+00  0.13123231E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29540000E+01  0.81140105E+00  0.81140105E+00  0.13124215E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29969000E+01  0.80883398E+00  0.80883398E+00  0.13130220E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30397000E+01  0.80095971E+00  0.80095971E+00  0.13136410E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30825000E+01  0.78365081E+00  0.78365081E+00  0.13125874E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31253000E+01  0.75642219E+00  0.75642219E+00  0.13079512E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31681000E+01  0.72263886E+00  0.72263886E+00  0.13031783E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32109000E+01  0.68591700E+00  0.68591700E+00  0.13024349E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32537000E+01  0.64842856E+00  0.64842856E+00  0.13045026E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32965000E+01  0.61140229E+00  0.61140229E+00  0.13075472E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33394000E+01  0.57553761E+00  0.57553761E+00  0.13108538E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33822000E+01  0.54127374E+00  0.54127374E+00  0.13141859E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34250000E+01  0.50886548E+00  0.50886548E+00  0.13174496E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34678000E+01  0.47871536E+00  0.47871536E+00  0.13207047E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35106000E+01  0.45287184E+00  0.45287184E+00  0.13238276E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35534000E+01  0.43404712E+00  0.43404712E+00  0.13268867E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35962000E+01  0.42188809E+00  0.42188809E+00  0.13299880E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36390000E+01  0.41441829E+00  0.41441829E+00  0.13332107E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36818000E+01  0.41021632E+00  0.41021632E+00  0.13364871E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37247000E+01  0.40833115E+00  0.40833115E+00  0.13397043E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37675000E+01  0.40803108E+00  0.40803108E+00  0.13427826E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38103000E+01  0.40876714E+00  0.40876714E+00  0.13456352E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38531000E+01  0.41016172E+00  0.41016172E+00  0.13483691E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38959000E+01  0.41205253E+00  0.41205253E+00  0.13510587E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39387000E+01  0.41409370E+00  0.41409370E+00  0.13538489E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
