 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37800000E-01  0.93592592E+02  0.93592592E+02  0.18959895E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75600000E-01  0.38226983E+03  0.38226983E+03  0.75828003E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11330000E+00  0.89826007E+03  0.89826007E+03  0.17041633E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15110000E+00  0.17306169E+04  0.17306169E+04  0.30291629E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18890000E+00  0.30695781E+04  0.30695781E+04  0.48426967E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22670000E+00  0.52655276E+04  0.52655276E+04  0.70100296E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26450000E+00  0.88706994E+04  0.88706994E+04  0.97296977E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30220000E+00  0.14625087E+05  0.14625087E+05  0.12973131E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34000000E+00  0.23389295E+05  0.23389295E+05  0.16778831E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37780000E+00  0.35958731E+05  0.35958731E+05  0.21284094E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41560000E+00  0.52870097E+05  0.52870097E+05  0.26428596E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45340000E+00  0.74192046E+05  0.74192046E+05  0.32506434E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49110000E+00  0.99360306E+05  0.99360306E+05  0.39457490E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52890000E+00  0.12721674E+06  0.12721674E+06  0.47354319E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.56670000E+00  0.15599413E+06  0.15599413E+06  0.56574148E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60450000E+00  0.18362069E+06  0.18362069E+06  0.66882320E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64230000E+00  0.20804269E+06  0.20804269E+06  0.78696775E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68000000E+00  0.22757141E+06  0.22757141E+06  0.91907503E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71780000E+00  0.24134086E+06  0.24134086E+06  0.10742794E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75560000E+00  0.24925505E+06  0.24925505E+06  0.12627064E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79340000E+00  0.25198172E+06  0.25198172E+06  0.15140458E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83110000E+00  0.25047089E+06  0.25047089E+06  0.18782990E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86890000E+00  0.24553608E+06  0.24553608E+06  0.24490653E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90670000E+00  0.23736946E+06  0.23736946E+06  0.33632253E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94450000E+00  0.22592037E+06  0.22592037E+06  0.47965689E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
