  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.37800000E-01  0.29969622E-03  0.29969622E-03  0.19533286E-03             NaN             NaN             NaN
  0.75600000E-01  0.60449174E-03  0.60449174E-03  0.39042707E-03             NaN             NaN             NaN
  0.11330000E+00  0.92739926E-03  0.92739926E-03  0.58500510E-03             NaN             NaN             NaN
  0.15110000E+00  0.12970535E-02  0.12970535E-02  0.77884392E-03             NaN             NaN             NaN
  0.18890000E+00  0.17605944E-02  0.17605944E-02  0.99450564E-03             NaN             NaN             NaN
  0.22670000E+00  0.23785229E-02  0.23785229E-02  0.11974251E-02             NaN             NaN             NaN
  0.26450000E+00  0.32108044E-02  0.32108044E-02  0.14213677E-02             NaN             NaN             NaN
  0.30220000E+00  0.42984580E-02  0.42984580E-02  0.16545628E-02             NaN             NaN             NaN
  0.34000000E+00  0.56531627E-02  0.56531627E-02  0.18964528E-02             NaN             NaN             NaN
  0.37780000E+00  0.72605284E-02  0.72605284E-02  0.21577735E-02             NaN             NaN             NaN
  0.41560000E+00  0.90934150E-02  0.90934150E-02  0.24263266E-02             NaN             NaN             NaN
  0.45340000E+00  0.11126872E-01  0.11126872E-01  0.27238562E-02             NaN             NaN             NaN
  0.49110000E+00  0.13349011E-01  0.13349011E-01  0.30378583E-02             NaN             NaN             NaN
  0.52890000E+00  0.15766951E-01  0.15766951E-01  0.33670703E-02             NaN             NaN             NaN
  0.56670000E+00  0.18409253E-01  0.18409253E-01  0.37315970E-02             NaN             NaN             NaN
  0.60450000E+00  0.21327243E-01  0.21327243E-01  0.41076822E-02             NaN             NaN             NaN
  0.64230000E+00  0.24594635E-01  0.24594635E-01  0.45139750E-02             NaN             NaN             NaN
  0.68000000E+00  0.28303573E-01  0.28303573E-01  0.49354431E-02             NaN             NaN             NaN
  0.71780000E+00  0.32553099E-01  0.32553099E-01  0.54091592E-02             NaN             NaN             NaN
  0.75560000E+00  0.37429293E-01  0.37429293E-01  0.59663160E-02             NaN             NaN             NaN
  0.79340000E+00  0.42987921E-01  0.42987921E-01  0.67136242E-02             NaN             NaN             NaN
  0.83110000E+00  0.49261992E-01  0.49261992E-01  0.78105433E-02             NaN             NaN             NaN
  0.86890000E+00  0.56289263E-01  0.56289263E-01  0.95358267E-02             NaN             NaN             NaN
  0.90670000E+00  0.64060207E-01  0.64060207E-01  0.12245245E-01             NaN             NaN             NaN
  0.94450000E+00  0.72191968E-01  0.72191968E-01  0.16323442E-01             NaN             NaN             NaN
  0.98230000E+00  0.79262991E-01  0.79262991E-01  0.22080236E-01             NaN             NaN             NaN
  0.10200000E+01  0.82622885E-01  0.82622885E-01  0.29721176E-01             NaN             NaN             NaN
  0.10578000E+01  0.80514973E-01  0.80514973E-01  0.39254023E-01             NaN             NaN             NaN
  0.10956000E+01  0.74820646E-01  0.74820646E-01  0.50486592E-01             NaN             NaN             NaN
  0.11334000E+01  0.69234028E-01  0.69234028E-01  0.63085346E-01             NaN             NaN             NaN
  0.11712000E+01  0.65885473E-01  0.65885473E-01  0.76506895E-01             NaN             NaN             NaN
  0.12089000E+01  0.65105388E-01  0.65105388E-01  0.89928123E-01             NaN             NaN             NaN
  0.12467000E+01  0.66520961E-01  0.66520961E-01  0.10210256E+00             NaN             NaN             NaN
  0.12845000E+01  0.69635809E-01  0.69635809E-01  0.11123653E+00             NaN             NaN             NaN
  0.13223000E+01  0.73836442E-01  0.73836442E-01  0.11511045E+00             NaN             NaN             NaN
  0.13601000E+01  0.78088506E-01  0.78088506E-01  0.11182613E+00             NaN             NaN             NaN
  0.13978000E+01  0.80577952E-01  0.80577952E-01  0.10102759E+00             NaN             NaN             NaN
  0.14356000E+01  0.79052748E-01  0.79052748E-01  0.84917013E-01             NaN             NaN             NaN
  0.14734000E+01  0.72687486E-01  0.72687486E-01  0.67400842E-01             NaN             NaN             NaN
  0.15112000E+01  0.63685797E-01  0.63685797E-01  0.52211705E-01             NaN             NaN             NaN
  0.15490000E+01  0.55460931E-01  0.55460931E-01  0.41436929E-01             NaN             NaN             NaN
  0.15867000E+01  0.49872775E-01  0.49872775E-01  0.35610595E-01             NaN             NaN             NaN
  0.16245000E+01  0.47019664E-01  0.47019664E-01  0.34402976E-01             NaN             NaN             NaN
  0.16623000E+01  0.46307566E-01  0.46307566E-01  0.37209023E-01             NaN             NaN             NaN
  0.17001000E+01  0.47134954E-01  0.47134954E-01  0.43386738E-01             NaN             NaN             NaN
