 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  0.0000  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.0378  0.29969622E-03  0.29969622E-03  0.19533286E-03             NaN             NaN             NaN
  0.0756  0.60449174E-03  0.60449174E-03  0.39042707E-03             NaN             NaN             NaN
  0.1133  0.92739926E-03  0.92739926E-03  0.58500510E-03             NaN             NaN             NaN
  0.1511  0.12970535E-02  0.12970535E-02  0.77884392E-03             NaN             NaN             NaN
  0.1889  0.17605944E-02  0.17605944E-02  0.99450564E-03             NaN             NaN             NaN
  0.2267  0.23785229E-02  0.23785229E-02  0.11974251E-02             NaN             NaN             NaN
  0.2645  0.32108044E-02  0.32108044E-02  0.14213677E-02             NaN             NaN             NaN
  0.3022  0.42984580E-02  0.42984580E-02  0.16545628E-02             NaN             NaN             NaN
  0.3400  0.56531627E-02  0.56531627E-02  0.18964528E-02             NaN             NaN             NaN
  0.3778  0.72605284E-02  0.72605284E-02  0.21577735E-02             NaN             NaN             NaN
  0.4156  0.90934150E-02  0.90934150E-02  0.24263266E-02             NaN             NaN             NaN
  0.4534  0.11126872E-01  0.11126872E-01  0.27238562E-02             NaN             NaN             NaN
  0.4911  0.13349011E-01  0.13349011E-01  0.30378583E-02             NaN             NaN             NaN
  0.5289  0.15766951E-01  0.15766951E-01  0.33670703E-02             NaN             NaN             NaN
  0.5667  0.18409253E-01  0.18409253E-01  0.37315970E-02             NaN             NaN             NaN
  0.6045  0.21327243E-01  0.21327243E-01  0.41076822E-02             NaN             NaN             NaN
  0.6423  0.24594635E-01  0.24594635E-01  0.45139750E-02             NaN             NaN             NaN
  0.6800  0.28303573E-01  0.28303573E-01  0.49354431E-02             NaN             NaN             NaN
  0.7178  0.32553099E-01  0.32553099E-01  0.54091592E-02             NaN             NaN             NaN
  0.7556  0.37429293E-01  0.37429293E-01  0.59663160E-02             NaN             NaN             NaN
  0.7934  0.42987921E-01  0.42987921E-01  0.67136242E-02             NaN             NaN             NaN
  0.8311  0.49261992E-01  0.49261992E-01  0.78105433E-02             NaN             NaN             NaN
  0.8689  0.56289263E-01  0.56289263E-01  0.95358267E-02             NaN             NaN             NaN
  0.9067  0.64060207E-01  0.64060207E-01  0.12245245E-01             NaN             NaN             NaN
  0.9445  0.72191968E-01  0.72191968E-01  0.16323442E-01             NaN             NaN             NaN
  0.9823  0.79262991E-01  0.79262991E-01  0.22080236E-01             NaN             NaN             NaN
  1.0200  0.82622885E-01  0.82622885E-01  0.29721176E-01             NaN             NaN             NaN
  1.0578  0.80514973E-01  0.80514973E-01  0.39254023E-01             NaN             NaN             NaN
  1.0956  0.74820646E-01  0.74820646E-01  0.50486592E-01             NaN             NaN             NaN
  1.1334  0.69234028E-01  0.69234028E-01  0.63085346E-01             NaN             NaN             NaN
  1.1712  0.65885473E-01  0.65885473E-01  0.76506895E-01             NaN             NaN             NaN
  1.2089  0.65105388E-01  0.65105388E-01  0.89928123E-01             NaN             NaN             NaN
  1.2467  0.66520961E-01  0.66520961E-01  0.10210256E+00             NaN             NaN             NaN
  1.2845  0.69635809E-01  0.69635809E-01  0.11123653E+00             NaN             NaN             NaN
  1.3223  0.73836442E-01  0.73836442E-01  0.11511045E+00             NaN             NaN             NaN
  1.3601  0.78088506E-01  0.78088506E-01  0.11182613E+00             NaN             NaN             NaN
  1.3978  0.80577952E-01  0.80577952E-01  0.10102759E+00             NaN             NaN             NaN
  1.4356  0.79052748E-01  0.79052748E-01  0.84917013E-01             NaN             NaN             NaN
  1.4734  0.72687486E-01  0.72687486E-01  0.67400842E-01             NaN             NaN             NaN
  1.5112  0.63685797E-01  0.63685797E-01  0.52211705E-01             NaN             NaN             NaN
  1.5490  0.55460931E-01  0.55460931E-01  0.41436929E-01             NaN             NaN             NaN
  1.5867  0.49872775E-01  0.49872775E-01  0.35610595E-01             NaN             NaN             NaN
  1.6245  0.47019664E-01  0.47019664E-01  0.34402976E-01             NaN             NaN             NaN
  1.6623  0.46307566E-01  0.46307566E-01  0.37209023E-01             NaN             NaN             NaN
  1.7001  0.47134954E-01  0.47134954E-01  0.43386738E-01             NaN             NaN             NaN
  1.7379  0.49082488E-01  0.49082488E-01  0.52378618E-01             NaN             NaN             NaN
  1.7756  0.51906748E-01  0.51906748E-01  0.63653240E-01             NaN             NaN             NaN
  1.8134  0.55490498E-01  0.55490498E-01  0.76669696E-01             NaN             NaN             NaN
