  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37800000E-01  0.24429023E-01  0.24429023E-01  0.49488073E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75600000E-01  0.49888982E-01  0.49888982E-01  0.98961039E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11330000E+00  0.78221943E-01  0.78221943E-01  0.14840130E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15110000E+00  0.11300376E+00  0.11300376E+00  0.19779467E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18890000E+00  0.16032570E+00  0.16032570E+00  0.25293663E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22670000E+00  0.22916421E+00  0.22916421E+00  0.30508774E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26450000E+00  0.33089378E+00  0.33089378E+00  0.36293603E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30220000E+00  0.47748577E+00  0.47748577E+00  0.42355203E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34000000E+00  0.67872622E+00  0.67872622E+00  0.48689936E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37780000E+00  0.93907186E+00  0.93907186E+00  0.55583980E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41560000E+00  0.12551366E+01  0.12551366E+01  0.62741511E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45340000E+00  0.16144784E+01  0.16144784E+01  0.70736608E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49110000E+00  0.19961786E+01  0.19961786E+01  0.79271292E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52890000E+00  0.23731605E+01  0.23731605E+01  0.88336959E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.56670000E+00  0.27158856E+01  0.27158856E+01  0.98496597E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60450000E+00  0.29969654E+01  0.29969654E+01  0.10916199E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64230000E+00  0.31957364E+01  0.31957364E+01  0.12088584E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68000000E+00  0.33019097E+01  0.33019097E+01  0.13335167E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71780000E+00  0.33172930E+01  0.33172930E+01  0.14766250E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75560000E+00  0.32546811E+01  0.32546811E+01  0.16487958E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79340000E+00  0.31335257E+01  0.31335257E+01  0.18827959E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83110000E+00  0.29734484E+01  0.29734484E+01  0.22298100E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86890000E+00  0.27880589E+01  0.27880589E+01  0.27809103E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90670000E+00  0.25829597E+01  0.25829597E+01  0.36597276E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94450000E+00  0.23599883E+01  0.23599883E+01  0.50105470E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98230000E+00  0.21262603E+01  0.21262603E+01  0.69598937E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10200000E+01  0.19023649E+01  0.19023649E+01  0.95868414E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10578000E+01  0.17202969E+01  0.17202969E+01  0.12858724E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10956000E+01  0.16065808E+01  0.16065808E+01  0.16597287E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
