#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.037779    0.121280    0.121280    0.001047   -0.000000   -0.000000   -0.000000
    0.075559    0.246165    0.246165    0.002102   -0.000000   -0.000000   -0.000000
    0.113338    0.378593    0.378593    0.003169   -0.000000   -0.000000   -0.000000
    0.151118    0.523236    0.523236    0.004257   -0.000000   -0.000000   -0.000000
    0.188897    0.686040    0.686040    0.005373   -0.000000   -0.000000   -0.000000
    0.226677    0.875032    0.875032    0.006525   -0.000000   -0.000000   -0.000000
    0.264456    1.101627    1.101627    0.007723   -0.000000   -0.000000   -0.000000
    0.302236    1.382804    1.382804    0.008977   -0.000000   -0.000000   -0.000000
    0.340015    1.744903    1.744903    0.010299   -0.000000   -0.000000   -0.000000
    0.377795    2.230302    2.230302    0.011704   -0.000000   -0.000000   -0.000000
    0.415574    2.908648    2.908648    0.013207   -0.000000   -0.000000   -0.000000
    0.453354    3.891599    3.891599    0.014831   -0.000000   -0.000000   -0.000000
    0.491133    5.327814    5.327814    0.016600   -0.000000   -0.000000   -0.000000
    0.528913    7.271128    7.271128    0.018548   -0.000000   -0.000000   -0.000000
    0.566692    9.319013    9.319013    0.020717   -0.000000   -0.000000   -0.000000
    0.604472   10.704359   10.704359    0.023160   -0.000000   -0.000000   -0.000000
    0.642251   11.248936   11.248936    0.025952   -0.000000   -0.000000   -0.000000
    0.680031   11.426546   11.426546    0.029191   -0.000000   -0.000000   -0.000000
    0.717810   11.585226   11.585226    0.033017   -0.000000   -0.000000   -0.000000
    0.755590   11.781574   11.781574    0.037640   -0.000000   -0.000000   -0.000000
    0.793369   11.975888   11.975888    0.043372   -0.000000   -0.000000   -0.000000
    0.831149   12.118802   12.118802    0.050660   -0.000000   -0.000000   -0.000000
    0.868928   12.176901   12.176901    0.059997   -0.000000   -0.000000   -0.000000
    0.906708   12.170304   12.170304    0.071556   -0.000000   -0.000000   -0.000000
    0.944487   12.170230   12.170230    0.085118    0.000000   -0.000000   -0.000000
    0.982267   12.219611   12.219611    0.100750    0.000000   -0.000000   -0.000000
    1.020046   12.323241   12.323241    0.119095    0.000000   -0.000000   -0.000000
    1.057826   12.483116   12.483116    0.141358    0.000000   -0.000000   -0.000000
    1.095605   12.714883   12.714883    0.169528    0.000000   -0.000000   -0.000000
    1.133385   13.053199   13.053199    0.206764    0.000000   -0.000000   -0.000000
    1.171164   13.544637   13.544637    0.257104   -0.000000   -0.000000   -0.000000
    1.208944   14.182480   14.182480    0.321184   -0.000000   -0.000000   -0.000000
    1.246723   14.761561   14.761561    0.386068   -0.000000   -0.000000   -0.000000
    1.284503   15.016255   15.016255    0.433124   -0.000000   -0.000000   -0.000000
    1.322282   15.003436   15.003436    0.463044   -0.000000   -0.000000   -0.000000
    1.360062   14.895945   14.895945    0.483369   -0.000000   -0.000000   -0.000000
    1.397841   14.773773   14.773773    0.496419    0.000000   -0.000000   -0.000000
    1.435621   14.648968   14.648968    0.503067    0.000000   -0.000000   -0.000000
    1.473400   14.516915   14.516915    0.505097    0.000000   -0.000000   -0.000000
    1.511180   14.382827   14.382827    0.504723    0.000000   -0.000000   -0.000000
    1.548959   14.252850   14.252850    0.503121    0.000000   -0.000000   -0.000000
    1.586739   14.129055   14.129055    0.500446    0.000000   -0.000000   -0.000000
    1.624518   14.012792   14.012792    0.496543    0.000000   -0.000000   -0.000000
    1.662298   13.905695   13.905695    0.491304    0.000000   -0.000000    0.000000
    1.700077   13.807544   13.807544    0.484954    0.000000   -0.000000    0.000000
    1.737857   13.715156   13.715156    0.478128    0.000000   -0.000000    0.000000
    1.775636   13.625774   13.625774    0.471461   -0.000000   -0.000000    0.000000
    1.813416   13.539299   13.539299    0.465445   -0.000000   -0.000000    0.000000
    1.851195   13.457639   13.457639    0.460532   -0.000000   -0.000000   -0.000000
    1.888975   13.383577   13.383577    0.457156    0.000000   -0.000000   -0.000000
    1.926754   13.320355   13.320355    0.455658    0.000000   -0.000000   -0.000000
    1.964534   13.271479   13.271479    0.456146    0.000000   -0.000000   -0.000000
    2.002313   13.240370   13.240370    0.458452    0.000000   -0.000000   -0.000000
    2.040093   13.228403   13.228403    0.462279    0.000000   -0.000000   -0.000000
    2.077872   13.227711   13.227711    0.467345    0.000000    0.000000   -0.000000
    2.115652   13.218014   13.218014    0.473437    0.000000    0.000000    0.000000
    2.153431   13.177425   13.177425    0.480400    0.000000    0.000000    0.000000
    2.191211   13.090433   13.090433    0.488105    0.000000    0.000000   -0.000000
    2.228990   12.957962   12.957962    0.496432    0.000000    0.000000   -0.000000
    2.266770   12.798924   12.798924    0.505256   -0.000000   -0.000000   -0.000000
    2.304549   12.627374   12.627374    0.514462   -0.000000   -0.000000   -0.000000
    2.342329   12.444648   12.444648    0.523941   -0.000000   -0.000000    0.000000
    2.380108   12.245279   12.245279    0.533600   -0.000000   -0.000000    0.000000
    2.417888   12.021181   12.021181    0.543347   -0.000000   -0.000000    0.000000
    2.455667   11.768261   11.768261    0.553093    0.000000   -0.000000    0.000000
    2.493447   11.494709   11.494709    0.562758    0.000000   -0.000000    0.000000
    2.531226   11.219564   11.219564    0.572290   -0.000000   -0.000000   -0.000000
    2.569006   10.961735   10.961735    0.581679   -0.000000   -0.000000   -0.000000
    2.606785   10.730182   10.730182    0.590967   -0.000000   -0.000000    0.000000
    2.644565   10.523339   10.523339    0.600276   -0.000000   -0.000000    0.000000
    2.682344   10.336447   10.336447    0.609852   -0.000000   -0.000000   -0.000000
    2.720124   10.167347   10.167347    0.620105   -0.000000   -0.000000   -0.000000
    2.757903   10.017151   10.017151    0.631604   -0.000000   -0.000000   -0.000000
    2.795683    9.886433    9.886433    0.644800   -0.000000    0.000000   -0.000000
    2.833462    9.770646    9.770646    0.659541   -0.000000    0.000000   -0.000000
    2.871242    9.663351    9.663351    0.675044   -0.000000    0.000000   -0.000000
    2.909021    9.562848    9.562848    0.690424   -0.000000    0.000000   -0.000000
    2.946801    9.470552    9.470552    0.704892    0.000000   -0.000000   -0.000000
    2.984580    9.386731    9.386731    0.717629    0.000000   -0.000000   -0.000000
    3.022360    9.310406    9.310406    0.727799    0.000000   -0.000000   -0.000000
    3.060139    9.241899    9.241899    0.734760    0.000000   -0.000000   -0.000000
    3.097919    9.185658    9.185658    0.738199    0.000000   -0.000000   -0.000000
    3.135698    9.151799    9.151799    0.738228    0.000000   -0.000000   -0.000000
    3.173478    9.155437    9.155437    0.735542    0.000000   -0.000000   -0.000000
    3.211257    9.215865    9.215865    0.731582    0.000000   -0.000000   -0.000000
    3.249037    9.349367    9.349367    0.728565    0.000000   -0.000000   -0.000000
    3.286816    9.545233    9.545233    0.729052    0.000000   -0.000000   -0.000000
    3.324596    9.761182    9.761182    0.734591    0.000000    0.000000   -0.000000
    3.362375    9.966900    9.966900    0.744595    0.000000    0.000000   -0.000000
    3.400155   10.159037   10.159037    0.757552    0.000000    0.000000   -0.000000
    3.437934   10.346939   10.346939    0.772558    0.000000    0.000000   -0.000000
    3.475714   10.544024   10.544024    0.789898    0.000000    0.000000   -0.000000
    3.513493   10.763478   10.763478    0.811187    0.000000    0.000000   -0.000000
    3.551273   11.005285   11.005285    0.838104    0.000000    0.000000   -0.000000
    3.589052   11.226987   11.226987    0.868324    0.000000    0.000000   -0.000000
    3.626832   11.368134   11.368134    0.894999    0.000000    0.000000   -0.000000
    3.664611   11.435204   11.435204    0.914083    0.000000    0.000000   -0.000000
    3.702391   11.465401   11.465401    0.925896    0.000000    0.000000   -0.000000
    3.740170   11.471576   11.471576    0.931083    0.000000    0.000000   -0.000000
    3.777950   11.460811   11.460811    0.929944    0.000000    0.000000   -0.000000
    3.815729   11.450187   11.450187    0.923721    0.000000   -0.000000   -0.000000
    3.853509   11.461135   11.461135    0.914708    0.000000   -0.000000   -0.000000
    3.891288   11.511341   11.511341    0.905063    0.000000   -0.000000   -0.000000
    3.929068   11.610357   11.610357    0.895783    0.000000   -0.000000   -0.000000
    3.966847   11.762756   11.762756    0.887083    0.000000   -0.000000   -0.000000
    4.004627   11.974111   11.974111    0.878981    0.000000   -0.000000   -0.000000
    4.042406   12.249919   12.249919    0.871229    0.000000   -0.000000   -0.000000
    4.080186   12.586892   12.586892    0.862977    0.000000   -0.000000   -0.000000
    4.117965   12.965336   12.965336    0.852820    0.000000   -0.000000   -0.000000
    4.155745   13.345900   13.345900    0.839312    0.000000   -0.000000   -0.000000
    4.193524   13.668480   13.668480    0.821418    0.000000   -0.000000   -0.000000
    4.231304   13.858490   13.858490    0.798981    0.000000   -0.000000   -0.000000
    4.269083   13.860391   13.860391    0.773540    0.000000   -0.000000   -0.000000
    4.306863   13.663301   13.663301    0.747993    0.000000   -0.000000   -0.000000
    4.344642   13.274193   13.274193    0.724261    0.000000   -0.000000   -0.000000
    4.382422   12.724191   12.724191    0.702637    0.000000   -0.000000   -0.000000
    4.420201   12.082726   12.082726    0.682673    0.000000   -0.000000   -0.000000
    4.457981   11.413330   11.413330    0.663836    0.000000   -0.000000   -0.000000
    4.495760   10.751531   10.751531    0.645715    0.000000   -0.000000   -0.000000
    4.533540   10.128379   10.128379    0.628038    0.000000   -0.000000   -0.000000
    4.571319    9.566556    9.566556    0.610639    0.000000   -0.000000   -0.000000
    4.609099    9.065125    9.065125    0.593428    0.000000   -0.000000   -0.000000
    4.646878    8.611313    8.611313    0.576365    0.000000   -0.000000   -0.000000
    4.684658    8.194786    8.194786    0.559451    0.000000   -0.000000   -0.000000
    4.722437    7.810309    7.810309    0.542729    0.000000   -0.000000   -0.000000
    4.760217    7.455187    7.455187    0.526292    0.000000   -0.000000   -0.000000
    4.797996    7.126367    7.126367    0.510252    0.000000   -0.000000   -0.000000
    4.835776    6.820089    6.820089    0.494677    0.000000   -0.000000   -0.000000
    4.873555    6.532993    6.532993    0.479557    0.000000   -0.000000   -0.000000
    4.911335    6.262553    6.262553    0.464819    0.000000   -0.000000   -0.000000
    4.949114    6.006993    6.006993    0.450364    0.000000   -0.000000   -0.000000
    4.986894    5.765035    5.765035    0.436088    0.000000   -0.000000   -0.000000
    5.024673    5.535714    5.535714    0.421888    0.000000   -0.000000   -0.000000
    5.062453    5.318194    5.318194    0.407692    0.000000   -0.000000   -0.000000
    5.100232    5.111520    5.111520    0.393487    0.000000    0.000000   -0.000000
    5.138012    4.914378    4.914378    0.379354    0.000000    0.000000   -0.000000
    5.175791    4.725383    4.725383    0.365450    0.000000    0.000000    0.000000
    5.213570    4.544005    4.544004    0.351963    0.000000    0.000000    0.000000
    5.251350    4.370797    4.370797    0.339047    0.000000    0.000000    0.000000
    5.289129    4.206576    4.206576    0.326811    0.000000    0.000000    0.000000
    5.326909    4.052172    4.052172    0.315338    0.000000    0.000000    0.000000
    5.364688    3.908019    3.908019    0.304652    0.000000    0.000000    0.000000
    5.402468    3.773505    3.773505    0.294696    0.000000    0.000000    0.000000
    5.440247    3.647385    3.647385    0.285372    0.000000    0.000000    0.000000
    5.478027    3.528460    3.528460    0.276588    0.000000    0.000000    0.000000
    5.515806    3.415679    3.415679    0.268276    0.000000    0.000000    0.000000
    5.553586    3.308126    3.308126    0.260388    0.000000    0.000000    0.000000
    5.591365    3.205074    3.205074    0.252885    0.000000    0.000000    0.000000
    5.629145    3.106004    3.106004    0.245739    0.000000    0.000000    0.000000
    5.666924    3.010551    3.010551    0.238924    0.000000    0.000000    0.000000
    5.704704    2.918415    2.918415    0.232415    0.000000    0.000000    0.000000
    5.742483    2.829342    2.829342    0.226194    0.000000    0.000000    0.000000
    5.780263    2.743068    2.743068    0.220243    0.000000    0.000000    0.000000
    5.818042    2.659311    2.659311    0.214546    0.000000    0.000000    0.000000
    5.855822    2.577824    2.577824    0.209090   -0.000000    0.000000    0.000000
    5.893601    2.498419    2.498419    0.203864   -0.000000    0.000000    0.000000
    5.931381    2.420975    2.420974    0.198854   -0.000000    0.000000   -0.000000
    5.969160    2.345432    2.345432    0.194050    0.000000    0.000000   -0.000000
    6.006940    2.271786    2.271786    0.189440    0.000000    0.000000   -0.000000
    6.044719    2.200083    2.200083    0.185016    0.000000    0.000000   -0.000000
    6.082499    2.130410    2.130410    0.180768    0.000000    0.000000   -0.000000
    6.120278    2.062897    2.062897    0.176692    0.000000    0.000000   -0.000000
    6.158058    1.997719    1.997719    0.172781    0.000000    0.000000   -0.000000
    6.195837    1.935025    1.935025    0.169031    0.000000    0.000000   -0.000000
    6.233617    1.874834    1.874834    0.165436    0.000000    0.000000   -0.000000
    6.271396    1.817021    1.817021    0.161990    0.000000    0.000000   -0.000000
    6.309176    1.761395    1.761395    0.158687    0.000000    0.000000   -0.000000
    6.346955    1.707785    1.707785    0.155519    0.000000    0.000000   -0.000000
    6.384735    1.656060    1.656060    0.152477    0.000000    0.000000   -0.000000
    6.422514    1.606156    1.606156    0.149556    0.000000    0.000000   -0.000000
    6.460294    1.558070    1.558070    0.146748    0.000000    0.000000   -0.000000
    6.498073    1.511859    1.511859    0.144051    0.000000    0.000000   -0.000000
    6.535853    1.467608    1.467608    0.141460    0.000000    0.000000   -0.000000
    6.573632    1.425394    1.425394    0.138972    0.000000    0.000000   -0.000000
    6.611412    1.385222    1.385222    0.136583    0.000000    0.000000   -0.000000
    6.649191    1.346969    1.346969    0.134291    0.000000    0.000000   -0.000000
    6.686971    1.310388    1.310388    0.132092    0.000000    0.000000   -0.000000
    6.724750    1.275199    1.275199    0.129983    0.000000    0.000000   -0.000000
    6.762530    1.241189    1.241189    0.127961    0.000000    0.000000   -0.000000
    6.800309    1.208261    1.208261    0.126025    0.000000   -0.000000   -0.000000
    6.838089    1.176392    1.176392    0.124172    0.000000    0.000000   -0.000000
    6.875868    1.145577    1.145577    0.122401    0.000000    0.000000   -0.000000
    6.913648    1.115803    1.115803    0.120711   -0.000000    0.000000   -0.000000
    6.951427    1.087031    1.087031    0.119100   -0.000000    0.000000   -0.000000
    6.989207    1.059198    1.059198    0.117565   -0.000000    0.000000    0.000000
