#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   21.037071   21.037071    2.751215   -0.000000   -0.000000   -0.000000
    0.037779   21.058285   21.058285    2.751410   -0.000000   -0.000000   -0.000000
    0.075559   21.122436   21.122436    2.751996   -0.000000   -0.000000   -0.000000
    0.113338   21.231101   21.231101    2.752976   -0.000000   -0.000000   -0.000000
    0.151118   21.387043   21.387043    2.754356   -0.000000   -0.000000   -0.000000
    0.188897   21.594286   21.594286    2.756146   -0.000000   -0.000000   -0.000000
    0.226677   21.858422   21.858422    2.758356   -0.000000   -0.000000   -0.000000
    0.264456   22.186762   22.186762    2.761001   -0.000000   -0.000000   -0.000000
    0.302236   22.588517   22.588517    2.764098   -0.000000   -0.000000   -0.000000
    0.340015   23.074178   23.074178    2.767670   -0.000000   -0.000000   -0.000000
    0.377795   23.653035   23.653035    2.771742   -0.000000   -0.000000   -0.000000
    0.415574   24.324404   24.324404    2.776346   -0.000000   -0.000000   -0.000000
    0.453354   25.050358   25.050358    2.781518   -0.000000   -0.000000   -0.000000
    0.491133   25.683915   25.683915    2.787305   -0.000000   -0.000000   -0.000000
    0.528913   25.856727   25.856727    2.793757   -0.000000   -0.000000   -0.000000
    0.566692   25.120107   25.120107    2.800937   -0.000000   -0.000000   -0.000000
    0.604472   23.643592   23.643592    2.808919   -0.000000   -0.000000   -0.000000
    0.642251   22.192245   22.192245    2.817790   -0.000000   -0.000000   -0.000000
    0.680031   21.152858   21.152858    2.827656    0.000000   -0.000000   -0.000000
    0.717810   20.393649   20.393649    2.838639    0.000000   -0.000000   -0.000000
    0.755590   19.737168   19.737168    2.850876    0.000000   -0.000000   -0.000000
    0.793369   19.103670   19.103670    2.864485    0.000000   -0.000000   -0.000000
    0.831149   18.479730   18.479730    2.879484    0.000000   -0.000000   -0.000000
    0.868928   17.899953   17.899953    2.895627    0.000000   -0.000000   -0.000000
    0.906708   17.424756   17.424756    2.912428    0.000000   -0.000000   -0.000000
