  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.47635836E+00  0.47635836E+00  0.69711284E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.37800000E-01  0.47684594E+00  0.47684594E+00  0.69723815E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.75600000E-01  0.47834766E+00  0.47834766E+00  0.69761407E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11330000E+00  0.48097639E+00  0.48097639E+00  0.69828214E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15110000E+00  0.48488515E+00  0.48488515E+00  0.69920064E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18890000E+00  0.49021151E+00  0.49021151E+00  0.70041151E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.22670000E+00  0.49700060E+00  0.49700060E+00  0.70187235E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.26450000E+00  0.50512573E+00  0.50512573E+00  0.70366697E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.30220000E+00  0.51426745E+00  0.51426745E+00  0.70575334E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.34000000E+00  0.52396325E+00  0.52396325E+00  0.70817278E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.37780000E+00  0.53369714E+00  0.53369714E+00  0.71092545E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.41560000E+00  0.54299351E+00  0.54299351E+00  0.71409350E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.45340000E+00  0.55145729E+00  0.55145729E+00  0.71763614E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.49110000E+00  0.55877092E+00  0.55877092E+00  0.72163519E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.52890000E+00  0.56465606E+00  0.56465606E+00  0.72613121E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.56670000E+00  0.56882340E+00  0.56882340E+00  0.73120763E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.60450000E+00  0.57092910E+00  0.57092910E+00  0.73690264E-01  0.10000000E+01  0.10000000E+01  0.10000000E+01
