  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.54555110E+01  0.54555110E+01  0.17174982E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37800000E-01  0.54627646E+01  0.54627646E+01  0.17175856E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75600000E-01  0.54851790E+01  0.54851790E+01  0.17178478E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11330000E+00  0.55246646E+01  0.55246646E+01  0.17183138E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15110000E+00  0.55838848E+01  0.55838848E+01  0.17189543E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18890000E+00  0.56653424E+01  0.56653424E+01  0.17197984E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22670000E+00  0.57698801E+01  0.57698801E+01  0.17208165E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26450000E+00  0.58946408E+01  0.58946408E+01  0.17220665E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30220000E+00  0.60313840E+01  0.60313840E+01  0.17235191E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34000000E+00  0.61658146E+01  0.61658146E+01  0.17252025E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37780000E+00  0.62783800E+01  0.62783800E+01  0.17271164E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41560000E+00  0.63468392E+01  0.63468392E+01  0.17293176E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45340000E+00  0.63497906E+01  0.63497906E+01  0.17317766E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49110000E+00  0.62706562E+01  0.62706562E+01  0.17345498E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.52890000E+00  0.61011467E+01  0.61011467E+01  0.17376645E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.56670000E+00  0.58435635E+01  0.58435635E+01  0.17411769E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60450000E+00  0.55113249E+01  0.55113249E+01  0.17451129E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64230000E+00  0.51274098E+01  0.51274098E+01  0.17495846E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.68000000E+00  0.47207529E+01  0.47207529E+01  0.17547586E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71780000E+00  0.43210685E+01  0.43210685E+01  0.17607720E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75560000E+00  0.39531062E+01  0.39531062E+01  0.17679570E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79340000E+00  0.36320908E+01  0.36320908E+01  0.17766132E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83110000E+00  0.33624091E+01  0.33624091E+01  0.17871478E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86890000E+00  0.31411101E+01  0.31411101E+01  0.17997704E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90670000E+00  0.29650094E+01  0.29650094E+01  0.18143427E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94450000E+00  0.28373658E+01  0.28373658E+01  0.18301395E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98230000E+00  0.27690401E+01  0.27690401E+01  0.18455742E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10200000E+01  0.27706303E+01  0.27706303E+01  0.18582763E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10578000E+01  0.28376789E+01  0.28376789E+01  0.18652707E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10956000E+01  0.29429580E+01  0.29429580E+01  0.18635576E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11334000E+01  0.30479243E+01  0.30479243E+01  0.18508075E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11712000E+01  0.31206647E+01  0.31206647E+01  0.18260144E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
