#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.068801    0.002041    0.002041    0.002041    0.000000   -0.000000    0.000000
    0.137602    0.004090    0.004090    0.004090    0.000000   -0.000000    0.000000
    0.206402    0.006155    0.006155    0.006155    0.000000   -0.000000    0.000000
    0.275203    0.008242    0.008242    0.008242    0.000000   -0.000000    0.000000
    0.344004    0.010360    0.010360    0.010360    0.000000   -0.000000    0.000000
    0.412805    0.012518    0.012518    0.012518    0.000000   -0.000000    0.000000
    0.481605    0.014724    0.014724    0.014724    0.000000   -0.000000    0.000000
    0.550406    0.016987    0.016987    0.016987    0.000000   -0.000000    0.000000
    0.619207    0.019319    0.019319    0.019319    0.000000   -0.000000    0.000000
    0.688008    0.021730    0.021730    0.021730    0.000000   -0.000000    0.000000
    0.756809    0.024231    0.024231    0.024231    0.000000   -0.000000    0.000000
    0.825609    0.026836    0.026836    0.026836    0.000000   -0.000000    0.000000
    0.894410    0.029560    0.029560    0.029560    0.000000   -0.000000    0.000000
    0.963211    0.032419    0.032419    0.032419    0.000000   -0.000000    0.000000
    1.032012    0.035431    0.035431    0.035431    0.000000   -0.000000    0.000000
    1.100812    0.038617    0.038617    0.038617    0.000000   -0.000000    0.000000
    1.169613    0.042000    0.042000    0.042000    0.000000   -0.000000    0.000000
    1.238414    0.045609    0.045609    0.045609    0.000000   -0.000000    0.000000
    1.307215    0.049473    0.049473    0.049473    0.000000   -0.000000    0.000000
    1.376016    0.053630    0.053630    0.053630    0.000000   -0.000000    0.000000
    1.444816    0.058122    0.058122    0.058122    0.000000   -0.000000    0.000000
    1.513617    0.062999    0.062999    0.062999    0.000000   -0.000000    0.000000
    1.582418    0.068323    0.068323    0.068323    0.000000   -0.000000    0.000000
    1.651219    0.074164    0.074164    0.074164    0.000000   -0.000000    0.000000
    1.720019    0.080610    0.080610    0.080610    0.000000   -0.000000    0.000000
    1.788820    0.087768    0.087768    0.087768    0.000000   -0.000000    0.000000
    1.857621    0.095772    0.095772    0.095772    0.000000   -0.000000    0.000000
    1.926422    0.104787    0.104787    0.104787    0.000000   -0.000000    0.000000
    1.995223    0.115023    0.115023    0.115023    0.000000   -0.000000    0.000000
    2.064023    0.126722    0.126722    0.126722    0.000000   -0.000000    0.000000
