#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    4.887876    4.887876    4.887876    0.000000   -0.000000    0.000000
    0.068801    4.888578    4.888578    4.888578    0.000000   -0.000000    0.000000
    0.137602    4.890680    4.890680    4.890680    0.000000   -0.000000    0.000000
    0.206402    4.894196    4.894196    4.894196    0.000000   -0.000000    0.000000
    0.275203    4.899131    4.899131    4.899131    0.000000   -0.000000    0.000000
    0.344004    4.905511    4.905511    4.905511    0.000000   -0.000000    0.000000
    0.412805    4.913357    4.913357    4.913357    0.000000   -0.000000    0.000000
    0.481605    4.922699    4.922699    4.922699    0.000000   -0.000000    0.000000
    0.550406    4.933573    4.933573    4.933573    0.000000   -0.000000    0.000000
    0.619207    4.946023    4.946023    4.946023    0.000000   -0.000000    0.000000
    0.688008    4.960098    4.960098    4.960098    0.000000   -0.000000    0.000000
    0.756809    4.975859    4.975859    4.975859    0.000000   -0.000000    0.000000
    0.825609    4.993363    4.993363    4.993363    0.000000   -0.000000    0.000000
    0.894410    5.012698    5.012698    5.012698    0.000000   -0.000000    0.000000
    0.963211    5.033941    5.033941    5.033941    0.000000   -0.000000    0.000000
    1.032012    5.057192    5.057192    5.057192    0.000000   -0.000000    0.000000
    1.100812    5.082564    5.082564    5.082564    0.000000   -0.000000    0.000000
    1.169613    5.110182    5.110182    5.110182    0.000000   -0.000000    0.000000
    1.238414    5.140191    5.140191    5.140191    0.000000   -0.000000    0.000000
    1.307215    5.172751    5.172751    5.172751    0.000000   -0.000000    0.000000
    1.376016    5.208049    5.208049    5.208049    0.000000   -0.000000    0.000000
    1.444816    5.246295    5.246295    5.246295    0.000000   -0.000000    0.000000
    1.513617    5.287734    5.287734    5.287734    0.000000   -0.000000    0.000000
    1.582418    5.332652    5.332652    5.332652    0.000000   -0.000000    0.000000
    1.651219    5.381364    5.381364    5.381364    0.000000   -0.000000    0.000000
    1.720019    5.434247    5.434247    5.434247    0.000000   -0.000000    0.000000
    1.788820    5.491748    5.491748    5.491748    0.000000   -0.000000    0.000000
    1.857621    5.554381    5.554381    5.554381    0.000000   -0.000000    0.000000
