 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36700000E-01  0.94487400E+00  0.94487400E+00  0.94487400E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.73500000E-01  0.37844029E+01  0.37844029E+01  0.37844029E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11020000E+00  0.87680201E+01  0.87680201E+01  0.87680201E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14690000E+00  0.15466992E+02  0.15466992E+02  0.15466992E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18360000E+00  0.24051875E+02  0.24051875E+02  0.24051875E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22040000E+00  0.34535695E+02  0.34535695E+02  0.34535695E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25710000E+00  0.47488242E+02  0.47488242E+02  0.47488242E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29380000E+00  0.61802770E+02  0.61802770E+02  0.61802770E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33050000E+00  0.78763247E+02  0.78763247E+02  0.78763247E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36730000E+00  0.97789708E+02  0.97789708E+02  0.97789708E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40400000E+00  0.11882860E+03  0.11882860E+03  0.11882860E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44070000E+00  0.14189448E+03  0.14189448E+03  0.14189448E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47740000E+00  0.16698511E+03  0.16698511E+03  0.16698511E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51420000E+00  0.19412844E+03  0.19412844E+03  0.19412844E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55090000E+00  0.22452684E+03  0.22452684E+03  0.22452684E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.58760000E+00  0.25572799E+03  0.25572799E+03  0.25572799E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62430000E+00  0.29037095E+03  0.29037095E+03  0.29037095E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.66110000E+00  0.32721199E+03  0.32721199E+03  0.32721199E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69780000E+00  0.36776435E+03  0.36776435E+03  0.36776435E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.73450000E+00  0.41061464E+03  0.41061464E+03  0.41061464E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77120000E+00  0.45574194E+03  0.45574194E+03  0.45574194E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80800000E+00  0.50319900E+03  0.50319900E+03  0.50319900E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.84470000E+00  0.55480393E+03  0.55480393E+03  0.55480393E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.88140000E+00  0.60881296E+03  0.60881296E+03  0.60881296E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91810000E+00  0.66520313E+03  0.66520313E+03  0.66520313E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.95490000E+00  0.72623248E+03  0.72623248E+03  0.72623248E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99160000E+00  0.78969620E+03  0.78969620E+03  0.78969620E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10283000E+01  0.85800946E+03  0.85800946E+03  0.85800946E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10651000E+01  0.92903611E+03  0.92903611E+03  0.92903611E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11018000E+01  0.10051074E+04  0.10051074E+04  0.10051074E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11385000E+01  0.10865120E+04  0.10865120E+04  0.10865120E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11752000E+01  0.11707754E+04  0.11707754E+04  0.11707754E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12120000E+01  0.12607357E+04  0.12607357E+04  0.12607357E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12487000E+01  0.13535508E+04  0.13535508E+04  0.13535508E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12854000E+01  0.14521940E+04  0.14521940E+04  0.14521940E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13221000E+01  0.15598613E+04  0.15598613E+04  0.15598613E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13589000E+01  0.16709292E+04  0.16709292E+04  0.16709292E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13956000E+01  0.17882989E+04  0.17882989E+04  0.17882989E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14323000E+01  0.19122190E+04  0.19122190E+04  0.19122190E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14690000E+01  0.20428821E+04  0.20428821E+04  0.20428821E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15058000E+01  0.21839634E+04  0.21839634E+04  0.21839634E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15425000E+01  0.23321099E+04  0.23321099E+04  0.23321099E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15792000E+01  0.24875921E+04  0.24875921E+04  0.24875921E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16159000E+01  0.26541573E+04  0.26541573E+04  0.26541573E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16527000E+01  0.28286333E+04  0.28286333E+04  0.28286333E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16894000E+01  0.30182734E+04  0.30182734E+04  0.30182734E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17261000E+01  0.32199668E+04  0.32199668E+04  0.32199668E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17628000E+01  0.34301117E+04  0.34301117E+04  0.34301117E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17996000E+01  0.36608624E+04  0.36608624E+04  0.36608624E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18363000E+01  0.39043657E+04  0.39043657E+04  0.39043657E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18730000E+01  0.41651941E+04  0.41651941E+04  0.41651941E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19097000E+01  0.44437081E+04  0.44437081E+04  0.44437081E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19465000E+01  0.47447336E+04  0.47447336E+04  0.47447336E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19832000E+01  0.50682734E+04  0.50682734E+04  0.50682734E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20199000E+01  0.54150860E+04  0.54150860E+04  0.54150860E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20567000E+01  0.57902485E+04  0.57902485E+04  0.57902485E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20934000E+01  0.61936741E+04  0.61936741E+04  0.61936741E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21301000E+01  0.66261307E+04  0.66261307E+04  0.66261307E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21668000E+01  0.70879400E+04  0.70879400E+04  0.70879400E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22036000E+01  0.75841818E+04  0.75841818E+04  0.75841818E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22403000E+01  0.81097868E+04  0.81097868E+04  0.81097868E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22770000E+01  0.86742806E+04  0.86742806E+04  0.86742806E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23137000E+01  0.92823040E+04  0.92823040E+04  0.92823040E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23505000E+01  0.99529663E+04  0.99529663E+04  0.99529663E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23872000E+01  0.10728974E+05  0.10728974E+05  0.10728974E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24239000E+01  0.11655053E+05  0.11655053E+05  0.11655053E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24606000E+01  0.12825121E+05  0.12825121E+05  0.12825121E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24974000E+01  0.14360503E+05  0.14360503E+05  0.14360503E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25341000E+01  0.16416854E+05  0.16416854E+05  0.16416854E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25708000E+01  0.19178262E+05  0.19178262E+05  0.19178262E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26075000E+01  0.22840725E+05  0.22840725E+05  0.22840725E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26443000E+01  0.27603869E+05  0.27603869E+05  0.27603869E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26810000E+01  0.33618893E+05  0.33618893E+05  0.33618893E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27177000E+01  0.40996951E+05  0.40996951E+05  0.40996951E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27544000E+01  0.49787207E+05  0.49787207E+05  0.49787207E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27912000E+01  0.59978023E+05  0.59978023E+05  0.59978023E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28279000E+01  0.71481801E+05  0.71481801E+05  0.71481801E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28646000E+01  0.84187855E+05  0.84187855E+05  0.84187855E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29014000E+01  0.97934351E+05  0.97934351E+05  0.97934351E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29381000E+01  0.11254245E+06  0.11254245E+06  0.11254245E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29748000E+01  0.12779593E+06  0.12779593E+06  0.12779593E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30115000E+01  0.14347340E+06  0.14347340E+06  0.14347340E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30483000E+01  0.15932644E+06  0.15932644E+06  0.15932644E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30850000E+01  0.17507233E+06  0.17507233E+06  0.17507233E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31217000E+01  0.19042135E+06  0.19042135E+06  0.19042135E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31584000E+01  0.20505058E+06  0.20505058E+06  0.20505058E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31952000E+01  0.21865095E+06  0.21865095E+06  0.21865095E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32319000E+01  0.23090784E+06  0.23090784E+06  0.23090784E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32686000E+01  0.24165251E+06  0.24165251E+06  0.24165251E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33053000E+01  0.25089839E+06  0.25089839E+06  0.25089839E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33421000E+01  0.25897178E+06  0.25897178E+06  0.25897178E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33788000E+01  0.26651303E+06  0.26651303E+06  0.26651303E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34155000E+01  0.27445390E+06  0.27445390E+06  0.27445390E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34522000E+01  0.28382303E+06  0.28382303E+06  0.28382303E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34890000E+01  0.29552079E+06  0.29552079E+06  0.29552079E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
