  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.36700000E-01  0.50049406E-04  0.50049406E-04  0.50049406E-04             NaN             NaN             NaN
  0.73500000E-01  0.10007318E-03  0.10007318E-03  0.10007318E-03             NaN             NaN             NaN
  0.11020000E+00  0.15459255E-03  0.15459255E-03  0.15459255E-03             NaN             NaN             NaN
  0.14690000E+00  0.20447688E-03  0.20447688E-03  0.20447688E-03             NaN             NaN             NaN
  0.18360000E+00  0.25426483E-03  0.25426483E-03  0.25426483E-03             NaN             NaN             NaN
  0.22040000E+00  0.30391156E-03  0.30391156E-03  0.30391156E-03             NaN             NaN             NaN
  0.25710000E+00  0.35793143E-03  0.35793143E-03  0.35793143E-03             NaN             NaN             NaN
  0.29380000E+00  0.40723204E-03  0.40723204E-03  0.40723204E-03             NaN             NaN             NaN
  0.33050000E+00  0.46084271E-03  0.46084271E-03  0.46084271E-03             NaN             NaN             NaN
  0.36730000E+00  0.51418418E-03  0.51418418E-03  0.51418418E-03             NaN             NaN             NaN
  0.40400000E+00  0.56727153E-03  0.56727153E-03  0.56727153E-03             NaN             NaN             NaN
  0.44070000E+00  0.62000661E-03  0.62000661E-03  0.62000661E-03             NaN             NaN             NaN
  0.47740000E+00  0.67243605E-03  0.67243605E-03  0.67243605E-03             NaN             NaN             NaN
  0.51420000E+00  0.72447999E-03  0.72447999E-03  0.72447999E-03             NaN             NaN             NaN
  0.55090000E+00  0.78056755E-03  0.78056755E-03  0.78056755E-03             NaN             NaN             NaN
  0.58760000E+00  0.83177017E-03  0.83177017E-03  0.83177017E-03             NaN             NaN             NaN
  0.62430000E+00  0.88693362E-03  0.88693362E-03  0.88693362E-03             NaN             NaN             NaN
  0.66110000E+00  0.94156580E-03  0.94156580E-03  0.94156580E-03             NaN             NaN             NaN
  0.69780000E+00  0.10000410E-02  0.10000410E-02  0.10000410E-02             NaN             NaN             NaN
  0.73450000E+00  0.10579362E-02  0.10579362E-02  0.10579362E-02             NaN             NaN             NaN
  0.77120000E+00  0.11151335E-02  0.11151335E-02  0.11151335E-02             NaN             NaN             NaN
  0.80800000E+00  0.11716438E-02  0.11716438E-02  0.11716438E-02             NaN             NaN             NaN
  0.84470000E+00  0.12317744E-02  0.12317744E-02  0.12317744E-02             NaN             NaN             NaN
  0.88140000E+00  0.12911214E-02  0.12911214E-02  0.12911214E-02             NaN             NaN             NaN
  0.91810000E+00  0.13495988E-02  0.13495988E-02  0.13495988E-02             NaN             NaN             NaN
