  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36700000E-01  0.25401786E-03  0.25401786E-03  0.25401786E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.73500000E-01  0.50800320E-03  0.50800320E-03  0.50800320E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11020000E+00  0.78501212E-03  0.78501212E-03  0.78501212E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14690000E+00  0.10388205E-02  0.10388205E-02  0.10388205E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18360000E+00  0.12925063E-02  0.12925063E-02  0.12925063E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22040000E+00  0.15460126E-02  0.15460126E-02  0.15460126E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25710000E+00  0.18223863E-02  0.18223863E-02  0.18223863E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29380000E+00  0.20754514E-02  0.20754514E-02  0.20754514E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33050000E+00  0.23513028E-02  0.23513028E-02  0.23513028E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36730000E+00  0.26268099E-02  0.26268099E-02  0.26268099E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40400000E+00  0.29019909E-02  0.29019909E-02  0.29019909E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44070000E+00  0.31767195E-02  0.31767195E-02  0.31767195E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47740000E+00  0.34510539E-02  0.34510539E-02  0.34510539E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51420000E+00  0.37248904E-02  0.37248904E-02  0.37248904E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55090000E+00  0.40211651E-02  0.40211651E-02  0.40211651E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.58760000E+00  0.42939095E-02  0.42939095E-02  0.42939095E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62430000E+00  0.45889808E-02  0.45889808E-02  0.45889808E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.66110000E+00  0.48833569E-02  0.48833569E-02  0.48833569E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69780000E+00  0.51999010E-02  0.51999010E-02  0.51999010E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.73450000E+00  0.55156798E-02  0.55156798E-02  0.55156798E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77120000E+00  0.58305349E-02  0.58305349E-02  0.58305349E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80800000E+00  0.61444756E-02  0.61444756E-02  0.61444756E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.84470000E+00  0.64802753E-02  0.64802753E-02  0.64802753E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.88140000E+00  0.68150220E-02  0.68150220E-02  0.68150220E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91810000E+00  0.71485953E-02  0.71485953E-02  0.71485953E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.95490000E+00  0.75036781E-02  0.75036781E-02  0.75036781E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.99160000E+00  0.78574197E-02  0.78574197E-02  0.78574197E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10283000E+01  0.82324416E-02  0.82324416E-02  0.82324416E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10651000E+01  0.86059462E-02  0.86059462E-02  0.86059462E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11018000E+01  0.90004891E-02  0.90004891E-02  0.90004891E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11385000E+01  0.94158146E-02  0.94158146E-02  0.94158146E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11752000E+01  0.98292014E-02  0.98292014E-02  0.98292014E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12120000E+01  0.10263083E-01  0.10263083E-01  0.10263083E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12487000E+01  0.10694805E-01  0.10694805E-01  0.10694805E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12854000E+01  0.11146609E-01  0.11146609E-01  0.11146609E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13221000E+01  0.11640674E-01  0.11640674E-01  0.11640674E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13589000E+01  0.12131848E-01  0.12131848E-01  0.12131848E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13956000E+01  0.12642576E-01  0.12642576E-01  0.12642576E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14323000E+01  0.13172253E-01  0.13172253E-01  0.13172253E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14690000E+01  0.13720752E-01  0.13720752E-01  0.13720752E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15058000E+01  0.14309830E-01  0.14309830E-01  0.14309830E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15425000E+01  0.14916958E-01  0.14916958E-01  0.14916958E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15792000E+01  0.15541697E-01  0.15541697E-01  0.15541697E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16159000E+01  0.16205730E-01  0.16205730E-01  0.16205730E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16527000E+01  0.16886476E-01  0.16886476E-01  0.16886476E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16894000E+01  0.17627166E-01  0.17627166E-01  0.17627166E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17261000E+01  0.18405256E-01  0.18405256E-01  0.18405256E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17628000E+01  0.19198250E-01  0.19198250E-01  0.19198250E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17996000E+01  0.20070761E-01  0.20070761E-01  0.20070761E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18363000E+01  0.20977961E-01  0.20977961E-01  0.20977961E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18730000E+01  0.21940872E-01  0.21940872E-01  0.21940872E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19097000E+01  0.22958145E-01  0.22958145E-01  0.22958145E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19465000E+01  0.24049931E-01  0.24049931E-01  0.24049931E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19832000E+01  0.25214475E-01  0.25214475E-01  0.25214475E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20199000E+01  0.26450379E-01  0.26450379E-01  0.26450379E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20567000E+01  0.27776829E-01  0.27776829E-01  0.27776829E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20934000E+01  0.29191240E-01  0.29191240E-01  0.29191240E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21301000E+01  0.30691381E-01  0.30691381E-01  0.30691381E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21668000E+01  0.32274359E-01  0.32274359E-01  0.32274359E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
