#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.036726    0.001118    0.001118    0.001118   -0.000000   -0.000000   -0.000000
    0.073452    0.002237    0.002237    0.002237   -0.000000   -0.000000   -0.000000
    0.110178    0.003358    0.003358    0.003358   -0.000000   -0.000000   -0.000000
    0.146904    0.004483    0.004483    0.004483   -0.000000   -0.000000   -0.000000
    0.183630    0.005613    0.005613    0.005613   -0.000000   -0.000000   -0.000000
    0.220356    0.006748    0.006748    0.006748   -0.000000   -0.000000   -0.000000
    0.257082    0.007892    0.007892    0.007892   -0.000000   -0.000000   -0.000000
    0.293808    0.009043    0.009043    0.009043   -0.000000   -0.000000   -0.000000
    0.330534    0.010205    0.010205    0.010205   -0.000000   -0.000000   -0.000000
    0.367260    0.011378    0.011378    0.011378   -0.000000   -0.000000   -0.000000
    0.403985    0.012564    0.012564    0.012564   -0.000000   -0.000000   -0.000000
    0.440711    0.013764    0.013764    0.013764   -0.000000   -0.000000   -0.000000
    0.477437    0.014979    0.014979    0.014979   -0.000000   -0.000000   -0.000000
    0.514163    0.016211    0.016211    0.016211   -0.000000   -0.000000   -0.000000
    0.550889    0.017462    0.017462    0.017462   -0.000000   -0.000000   -0.000000
    0.587615    0.018733    0.018733    0.018733   -0.000000   -0.000000   -0.000000
    0.624341    0.020027    0.020027    0.020027   -0.000000   -0.000000   -0.000000
    0.661067    0.021344    0.021344    0.021344   -0.000000   -0.000000   -0.000000
    0.697793    0.022687    0.022687    0.022687   -0.000000   -0.000000   -0.000000
    0.734519    0.024058    0.024058    0.024058   -0.000000   -0.000000   -0.000000
    0.771245    0.025458    0.025458    0.025458   -0.000000   -0.000000   -0.000000
    0.807971    0.026891    0.026891    0.026891   -0.000000   -0.000000   -0.000000
    0.844697    0.028357    0.028357    0.028357   -0.000000   -0.000000   -0.000000
    0.881423    0.029861    0.029861    0.029861   -0.000000   -0.000000   -0.000000
    0.918149    0.031405    0.031405    0.031405   -0.000000   -0.000000   -0.000000
    0.954875    0.032990    0.032990    0.032990   -0.000000   -0.000000   -0.000000
    0.991601    0.034621    0.034621    0.034621   -0.000000   -0.000000   -0.000000
    1.028327    0.036301    0.036301    0.036301   -0.000000   -0.000000   -0.000000
    1.065053    0.038033    0.038033    0.038033   -0.000000   -0.000000   -0.000000
    1.101779    0.039820    0.039820    0.039820   -0.000000   -0.000000   -0.000000
    1.138504    0.041667    0.041667    0.041667   -0.000000   -0.000000   -0.000000
    1.175230    0.043578    0.043578    0.043578   -0.000000   -0.000000   -0.000000
    1.211956    0.045558    0.045558    0.045558   -0.000000   -0.000000   -0.000000
    1.248682    0.047611    0.047611    0.047611   -0.000000   -0.000000   -0.000000
    1.285408    0.049744    0.049744    0.049744   -0.000000   -0.000000   -0.000000
    1.322134    0.051962    0.051962    0.051962   -0.000000   -0.000000   -0.000000
    1.358860    0.054271    0.054271    0.054271   -0.000000   -0.000000   -0.000000
    1.395586    0.056679    0.056679    0.056679   -0.000000   -0.000000   -0.000000
    1.432312    0.059193    0.059193    0.059193   -0.000000   -0.000000   -0.000000
    1.469038    0.061822    0.061822    0.061822   -0.000000   -0.000000   -0.000000
    1.505764    0.064575    0.064575    0.064575   -0.000000   -0.000000   -0.000000
    1.542490    0.067462    0.067462    0.067462   -0.000000   -0.000000   -0.000000
    1.579216    0.070494    0.070494    0.070494   -0.000000   -0.000000   -0.000000
    1.615942    0.073685    0.073685    0.073685   -0.000000   -0.000000   -0.000000
    1.652668    0.077048    0.077048    0.077048   -0.000000   -0.000000   -0.000000
    1.689394    0.080599    0.080599    0.080599   -0.000000   -0.000000   -0.000000
    1.726120    0.084355    0.084355    0.084355   -0.000000   -0.000000   -0.000000
    1.762846    0.088336    0.088336    0.088336   -0.000000   -0.000000   -0.000000
    1.799572    0.092564    0.092564    0.092564   -0.000000   -0.000000   -0.000000
    1.836298    0.097063    0.097063    0.097063   -0.000000   -0.000000   -0.000000
    1.873024    0.101862    0.101862    0.101862   -0.000000   -0.000000   -0.000000
    1.909749    0.106992    0.106992    0.106992   -0.000000   -0.000000   -0.000000
    1.946475    0.112485    0.112485    0.112485   -0.000000   -0.000000   -0.000000
    1.983201    0.118379    0.118379    0.118379   -0.000000   -0.000000   -0.000000
    2.019927    0.124707    0.124707    0.124707   -0.000000   -0.000000   -0.000000
    2.056653    0.131503    0.131503    0.131503   -0.000000   -0.000000   -0.000000
    2.093379    0.138793    0.138793    0.138793   -0.000000   -0.000000   -0.000000
    2.130105    0.146594    0.146594    0.146594   -0.000000   -0.000000   -0.000000
    2.166831    0.154918    0.154918    0.154918   -0.000000   -0.000000   -0.000000
    2.203557    0.163775    0.163775    0.163775   -0.000000   -0.000000   -0.000000
    2.240283    0.173195    0.173195    0.173195   -0.000000   -0.000000   -0.000000
    2.277009    0.183263    0.183263    0.183263   -0.000000   -0.000000   -0.000000
    2.313735    0.194179    0.194179    0.194179   -0.000000   -0.000000   -0.000000
    2.350461    0.206339    0.206339    0.206339   -0.000000   -0.000000   -0.000000
    2.387187    0.220459    0.220459    0.220459   -0.000000   -0.000000   -0.000000
    2.423913    0.237699    0.237699    0.237699   -0.000000   -0.000000   -0.000000
    2.460639    0.259806    0.259806    0.259806   -0.000000   -0.000000   -0.000000
    2.497365    0.289200    0.289200    0.289200    0.000000    0.000000    0.000000
    2.534091    0.328975    0.328975    0.328975    0.000000    0.000000    0.000000
    2.570817    0.382761    0.382761    0.382761    0.000000    0.000000    0.000000
    2.607543    0.454415    0.454415    0.454415    0.000000    0.000000    0.000000
    2.644268    0.547580    0.547580    0.547580    0.000000    0.000000    0.000000
    2.680994    0.665190    0.665190    0.665190    0.000000    0.000000    0.000000
    2.717720    0.809029    0.809029    0.809029   -0.000000   -0.000000   -0.000000
    2.754446    0.979447    0.979447    0.979447   -0.000001   -0.000001   -0.000001
    2.791172    1.175289    1.175289    1.175289   -0.000002   -0.000002   -0.000002
    2.827898    1.394020    1.394020    1.394020   -0.000003   -0.000003   -0.000003
    2.864624    1.631977    1.631977    1.631977   -0.000004   -0.000004   -0.000004
    2.901350    1.884635    1.884635    1.884635   -0.000005   -0.000005   -0.000005
    2.938076    2.146863    2.146863    2.146863   -0.000007   -0.000007   -0.000007
    2.974802    2.413102    2.413102    2.413102   -0.000008   -0.000008   -0.000008
    3.011528    2.677511    2.677511    2.677511   -0.000009   -0.000009   -0.000009
    3.048254    2.934114    2.934114    2.934114   -0.000010   -0.000010   -0.000010
    3.084980    3.176939    3.176939    3.176939   -0.000012   -0.000012   -0.000012
    3.121706    3.400197    3.400197    3.400197   -0.000013   -0.000013   -0.000013
    3.158432    3.598531    3.598531    3.598531   -0.000014   -0.000014   -0.000014
    3.195158    3.767554    3.767554    3.767554   -0.000014   -0.000014   -0.000014
    3.231884    3.904699    3.904699    3.904699   -0.000014   -0.000014   -0.000014
    3.268610    4.010471    4.010471    4.010471   -0.000014   -0.000014   -0.000014
    3.305336    4.089681    4.089681    4.089681   -0.000014   -0.000014   -0.000014
    3.342062    4.152101    4.152101    4.152101   -0.000014   -0.000014   -0.000014
    3.378788    4.211799    4.211799    4.211799   -0.000017   -0.000017   -0.000017
    3.415513    4.285017    4.285017    4.285017   -0.000021   -0.000021   -0.000021
    3.452239    4.386736    4.386736    4.386736   -0.000027   -0.000027   -0.000027
    3.488965    4.527064    4.527064    4.527064   -0.000034   -0.000034   -0.000034
    3.525691    4.708430    4.708430    4.708430   -0.000040   -0.000040   -0.000040
    3.562417    4.924641    4.924641    4.924641   -0.000045   -0.000045   -0.000045
    3.599143    5.162012    5.162012    5.162012   -0.000048   -0.000048   -0.000048
    3.635869    5.402223    5.402223    5.402223   -0.000047   -0.000047   -0.000047
    3.672595    5.625919    5.625919    5.625919   -0.000043   -0.000043   -0.000043
    3.709321    5.816093    5.816093    5.816093   -0.000036   -0.000036   -0.000036
    3.746047    5.960420    5.960420    5.960420   -0.000027   -0.000027   -0.000027
    3.782773    6.052396    6.052396    6.052396   -0.000017   -0.000017   -0.000017
    3.819499    6.091384    6.091384    6.091384   -0.000007   -0.000007   -0.000007
    3.856225    6.082037    6.082037    6.082037    0.000001    0.000001    0.000001
    3.892951    6.033279    6.033279    6.033279    0.000007    0.000007    0.000007
    3.929677    5.956936    5.956936    5.956936    0.000010    0.000010    0.000010
    3.966403    5.865964    5.865964    5.865964    0.000010    0.000010    0.000010
    4.003129    5.772365    5.772365    5.772365    0.000008    0.000008    0.000008
    4.039855    5.685077    5.685077    5.685077    0.000005    0.000005    0.000005
    4.076581    5.608562    5.608562    5.608562    0.000002    0.000002    0.000002
    4.113307    5.542541    5.542541    5.542541   -0.000001   -0.000001   -0.000001
    4.150032    5.483187    5.483187    5.483187   -0.000003   -0.000003   -0.000003
    4.186758    5.425388    5.425388    5.425388   -0.000003   -0.000003   -0.000003
    4.223484    5.365221    5.365221    5.365221   -0.000002   -0.000002   -0.000002
    4.260210    5.301617    5.301617    5.301617   -0.000001   -0.000001   -0.000001
    4.296936    5.236515    5.236515    5.236515   -0.000001   -0.000001   -0.000001
    4.333662    5.173528    5.173528    5.173528   -0.000002   -0.000002   -0.000002
    4.370388    5.115734    5.115734    5.115734   -0.000002   -0.000002   -0.000002
    4.407114    5.063765    5.063765    5.063765   -0.000003   -0.000003   -0.000003
    4.443840    5.015059    5.015059    5.015059   -0.000004   -0.000004   -0.000004
    4.480566    4.964625    4.964625    4.964625   -0.000005   -0.000005   -0.000005
    4.517292    4.906852    4.906852    4.906852   -0.000005   -0.000005   -0.000005
