#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    4.687905    4.687905    4.687905   -0.000009   -0.000009   -0.000009
    0.036726    4.688111    4.688111    4.688111   -0.000009   -0.000009   -0.000009
    0.073452    4.688725    4.688725    4.688725   -0.000009   -0.000009   -0.000009
    0.110178    4.689748    4.689748    4.689748   -0.000009   -0.000009   -0.000009
    0.146904    4.691183    4.691183    4.691183   -0.000009   -0.000009   -0.000009
    0.183630    4.693034    4.693034    4.693034   -0.000009   -0.000009   -0.000009
    0.220356    4.695298    4.695298    4.695298   -0.000009   -0.000009   -0.000009
    0.257082    4.697977    4.697977    4.697977   -0.000009   -0.000009   -0.000009
    0.293808    4.701079    4.701079    4.701079   -0.000009   -0.000009   -0.000009
    0.330534    4.704604    4.704604    4.704604   -0.000009   -0.000009   -0.000009
    0.367260    4.708555    4.708555    4.708555   -0.000009   -0.000009   -0.000009
    0.403985    4.712940    4.712940    4.712940   -0.000009   -0.000009   -0.000009
    0.440711    4.717760    4.717760    4.717760   -0.000009   -0.000009   -0.000009
    0.477437    4.723023    4.723023    4.723023   -0.000009   -0.000009   -0.000009
    0.514163    4.728731    4.728731    4.728731   -0.000009   -0.000009   -0.000009
    0.550889    4.734898    4.734898    4.734898   -0.000009   -0.000009   -0.000009
    0.587615    4.741525    4.741525    4.741525   -0.000009   -0.000009   -0.000009
    0.624341    4.748621    4.748621    4.748621   -0.000009   -0.000009   -0.000009
    0.661067    4.756196    4.756196    4.756196   -0.000009   -0.000009   -0.000009
    0.697793    4.764254    4.764254    4.764254   -0.000009   -0.000009   -0.000009
    0.734519    4.772812    4.772812    4.772812   -0.000009   -0.000009   -0.000009
    0.771245    4.781875    4.781875    4.781875   -0.000009   -0.000009   -0.000009
    0.807971    4.791458    4.791458    4.791458   -0.000009   -0.000009   -0.000009
    0.844697    4.801568    4.801568    4.801568   -0.000009   -0.000009   -0.000009
    0.881423    4.812224    4.812224    4.812224   -0.000009   -0.000009   -0.000009
    0.918149    4.823435    4.823435    4.823435   -0.000009   -0.000009   -0.000009
    0.954875    4.835217    4.835217    4.835217   -0.000009   -0.000009   -0.000009
    0.991601    4.847591    4.847591    4.847591   -0.000009   -0.000009   -0.000009
    1.028327    4.860566    4.860566    4.860566   -0.000009   -0.000009   -0.000009
    1.065053    4.874166    4.874166    4.874166   -0.000009   -0.000009   -0.000009
    1.101779    4.888407    4.888407    4.888407   -0.000009   -0.000009   -0.000009
    1.138504    4.903311    4.903311    4.903311   -0.000009   -0.000009   -0.000009
