  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.13551203E+00  0.13551203E+00  0.13551203E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.36700000E-01  0.13551883E+00  0.13551883E+00  0.13551883E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.73500000E-01  0.13553922E+00  0.13553922E+00  0.13553922E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11020000E+00  0.13557319E+00  0.13557319E+00  0.13557319E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14690000E+00  0.13562415E+00  0.13562415E+00  0.13562415E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18360000E+00  0.13568528E+00  0.13568528E+00  0.13568528E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.22040000E+00  0.13576337E+00  0.13576337E+00  0.13576337E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.25710000E+00  0.13585503E+00  0.13585503E+00  0.13585503E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.29380000E+00  0.13596021E+00  0.13596021E+00  0.13596021E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.33050000E+00  0.13607893E+00  0.13607893E+00  0.13607893E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.36730000E+00  0.13621454E+00  0.13621454E+00  0.13621454E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.40400000E+00  0.13636025E+00  0.13636025E+00  0.13636025E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.44070000E+00  0.13652618E+00  0.13652618E+00  0.13652618E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.47740000E+00  0.13670217E+00  0.13670217E+00  0.13670217E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.51420000E+00  0.13689494E+00  0.13689494E+00  0.13689494E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.55090000E+00  0.13710448E+00  0.13710448E+00  0.13710448E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.58760000E+00  0.13732734E+00  0.13732734E+00  0.13732734E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.62430000E+00  0.13756689E+00  0.13756689E+00  0.13756689E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.66110000E+00  0.13782307E+00  0.13782307E+00  0.13782307E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.69780000E+00  0.13809585E+00  0.13809585E+00  0.13809585E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.73450000E+00  0.13838181E+00  0.13838181E+00  0.13838181E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.77120000E+00  0.13868761E+00  0.13868761E+00  0.13868761E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.80800000E+00  0.13900982E+00  0.13900982E+00  0.13900982E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.84470000E+00  0.13934842E+00  0.13934842E+00  0.13934842E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.88140000E+00  0.13970332E+00  0.13970332E+00  0.13970332E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.91810000E+00  0.14007778E+00  0.14007778E+00  0.14007778E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.95490000E+00  0.14047176E+00  0.14047176E+00  0.14047176E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.99160000E+00  0.14088512E+00  0.14088512E+00  0.14088512E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10283000E+01  0.14131783E+00  0.14131783E+00  0.14131783E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10651000E+01  0.14176975E+00  0.14176975E+00  0.14176975E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11018000E+01  0.14224081E+00  0.14224081E+00  0.14224081E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11385000E+01  0.14273422E+00  0.14273422E+00  0.14273422E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11752000E+01  0.14324980E+00  0.14324980E+00  0.14324980E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12120000E+01  0.14378748E+00  0.14378748E+00  0.14378748E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12487000E+01  0.14434706E+00  0.14434706E+00  0.14434706E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12854000E+01  0.14493172E+00  0.14493172E+00  0.14493172E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13221000E+01  0.14554136E+00  0.14554136E+00  0.14554136E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13589000E+01  0.14617893E+00  0.14617893E+00  0.14617893E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13956000E+01  0.14683780E+00  0.14683780E+00  0.14683780E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14323000E+01  0.14752753E+00  0.14752753E+00  0.14752753E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14690000E+01  0.14824462E+00  0.14824462E+00  0.14824462E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15058000E+01  0.14899214E+00  0.14899214E+00  0.14899214E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15425000E+01  0.14976975E+00  0.14976975E+00  0.14976975E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15792000E+01  0.15058039E+00  0.15058039E+00  0.15058039E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16159000E+01  0.15142380E+00  0.15142380E+00  0.15142380E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16527000E+01  0.15230275E+00  0.15230275E+00  0.15230275E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
