  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.21651559E+01  0.21651559E+01  0.21651559E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36700000E-01  0.21652021E+01  0.21652021E+01  0.21652021E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.73500000E-01  0.21653407E+01  0.21653407E+01  0.21653407E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11020000E+00  0.21655717E+01  0.21655717E+01  0.21655717E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14690000E+00  0.21659181E+01  0.21659181E+01  0.21659181E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18360000E+00  0.21663337E+01  0.21663337E+01  0.21663337E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22040000E+00  0.21668646E+01  0.21668646E+01  0.21668646E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25710000E+00  0.21674878E+01  0.21674878E+01  0.21674878E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29380000E+00  0.21682030E+01  0.21682030E+01  0.21682030E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33050000E+00  0.21690103E+01  0.21690103E+01  0.21690103E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36730000E+00  0.21699325E+01  0.21699325E+01  0.21699325E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40400000E+00  0.21709234E+01  0.21709234E+01  0.21709234E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44070000E+00  0.21720520E+01  0.21720520E+01  0.21720520E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47740000E+00  0.21732492E+01  0.21732492E+01  0.21732492E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51420000E+00  0.21745606E+01  0.21745606E+01  0.21745606E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
