#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.036301    0.004248    0.004248    0.004248   -0.000000   -0.000000    0.000000
    0.072603    0.008506    0.008506    0.008506   -0.000000   -0.000000    0.000000
    0.108904    0.012783    0.012783    0.012783   -0.000000   -0.000000    0.000000
    0.145205    0.017088    0.017088    0.017088   -0.000000   -0.000000    0.000000
    0.181507    0.021432    0.021432    0.021432   -0.000000   -0.000000    0.000000
    0.217808    0.025824    0.025824    0.025824   -0.000000   -0.000000    0.000000
    0.254109    0.030275    0.030275    0.030275   -0.000000   -0.000000    0.000000
    0.290411    0.034797    0.034797    0.034797   -0.000000   -0.000000    0.000000
    0.326712    0.039400    0.039400    0.039400   -0.000000   -0.000000    0.000000
    0.363013    0.044096    0.044096    0.044096   -0.000000   -0.000000    0.000000
    0.399315    0.048897    0.048897    0.048897   -0.000000   -0.000000    0.000000
    0.435616    0.053819    0.053819    0.053819   -0.000000   -0.000000    0.000000
    0.471917    0.058874    0.058874    0.058874   -0.000000   -0.000000    0.000000
    0.508219    0.064078    0.064078    0.064078   -0.000000   -0.000000    0.000000
    0.544520    0.069448    0.069448    0.069448   -0.000000   -0.000000    0.000000
    0.580821    0.075003    0.075003    0.075003   -0.000000   -0.000000    0.000000
    0.617122    0.080761    0.080761    0.080761   -0.000000   -0.000000    0.000000
    0.653424    0.086744    0.086744    0.086744   -0.000000   -0.000000    0.000000
    0.689725    0.092977    0.092977    0.092977   -0.000000   -0.000000    0.000000
    0.726026    0.099484    0.099484    0.099484   -0.000000   -0.000000    0.000000
    0.762328    0.106296    0.106296    0.106296   -0.000000   -0.000000    0.000000
    0.798629    0.113443    0.113443    0.113443   -0.000000   -0.000000    0.000000
    0.834930    0.120964    0.120964    0.120964   -0.000000   -0.000000    0.000000
    0.871232    0.128897    0.128897    0.128897   -0.000000   -0.000000    0.000000
    0.907533    0.137289    0.137289    0.137289   -0.000000   -0.000000    0.000000
    0.943834    0.146191    0.146191    0.146191   -0.000000   -0.000000    0.000000
    0.980136    0.155660    0.155660    0.155660   -0.000000   -0.000000    0.000000
    1.016437    0.165760    0.165760    0.165760   -0.000000   -0.000000    0.000000
    1.052738    0.176560    0.176560    0.176560   -0.000000   -0.000000    0.000000
    1.089040    0.188132    0.188132    0.188132   -0.000000   -0.000000    0.000000
    1.125341    0.200546    0.200546    0.200546   -0.000000   -0.000000    0.000000
    1.161642    0.213863    0.213863    0.213863   -0.000000   -0.000000   -0.000000
    1.197944    0.228124    0.228124    0.228124   -0.000000   -0.000000   -0.000000
    1.234245    0.243337    0.243337    0.243337   -0.000000   -0.000000   -0.000000
    1.270546    0.259468    0.259468    0.259468   -0.000000   -0.000000   -0.000000
    1.306848    0.276451    0.276451    0.276451   -0.000000   -0.000000   -0.000000
    1.343149    0.294229    0.294229    0.294229   -0.000000   -0.000000   -0.000000
    1.379450    0.312847    0.312847    0.312847   -0.000000   -0.000000   -0.000000
    1.415752    0.332628    0.332628    0.332628   -0.000000   -0.000000   -0.000000
    1.452053    0.354438    0.354438    0.354438   -0.000000   -0.000000   -0.000000
    1.488354    0.380052    0.380052    0.380052   -0.000000   -0.000000   -0.000000
    1.524656    0.412574    0.412574    0.412574   -0.000000   -0.000000   -0.000000
    1.560957    0.456865    0.456865    0.456865   -0.000000   -0.000000   -0.000000
    1.597258    0.519824    0.519824    0.519824   -0.000000   -0.000000   -0.000000
    1.633560    0.610349    0.610349    0.610349   -0.000000   -0.000000   -0.000000
    1.669861    0.738719    0.738719    0.738719   -0.000000   -0.000000   -0.000000
    1.706162    0.915260    0.915260    0.915260   -0.000000   -0.000000   -0.000000
    1.742464    1.148295    1.148295    1.148295   -0.000000   -0.000000   -0.000000
    1.778765    1.441800    1.441800    1.441800   -0.000000   -0.000000   -0.000000
    1.815066    1.793485    1.793485    1.793485   -0.000000   -0.000000   -0.000000
    1.851367    2.194260    2.194260    2.194260   -0.000000   -0.000000   -0.000000
    1.887669    2.629741    2.629741    2.629741   -0.000000   -0.000000   -0.000000
    1.923970    3.083711    3.083711    3.083711   -0.000000   -0.000000   -0.000000
    1.960271    3.542553    3.542553    3.542553   -0.000000   -0.000000   -0.000000
    1.996573    3.998918    3.998918    3.998918   -0.000000   -0.000000   -0.000000
    2.032874    4.453004    4.453004    4.453004   -0.000000   -0.000000   -0.000000
    2.069175    4.910624    4.910624    4.910624   -0.000000   -0.000000   -0.000000
    2.105477    5.378647    5.378647    5.378647   -0.000000   -0.000000   -0.000000
    2.141778    5.859507    5.859507    5.859507   -0.000000   -0.000000   -0.000000
    2.178079    6.346921    6.346921    6.346921   -0.000000   -0.000000   -0.000000
    2.214381    6.824387    6.824387    6.824387   -0.000000   -0.000000    0.000000
    2.250682    7.267106    7.267106    7.267106   -0.000000   -0.000000    0.000000
    2.286983    7.646654    7.646654    7.646654   -0.000000   -0.000000    0.000000
    2.323285    7.937205    7.937205    7.937205   -0.000000   -0.000000    0.000000
    2.359586    8.121556    8.121556    8.121556   -0.000000   -0.000000    0.000000
    2.395887    8.195565    8.195565    8.195565   -0.000000   -0.000000    0.000000
    2.432189    8.169917    8.169917    8.169917   -0.000000   -0.000000    0.000000
    2.468490    8.068845    8.068845    8.068845   -0.000000   -0.000000    0.000000
    2.504791    7.925991    7.925991    7.925991   -0.000000   -0.000000    0.000000
    2.541093    7.778361    7.778361    7.778361    0.000000   -0.000000    0.000000
    2.577394    7.659566    7.659566    7.659566    0.000000    0.000000    0.000000
    2.613695    7.593800    7.593800    7.593800    0.000000    0.000000    0.000000
    2.649997    7.591705    7.591705    7.591705    0.000000    0.000000    0.000000
    2.686298    7.648808    7.648808    7.648808    0.000000    0.000000    0.000000
    2.722599    7.746966    7.746966    7.746966    0.000000    0.000000    0.000000
    2.758901    7.858542    7.858542    7.858542   -0.000000    0.000000    0.000000
    2.795202    7.952620    7.952620    7.952620   -0.000000    0.000000    0.000000
    2.831503    8.002067    8.002067    8.002067    0.000000    0.000000    0.000000
    2.867805    7.989911    7.989911    7.989911    0.000000    0.000000    0.000000
    2.904106    7.913461    7.913461    7.913461    0.000000    0.000000    0.000000
    2.940407    7.784997    7.784997    7.784997    0.000000    0.000000    0.000000
    2.976709    7.628767    7.628767    7.628767    0.000000    0.000000    0.000000
    3.013010    7.475277    7.475277    7.475277    0.000000    0.000000    0.000000
    3.049311    7.354359    7.354359    7.354359    0.000000    0.000000    0.000000
    3.085612    7.288918    7.288918    7.288918    0.000000    0.000000    0.000000
    3.121914    7.290600    7.290600    7.290600    0.000000    0.000000    0.000000
    3.158215    7.357987    7.357987    7.357987    0.000000    0.000000    0.000000
    3.194516    7.477315    7.477315    7.477315    0.000000    0.000000    0.000000
    3.230818    7.625436    7.625436    7.625436    0.000000    0.000000    0.000000
    3.267119    7.774605    7.774605    7.774605    0.000000    0.000000    0.000000
    3.303420    7.898281    7.898281    7.898281    0.000000    0.000000    0.000000
    3.339722    7.976584    7.976584    7.976584    0.000000    0.000000   -0.000000
    3.376023    7.999509    7.999509    7.999509    0.000000   -0.000000   -0.000000
    3.412324    7.966960    7.966960    7.966960    0.000000   -0.000000   -0.000000
    3.448626    7.885639    7.885639    7.885639    0.000000   -0.000000   -0.000000
    3.484927    7.764580    7.764580    7.764580    0.000000   -0.000000    0.000000
    3.521228    7.611938    7.611938    7.611938    0.000000   -0.000000    0.000000
    3.557530    7.434557    7.434557    7.434557    0.000000    0.000000    0.000000
    3.593831    7.240228    7.240228    7.240228    0.000000    0.000000   -0.000000
    3.630132    7.040673    7.040673    7.040673    0.000000    0.000000   -0.000000
    3.666434    6.852813    6.852813    6.852813    0.000000    0.000000   -0.000000
    3.702735    6.696701    6.696701    6.696701    0.000000    0.000000   -0.000000
    3.739036    6.590554    6.590554    6.590554    0.000000    0.000000   -0.000000
    3.775338    6.544653    6.544653    6.544653    0.000000    0.000000   -0.000000
    3.811639    6.556719    6.556719    6.556719    0.000000    0.000000   -0.000000
    3.847940    6.610754    6.610754    6.610754    0.000000    0.000000   -0.000000
    3.884242    6.679876    6.679876    6.679876    0.000000    0.000000   -0.000000
    3.920543    6.732603    6.732603    6.732603    0.000000    0.000000   -0.000000
    3.956844    6.740544    6.740544    6.740544    0.000000    0.000000   -0.000000
    3.993146    6.685230    6.685230    6.685230   -0.000000    0.000000   -0.000000
    4.029447    6.562130    6.562130    6.562130   -0.000000   -0.000000   -0.000000
    4.065748    6.380878    6.380878    6.380878   -0.000000   -0.000000   -0.000000
    4.102050    6.161980    6.161980    6.161980    0.000000   -0.000000   -0.000000
    4.138351    5.931346    5.931346    5.931346    0.000000   -0.000000   -0.000000
    4.174652    5.714478    5.714478    5.714478    0.000000   -0.000000   -0.000000
    4.210954    5.531744    5.531744    5.531744   -0.000000   -0.000000   -0.000000
    4.247255    5.395565    5.395565    5.395565   -0.000000   -0.000000   -0.000000
    4.283556    5.309361    5.309361    5.309361   -0.000000    0.000000   -0.000000
    4.319857    5.267998    5.267998    5.267998   -0.000000    0.000000   -0.000000
    4.356159    5.259301    5.259301    5.259301   -0.000000    0.000000   -0.000000
    4.392460    5.266472    5.266472    5.266472   -0.000000   -0.000000   -0.000000
    4.428761    5.271290    5.271290    5.271290   -0.000000   -0.000000   -0.000000
    4.465063    5.257664    5.257664    5.257664   -0.000000   -0.000000   -0.000000
    4.501364    5.214925    5.214925    5.214925   -0.000000    0.000000   -0.000000
    4.537665    5.139896    5.139896    5.139896   -0.000000    0.000000   -0.000000
    4.573967    5.037345    5.037345    5.037345   -0.000000   -0.000000    0.000000
    4.610268    4.918598    4.918598    4.918598   -0.000000   -0.000000    0.000000
    4.646569    4.798750    4.798750    4.798750   -0.000000   -0.000000    0.000000
    4.682871    4.693209    4.693209    4.693209   -0.000000   -0.000000    0.000000
    4.719172    4.614268    4.614268    4.614268   -0.000000   -0.000000    0.000000
    4.755473    4.568527    4.568527    4.568527   -0.000000   -0.000000    0.000000
    4.791775    4.555602    4.555602    4.555602   -0.000000   -0.000000   -0.000000
    4.828076    4.568404    4.568404    4.568404   -0.000000   -0.000000   -0.000000
    4.864377    4.594963    4.594963    4.594963   -0.000000   -0.000000   -0.000000
