#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    8.350870    8.350870    8.350870   -0.000000   -0.000000    0.000000
    0.036301    8.351637    8.351637    8.351637   -0.000000   -0.000000    0.000000
    0.072603    8.353936    8.353936    8.353936   -0.000000   -0.000000    0.000000
    0.108904    8.357778    8.357778    8.357778   -0.000000   -0.000000    0.000000
    0.145205    8.363168    8.363168    8.363168   -0.000000   -0.000000    0.000000
    0.181507    8.370123    8.370123    8.370123   -0.000000   -0.000000    0.000000
    0.217808    8.378642    8.378642    8.378642   -0.000000   -0.000000    0.000000
    0.254109    8.388765    8.388765    8.388765   -0.000000   -0.000000    0.000000
    0.290411    8.400505    8.400505    8.400505   -0.000000   -0.000000    0.000000
    0.326712    8.413889    8.413889    8.413889   -0.000000   -0.000000    0.000000
    0.363013    8.428943    8.428943    8.428943   -0.000000   -0.000000    0.000000
    0.399315    8.445721    8.445721    8.445721   -0.000000   -0.000000    0.000000
    0.435616    8.464244    8.464244    8.464244   -0.000000   -0.000000    0.000000
    0.471917    8.484565    8.484565    8.484565   -0.000000   -0.000000    0.000000
    0.508219    8.506732    8.506732    8.506732   -0.000000   -0.000000    0.000000
    0.544520    8.530801    8.530801    8.530801   -0.000000   -0.000000    0.000000
    0.580821    8.556835    8.556835    8.556835   -0.000000   -0.000000    0.000000
    0.617122    8.584903    8.584903    8.584903   -0.000000   -0.000000    0.000000
    0.653424    8.615085    8.615085    8.615085   -0.000000   -0.000000    0.000000
    0.689725    8.647449    8.647449    8.647449   -0.000000   -0.000000    0.000000
    0.726026    8.682106    8.682106    8.682106   -0.000000   -0.000000    0.000000
    0.762328    8.719153    8.719153    8.719153   -0.000000   -0.000000    0.000000
    0.798629    8.758703    8.758703    8.758703   -0.000000   -0.000000    0.000000
    0.834930    8.800873    8.800873    8.800873   -0.000000   -0.000000    0.000000
    0.871232    8.845805    8.845805    8.845805   -0.000000   -0.000000    0.000000
    0.907533    8.893648    8.893648    8.893648   -0.000000   -0.000000    0.000000
    0.943834    8.944569    8.944569    8.944569   -0.000000   -0.000000    0.000000
    0.980136    8.998750    8.998750    8.998750   -0.000000   -0.000000    0.000000
    1.016437    9.056397    9.056397    9.056397   -0.000000   -0.000000    0.000000
    1.052738    9.117732    9.117732    9.117732   -0.000000   -0.000000    0.000000
    1.089040    9.182983    9.182983    9.182983   -0.000000   -0.000000    0.000000
    1.125341    9.252422    9.252422    9.252422   -0.000000   -0.000000    0.000000
    1.161642    9.326365    9.326365    9.326365   -0.000000   -0.000000    0.000000
    1.197944    9.405141    9.405141    9.405141   -0.000000   -0.000000    0.000000
    1.234245    9.489199    9.489199    9.489199   -0.000000   -0.000000    0.000000
    1.270546    9.579083    9.579083    9.579083   -0.000000   -0.000000    0.000000
    1.306848    9.675542    9.675542    9.675542   -0.000000   -0.000000    0.000000
    1.343149    9.779618    9.779618    9.779618   -0.000000   -0.000000    0.000000
    1.379450    9.892751    9.892751    9.892751   -0.000000   -0.000000    0.000000
    1.415752   10.016891   10.016891   10.016891   -0.000000   -0.000000    0.000000
    1.452053   10.154552   10.154552   10.154552   -0.000000   -0.000000    0.000000
    1.488354   10.308756   10.308756   10.308756   -0.000000   -0.000000    0.000000
    1.524656   10.482829   10.482829   10.482829   -0.000000   -0.000000    0.000000
    1.560957   10.679924   10.679924   10.679924   -0.000000   -0.000000    0.000000
    1.597258   10.902255   10.902255   10.902255   -0.000000   -0.000000    0.000000
    1.633560   11.150050   11.150050   11.150050   -0.000000   -0.000000    0.000000
    1.669861   11.420337   11.420337   11.420337   -0.000000   -0.000000    0.000000
    1.706162   11.705957   11.705957   11.705957   -0.000000   -0.000000    0.000000
    1.742464   11.995156   11.995156   11.995156   -0.000000   -0.000000    0.000000
    1.778765   12.272472   12.272472   12.272472   -0.000000   -0.000000   -0.000000
    1.815066   12.520873   12.520873   12.520873   -0.000000   -0.000000    0.000000
    1.851367   12.725132   12.725132   12.725132   -0.000000   -0.000000    0.000000
