 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39500000E-01  0.39473929E+01  0.39473929E+01  0.39473929E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79000000E-01  0.15786500E+02  0.15786500E+02  0.15786500E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11840000E+00  0.35675444E+02  0.35675444E+02  0.35675444E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15790000E+00  0.63583151E+02  0.63583151E+02  0.63583151E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19740000E+00  0.99796364E+02  0.99796364E+02  0.99796364E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23690000E+00  0.14487735E+03  0.14487735E+03  0.14487735E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27640000E+00  0.19826350E+03  0.19826350E+03  0.19826350E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31590000E+00  0.26096107E+03  0.26096107E+03  0.26096107E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35530000E+00  0.33321501E+03  0.33321501E+03  0.33321501E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39480000E+00  0.41552724E+03  0.41552724E+03  0.41552724E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43430000E+00  0.50813827E+03  0.50813827E+03  0.50813827E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47380000E+00  0.61290906E+03  0.61290906E+03  0.61290906E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51330000E+00  0.72882408E+03  0.72882408E+03  0.72882408E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55280000E+00  0.85798029E+03  0.85798029E+03  0.85798029E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59220000E+00  0.10018095E+04  0.10018095E+04  0.10018095E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.63170000E+00  0.11593692E+04  0.11593692E+04  0.11593692E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67120000E+00  0.13341971E+04  0.13341971E+04  0.13341971E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71070000E+00  0.15249071E+04  0.15249071E+04  0.15249071E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75020000E+00  0.17320181E+04  0.17320181E+04  0.17320181E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78970000E+00  0.19560032E+04  0.19560032E+04  0.19560032E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.82910000E+00  0.21943505E+04  0.21943505E+04  0.21943505E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86860000E+00  0.24489388E+04  0.24489388E+04  0.24489388E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90810000E+00  0.27210693E+04  0.27210693E+04  0.27210693E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94760000E+00  0.30154173E+04  0.30154173E+04  0.30154173E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98710000E+00  0.33434558E+04  0.33434558E+04  0.33434558E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10265000E+01  0.37258318E+04  0.37258318E+04  0.37258318E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10660000E+01  0.41931428E+04  0.41931428E+04  0.41931428E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11055000E+01  0.48004257E+04  0.48004257E+04  0.48004257E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11450000E+01  0.56277115E+04  0.56277115E+04  0.56277115E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11845000E+01  0.67967421E+04  0.67967421E+04  0.67967421E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12240000E+01  0.84639333E+04  0.84639333E+04  0.84639333E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12634000E+01  0.10799977E+05  0.10799977E+05  0.10799977E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13029000E+01  0.13934874E+05  0.13934874E+05  0.13934874E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13424000E+01  0.17902590E+05  0.17902590E+05  0.17902590E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13819000E+01  0.22569367E+05  0.22569367E+05  0.22569367E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14214000E+01  0.27624948E+05  0.27624948E+05  0.27624948E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14609000E+01  0.32643277E+05  0.32643277E+05  0.32643277E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15003000E+01  0.37186995E+05  0.37186995E+05  0.37186995E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15398000E+01  0.41002624E+05  0.41002624E+05  0.41002624E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15793000E+01  0.44127789E+05  0.44127789E+05  0.44127789E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16188000E+01  0.46960296E+05  0.46960296E+05  0.46960296E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16583000E+01  0.50145655E+05  0.50145655E+05  0.50145655E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16977000E+01  0.54381271E+05  0.54381271E+05  0.54381271E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17372000E+01  0.60214736E+05  0.60214736E+05  0.60214736E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17767000E+01  0.67907940E+05  0.67907940E+05  0.67907940E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18162000E+01  0.77434140E+05  0.77434140E+05  0.77434140E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18557000E+01  0.88575184E+05  0.88575184E+05  0.88575184E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18952000E+01  0.10103737E+06  0.10103737E+06  0.10103737E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19346000E+01  0.11458105E+06  0.11458105E+06  0.11458105E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19741000E+01  0.12912433E+06  0.12912433E+06  0.12912433E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20136000E+01  0.14472938E+06  0.14472938E+06  0.14472938E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20531000E+01  0.16157855E+06  0.16157855E+06  0.16157855E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20926000E+01  0.17982789E+06  0.17982789E+06  0.17982789E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21321000E+01  0.19944082E+06  0.19944082E+06  0.19944082E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21715000E+01  0.21999024E+06  0.21999024E+06  0.21999024E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22110000E+01  0.24063958E+06  0.24063958E+06  0.24063958E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22505000E+01  0.26013719E+06  0.26013719E+06  0.26013719E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22900000E+01  0.27709195E+06  0.27709195E+06  0.27709195E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23295000E+01  0.29029063E+06  0.29029063E+06  0.29029063E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
