  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.39500000E-01  0.70007547E-04  0.70007547E-04  0.70007547E-04             NaN             NaN             NaN
  0.79000000E-01  0.13990609E-03  0.13990609E-03  0.13990609E-03             NaN             NaN             NaN
  0.11840000E+00  0.21075595E-03  0.21075595E-03  0.21075595E-03             NaN             NaN             NaN
  0.15790000E+00  0.28127929E-03  0.28127929E-03  0.28127929E-03             NaN             NaN             NaN
  0.19740000E+00  0.35252739E-03  0.35252739E-03  0.35252739E-03             NaN             NaN             NaN
  0.23690000E+00  0.42554011E-03  0.42554011E-03  0.42554011E-03             NaN             NaN             NaN
  0.27640000E+00  0.49786167E-03  0.49786167E-03  0.49786167E-03             NaN             NaN             NaN
  0.31590000E+00  0.57168373E-03  0.57168373E-03  0.57168373E-03             NaN             NaN             NaN
  0.35530000E+00  0.64685330E-03  0.64685330E-03  0.64685330E-03             NaN             NaN             NaN
  0.39480000E+00  0.72319220E-03  0.72319220E-03  0.72319220E-03             NaN             NaN             NaN
  0.43430000E+00  0.80057472E-03  0.80057472E-03  0.80057472E-03             NaN             NaN             NaN
  0.47380000E+00  0.88102127E-03  0.88102127E-03  0.88102127E-03             NaN             NaN             NaN
  0.51330000E+00  0.96208104E-03  0.96208104E-03  0.96208104E-03             NaN             NaN             NaN
  0.55280000E+00  0.10457920E-02  0.10457920E-02  0.10457920E-02             NaN             NaN             NaN
  0.59220000E+00  0.11329516E-02  0.11329516E-02  0.11329516E-02             NaN             NaN             NaN
  0.63170000E+00  0.12210758E-02  0.12210758E-02  0.12210758E-02             NaN             NaN             NaN
  0.67120000E+00  0.13131411E-02  0.13131411E-02  0.13131411E-02             NaN             NaN             NaN
  0.71070000E+00  0.14066189E-02  0.14066189E-02  0.14066189E-02             NaN             NaN             NaN
  0.75020000E+00  0.15011310E-02  0.15011310E-02  0.15011310E-02             NaN             NaN             NaN
  0.78970000E+00  0.15962464E-02  0.15962464E-02  0.15962464E-02             NaN             NaN             NaN
  0.82910000E+00  0.16894485E-02  0.16894485E-02  0.16894485E-02             NaN             NaN             NaN
  0.86860000E+00  0.17811808E-02  0.17811808E-02  0.17811808E-02             NaN             NaN             NaN
  0.90810000E+00  0.18718261E-02  0.18718261E-02  0.18718261E-02             NaN             NaN             NaN
  0.94760000E+00  0.19634881E-02  0.19634881E-02  0.19634881E-02             NaN             NaN             NaN
  0.98710000E+00  0.20617578E-02  0.20617578E-02  0.20617578E-02             NaN             NaN             NaN
  0.10265000E+01  0.21764378E-02  0.21764378E-02  0.21764378E-02             NaN             NaN             NaN
  0.10660000E+01  0.23195749E-02  0.23195749E-02  0.23195749E-02             NaN             NaN             NaN
  0.11055000E+01  0.25135140E-02  0.25135140E-02  0.25135140E-02             NaN             NaN             NaN
  0.11450000E+01  0.27869336E-02  0.27869336E-02  0.27869336E-02             NaN             NaN             NaN
  0.11845000E+01  0.31806964E-02  0.31806964E-02  0.31806964E-02             NaN             NaN             NaN
  0.12240000E+01  0.37408767E-02  0.37408767E-02  0.37408767E-02             NaN             NaN             NaN
  0.12634000E+01  0.45093551E-02  0.45093551E-02  0.45093551E-02             NaN             NaN             NaN
  0.13029000E+01  0.55041088E-02  0.55041088E-02  0.55041088E-02             NaN             NaN             NaN
  0.13424000E+01  0.67101280E-02  0.67101280E-02  0.67101280E-02             NaN             NaN             NaN
  0.13819000E+01  0.80643387E-02  0.80643387E-02  0.80643387E-02             NaN             NaN             NaN
  0.14214000E+01  0.94621889E-02  0.94621889E-02  0.94621889E-02             NaN             NaN             NaN
  0.14609000E+01  0.10776093E-01  0.10776093E-01  0.10776093E-01             NaN             NaN             NaN
  0.15003000E+01  0.11877867E-01  0.11877867E-01  0.11877867E-01             NaN             NaN             NaN
  0.15398000E+01  0.12684567E-01  0.12684567E-01  0.12684567E-01             NaN             NaN             NaN
  0.15793000E+01  0.13192747E-01  0.13192747E-01  0.13192747E-01             NaN             NaN             NaN
  0.16188000E+01  0.13500570E-01  0.13500570E-01  0.13500570E-01             NaN             NaN             NaN
  0.16583000E+01  0.13776896E-01  0.13776896E-01  0.13776896E-01             NaN             NaN             NaN
  0.16977000E+01  0.14199833E-01  0.14199833E-01  0.14199833E-01             NaN             NaN             NaN
  0.17372000E+01  0.14891776E-01  0.14891776E-01  0.14891776E-01             NaN             NaN             NaN
  0.17767000E+01  0.15895142E-01  0.15895142E-01  0.15895142E-01             NaN             NaN             NaN
  0.18162000E+01  0.17182853E-01  0.17182853E-01  0.17182853E-01             NaN             NaN             NaN
  0.18557000E+01  0.18692560E-01  0.18692560E-01  0.18692560E-01             NaN             NaN             NaN
  0.18952000E+01  0.20354169E-01  0.20354169E-01  0.20354169E-01             NaN             NaN             NaN
  0.19346000E+01  0.22113753E-01  0.22113753E-01  0.22113753E-01             NaN             NaN             NaN
  0.19741000E+01  0.23945179E-01  0.23945179E-01  0.23945179E-01             NaN             NaN             NaN
  0.20136000E+01  0.25852693E-01  0.25852693E-01  0.25852693E-01             NaN             NaN             NaN
  0.20531000E+01  0.27869821E-01  0.27869821E-01  0.27869821E-01             NaN             NaN             NaN
  0.20926000E+01  0.30048402E-01  0.30048402E-01  0.30048402E-01             NaN             NaN             NaN
  0.21321000E+01  0.32442281E-01  0.32442281E-01  0.32442281E-01             NaN             NaN             NaN
  0.21715000E+01  0.35087404E-01  0.35087404E-01  0.35087404E-01             NaN             NaN             NaN
  0.22110000E+01  0.37989257E-01  0.37989257E-01  0.37989257E-01             NaN             NaN             NaN
  0.22505000E+01  0.41107194E-01  0.41107194E-01  0.41107194E-01             NaN             NaN             NaN
  0.22900000E+01  0.44344625E-01  0.44344625E-01  0.44344625E-01             NaN             NaN             NaN
  0.23295000E+01  0.47534012E-01  0.47534012E-01  0.47534012E-01             NaN             NaN             NaN
  0.23690000E+01  0.50438698E-01  0.50438698E-01  0.50438698E-01             NaN             NaN             NaN
  0.24084000E+01  0.52786003E-01  0.52786003E-01  0.52786003E-01             NaN             NaN             NaN
  0.24479000E+01  0.54362757E-01  0.54362757E-01  0.54362757E-01             NaN             NaN             NaN
  0.24874000E+01  0.55140259E-01  0.55140259E-01  0.55140259E-01             NaN             NaN             NaN
  0.25269000E+01  0.55344600E-01  0.55344600E-01  0.55344600E-01             NaN             NaN             NaN
  0.25664000E+01  0.55383010E-01  0.55383010E-01  0.55383010E-01             NaN             NaN             NaN
  0.26058000E+01  0.55669581E-01  0.55669581E-01  0.55669581E-01             NaN             NaN             NaN
  0.26453000E+01  0.56486922E-01  0.56486922E-01  0.56486922E-01             NaN             NaN             NaN
  0.26848000E+01  0.57947520E-01  0.57947520E-01  0.57947520E-01             NaN             NaN             NaN
  0.27243000E+01  0.60029829E-01  0.60029829E-01  0.60029829E-01             NaN             NaN             NaN
  0.27638000E+01  0.62615379E-01  0.62615379E-01  0.62615379E-01             NaN             NaN             NaN
  0.28033000E+01  0.65511558E-01  0.65511558E-01  0.65511558E-01             NaN             NaN             NaN
  0.28427000E+01  0.68461907E-01  0.68461907E-01  0.68461907E-01             NaN             NaN             NaN
  0.28822000E+01  0.71172131E-01  0.71172131E-01  0.71172131E-01             NaN             NaN             NaN
  0.29217000E+01  0.73373529E-01  0.73373529E-01  0.73373529E-01             NaN             NaN             NaN
  0.29612000E+01  0.74930393E-01  0.74930393E-01  0.74930393E-01             NaN             NaN             NaN
  0.30007000E+01  0.75904146E-01  0.75904146E-01  0.75904146E-01             NaN             NaN             NaN
  0.30402000E+01  0.76523579E-01  0.76523579E-01  0.76523579E-01             NaN             NaN             NaN
  0.30796000E+01  0.77058877E-01  0.77058877E-01  0.77058877E-01             NaN             NaN             NaN
  0.31191000E+01  0.77702618E-01  0.77702618E-01  0.77702618E-01             NaN             NaN             NaN
  0.31586000E+01  0.78518822E-01  0.78518822E-01  0.78518822E-01             NaN             NaN             NaN
  0.31981000E+01  0.79474062E-01  0.79474062E-01  0.79474062E-01             NaN             NaN             NaN
  0.32376000E+01  0.80499949E-01  0.80499949E-01  0.80499949E-01             NaN             NaN             NaN
  0.32770000E+01  0.81556973E-01  0.81556973E-01  0.81556973E-01             NaN             NaN             NaN
  0.33165000E+01  0.82664909E-01  0.82664909E-01  0.82664909E-01             NaN             NaN             NaN
  0.33560000E+01  0.83894900E-01  0.83894900E-01  0.83894900E-01             NaN             NaN             NaN
  0.33955000E+01  0.85328190E-01  0.85328190E-01  0.85328190E-01             NaN             NaN             NaN
  0.34350000E+01  0.87018775E-01  0.87018775E-01  0.87018775E-01             NaN             NaN             NaN
  0.34745000E+01  0.88985854E-01  0.88985854E-01  0.88985854E-01             NaN             NaN             NaN
  0.35139000E+01  0.91224087E-01  0.91224087E-01  0.91224087E-01             NaN             NaN             NaN
  0.35534000E+01  0.93734523E-01  0.93734523E-01  0.93734523E-01             NaN             NaN             NaN
  0.35929000E+01  0.96528262E-01  0.96528262E-01  0.96528262E-01             NaN             NaN             NaN
  0.36324000E+01  0.99618095E-01  0.99618095E-01  0.99618095E-01             NaN             NaN             NaN
  0.36719000E+01  0.10297805E+00  0.10297805E+00  0.10297805E+00             NaN             NaN             NaN
  0.37114000E+01  0.10649182E+00  0.10649182E+00  0.10649182E+00             NaN             NaN             NaN
  0.37508000E+01  0.10993374E+00  0.10993374E+00  0.10993374E+00             NaN             NaN             NaN
  0.37903000E+01  0.11297452E+00  0.11297452E+00  0.11297452E+00             NaN             NaN             NaN
  0.38298000E+01  0.11529133E+00  0.11529133E+00  0.11529133E+00             NaN             NaN             NaN
  0.38693000E+01  0.11671239E+00  0.11671239E+00  0.11671239E+00             NaN             NaN             NaN
  0.39088000E+01  0.11735233E+00  0.11735233E+00  0.11735233E+00             NaN             NaN             NaN
  0.39483000E+01  0.11760600E+00  0.11760600E+00  0.11760600E+00             NaN             NaN             NaN
  0.39877000E+01  0.11799303E+00  0.11799303E+00  0.11799303E+00             NaN             NaN             NaN
  0.40272000E+01  0.11897032E+00  0.11897032E+00  0.11897032E+00             NaN             NaN             NaN
  0.40667000E+01  0.12081333E+00  0.12081333E+00  0.12081333E+00             NaN             NaN             NaN
  0.41062000E+01  0.12358050E+00  0.12358050E+00  0.12358050E+00             NaN             NaN             NaN
  0.41457000E+01  0.12712071E+00  0.12712071E+00  0.12712071E+00             NaN             NaN             NaN
  0.41851000E+01  0.13108943E+00  0.13108943E+00  0.13108943E+00             NaN             NaN             NaN
  0.42246000E+01  0.13500380E+00  0.13500380E+00  0.13500380E+00             NaN             NaN             NaN
  0.42641000E+01  0.13834579E+00  0.13834579E+00  0.13834579E+00             NaN             NaN             NaN
  0.43036000E+01  0.14074476E+00  0.14074476E+00  0.14074476E+00             NaN             NaN             NaN
  0.43431000E+01  0.14213967E+00  0.14213967E+00  0.14213967E+00             NaN             NaN             NaN
  0.43826000E+01  0.14278721E+00  0.14278721E+00  0.14278721E+00             NaN             NaN             NaN
