  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39500000E-01  0.98598357E-03  0.98598357E-03  0.98598357E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79000000E-01  0.19715835E-02  0.19715835E-02  0.19715835E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11840000E+00  0.29728576E-02  0.29728576E-02  0.29728576E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15790000E+00  0.39729796E-02  0.39729796E-02  0.39729796E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19740000E+00  0.49879718E-02  0.49879718E-02  0.49879718E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23690000E+00  0.60338130E-02  0.60338130E-02  0.60338130E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27640000E+00  0.70771949E-02  0.70771949E-02  0.70771949E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31590000E+00  0.81504674E-02  0.81504674E-02  0.81504674E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35530000E+00  0.92530682E-02  0.92530682E-02  0.92530682E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39480000E+00  0.10384337E-01  0.10384337E-01  0.10384337E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43430000E+00  0.11543792E-01  0.11543792E-01  0.11543792E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47380000E+00  0.12763136E-01  0.12763136E-01  0.12763136E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51330000E+00  0.14009024E-01  0.14009024E-01  0.14009024E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55280000E+00  0.15313191E-01  0.15313191E-01  0.15313191E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59220000E+00  0.16690647E-01  0.16690647E-01  0.16690647E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.63170000E+00  0.18107867E-01  0.18107867E-01  0.18107867E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67120000E+00  0.19612117E-01  0.19612117E-01  0.19612117E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71070000E+00  0.21169641E-01  0.21169641E-01  0.21169641E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75020000E+00  0.22778850E-01  0.22778850E-01  0.22778850E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
