#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.039483    0.006005    0.006005    0.006005   -0.000000   -0.000000   -0.000000
    0.078965    0.012030    0.012030    0.012030   -0.000000   -0.000000   -0.000000
    0.118448    0.018096    0.018096    0.018096   -0.000000   -0.000000   -0.000000
    0.157930    0.024224    0.024224    0.024224   -0.000000   -0.000000   -0.000000
    0.197413    0.030435    0.030435    0.030435   -0.000000   -0.000000   -0.000000
    0.236895    0.036751    0.036751    0.036751   -0.000000   -0.000000   -0.000000
    0.276378    0.043198    0.043198    0.043198   -0.000000   -0.000000   -0.000000
    0.315860    0.049800    0.049800    0.049800   -0.000000   -0.000000   -0.000000
    0.355343    0.056585    0.056585    0.056585   -0.000000   -0.000000   -0.000000
    0.394825    0.063582    0.063582    0.063582   -0.000000   -0.000000   -0.000000
    0.434308    0.070826    0.070826    0.070826   -0.000000   -0.000000   -0.000000
    0.473790    0.078353    0.078353    0.078353   -0.000000   -0.000000   -0.000000
    0.513273    0.086204    0.086204    0.086204   -0.000000   -0.000000   -0.000000
    0.552755    0.094423    0.094423    0.094423   -0.000000   -0.000000   -0.000000
    0.592238    0.103052    0.103052    0.103052   -0.000000   -0.000000   -0.000000
    0.631720    0.112129    0.112129    0.112129   -0.000000   -0.000000   -0.000000
    0.671203    0.121674    0.121674    0.121674   -0.000000   -0.000000   -0.000000
    0.710685    0.131679    0.131679    0.131679   -0.000000   -0.000000   -0.000000
    0.750168    0.142101    0.142101    0.142101   -0.000000   -0.000000   -0.000000
    0.789650    0.152866    0.152866    0.152866   -0.000000   -0.000000   -0.000000
    0.829133    0.163899    0.163899    0.163899   -0.000000   -0.000000   -0.000000
    0.868615    0.175187    0.175187    0.175187   -0.000000   -0.000000   -0.000000
    0.908098    0.186857    0.186857    0.186857   -0.000000   -0.000000   -0.000000
    0.947580    0.199268    0.199268    0.199268   -0.000000   -0.000000   -0.000000
    0.987063    0.213099    0.213099    0.213099   -0.000000   -0.000000   -0.000000
    1.026545    0.229466    0.229466    0.229466   -0.000000   -0.000000   -0.000000
    1.066028    0.250117    0.250117    0.250117   -0.000000   -0.000000   -0.000000
    1.105510    0.277778    0.277778    0.277778   -0.000000   -0.000000   -0.000000
    1.144993    0.316589    0.316589    0.316589   -0.000000   -0.000000   -0.000000
    1.184475    0.372395    0.372395    0.372395   -0.000000   -0.000000   -0.000000
    1.223958    0.452423    0.452423    0.452423   -0.000000   -0.000000   -0.000000
    1.263440    0.563865    0.563865    0.563865   -0.000000   -0.000000   -0.000000
    1.302923    0.711245    0.711245    0.711245   -0.000000   -0.000000   -0.000000
    1.342405    0.893202    0.893202    0.893202   -0.000000   -0.000000   -0.000000
    1.381888    1.100162    1.100162    1.100162   -0.000001   -0.000001   -0.000001
    1.421370    1.314629    1.314629    1.314629   -0.000001   -0.000001   -0.000001
    1.460853    1.515157    1.515157    1.515157   -0.000001   -0.000001   -0.000001
    1.500335    1.683303    1.683303    1.683303   -0.000002   -0.000002   -0.000002
    1.539818    1.811058    1.811058    1.811058   -0.000002   -0.000002   -0.000002
    1.579300    1.905326    1.905326    1.905326   -0.000003   -0.000003   -0.000003
    1.618783    1.987125    1.987125    1.987125   -0.000003   -0.000003   -0.000003
    1.658265    2.085415    2.085415    2.085415   -0.000003   -0.000003   -0.000003
    1.697748    2.228188    2.228188    2.228188   -0.000003   -0.000003   -0.000003
    1.737230    2.434530    2.434530    2.434530   -0.000004   -0.000004   -0.000004
    1.776713    2.710619    2.710619    2.710619   -0.000004   -0.000004   -0.000004
    1.816195    3.050549    3.050549    3.050549   -0.000005   -0.000005   -0.000005
    1.855678    3.440779    3.440779    3.440779   -0.000006   -0.000006   -0.000006
    1.895160    3.865972    3.865972    3.865972   -0.000007   -0.000007   -0.000007
    1.934643    4.314087    4.314087    4.314087   -0.000008   -0.000008   -0.000008
    1.974125    4.779293    4.779293    4.779293   -0.000009   -0.000009   -0.000009
    2.013608    5.261834    5.261834    5.261834   -0.000011   -0.000011   -0.000011
    2.053090    5.764590    5.764590    5.764590   -0.000013   -0.000013   -0.000013
    2.092573    6.287039    6.287039    6.287039   -0.000016   -0.000016   -0.000016
    2.132055    6.818488    6.818488    6.818488   -0.000018   -0.000018   -0.000018
    2.171538    7.333705    7.333705    7.333705   -0.000019   -0.000019   -0.000019
    2.211020    7.794108    7.794108    7.794108   -0.000019   -0.000019   -0.000019
    2.250503    8.155643    8.155643    8.155643   -0.000018   -0.000018   -0.000018
    2.289985    8.381702    8.381702    8.381702   -0.000015   -0.000015   -0.000015
    2.329468    8.456313    8.456313    8.456313   -0.000012   -0.000012   -0.000012
    2.368950    8.392416    8.392416    8.392416   -0.000008   -0.000008   -0.000008
    2.408433    8.231457    8.231457    8.231457   -0.000006   -0.000006   -0.000006
    2.447915    8.034145    8.034145    8.034145   -0.000006   -0.000006   -0.000006
    2.487398    7.865308    7.865308    7.865308   -0.000008   -0.000008   -0.000008
    2.526880    7.777758    7.777758    7.777758   -0.000011   -0.000011   -0.000011
    2.566363    7.799756    7.799756    7.799756   -0.000015   -0.000015   -0.000015
    2.605845    7.929196    7.929196    7.929196   -0.000019   -0.000019   -0.000019
    2.645328    8.135646    8.135646    8.135646   -0.000021   -0.000021   -0.000021
    2.684810    8.369157    8.369157    8.369157   -0.000022   -0.000022   -0.000022
    2.724293    8.573794    8.573794    8.573794   -0.000022   -0.000022   -0.000022
    2.763775    8.702320    8.702320    8.702320   -0.000021   -0.000021   -0.000021
    2.803258    8.728476    8.728476    8.728476   -0.000019   -0.000019   -0.000019
    2.842740    8.653204    8.653204    8.653204   -0.000018   -0.000018   -0.000018
    2.882223    8.502721    8.502721    8.502721   -0.000017   -0.000017   -0.000017
    2.921706    8.318894    8.318894    8.318894   -0.000016   -0.000016   -0.000016
    2.961188    8.145188    8.145188    8.145188   -0.000016   -0.000016   -0.000016
    3.000671    8.013517    8.013517    8.013517   -0.000017   -0.000017   -0.000017
    3.040153    7.936644    7.936644    7.936644   -0.000017   -0.000017   -0.000017
    3.079636    7.908782    7.908782    7.908782   -0.000018   -0.000018   -0.000018
    3.119118    7.912991    7.912991    7.912991   -0.000019   -0.000019   -0.000019
    3.158601    7.931274    7.931274    7.931274   -0.000021   -0.000021   -0.000021
