#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    9.256571    9.256571    9.256571   -0.000011   -0.000011   -0.000011
    0.039483    9.257748    9.257748    9.257748   -0.000011   -0.000011   -0.000011
    0.078965    9.261277    9.261277    9.261277   -0.000011   -0.000011   -0.000011
    0.118448    9.267178    9.267178    9.267178   -0.000011   -0.000011   -0.000011
    0.157930    9.275465    9.275465    9.275465   -0.000011   -0.000011   -0.000011
    0.197413    9.286176    9.286176    9.286176   -0.000011   -0.000011   -0.000011
    0.236895    9.299340    9.299340    9.299340   -0.000011   -0.000011   -0.000011
    0.276378    9.314993    9.314993    9.314993   -0.000011   -0.000011   -0.000011
    0.315860    9.333210    9.333210    9.333210   -0.000011   -0.000011   -0.000011
    0.355343    9.354036    9.354036    9.354036   -0.000011   -0.000011   -0.000011
    0.394825    9.377553    9.377553    9.377553   -0.000011   -0.000011   -0.000011
    0.434308    9.403848    9.403848    9.403848   -0.000011   -0.000011   -0.000011
    0.473790    9.433019    9.433019    9.433019   -0.000011   -0.000011   -0.000011
    0.513273    9.465175    9.465175    9.465175   -0.000011   -0.000011   -0.000011
    0.552755    9.500432    9.500432    9.500432   -0.000011   -0.000011   -0.000011
    0.592238    9.538920    9.538920    9.538920   -0.000011   -0.000011   -0.000011
    0.631720    9.580781    9.580781    9.580781   -0.000011   -0.000011   -0.000011
    0.671203    9.626179    9.626179    9.626179   -0.000011   -0.000011   -0.000011
    0.710685    9.675305    9.675305    9.675305   -0.000012   -0.000012   -0.000012
    0.750168    9.728425    9.728425    9.728425   -0.000012   -0.000012   -0.000012
    0.789650    9.785894    9.785894    9.785894   -0.000012   -0.000012   -0.000012
    0.829133    9.848244    9.848244    9.848244   -0.000012   -0.000012   -0.000012
    0.868615    9.916204    9.916204    9.916204   -0.000012   -0.000012   -0.000012
    0.908098    9.990711    9.990711    9.990711   -0.000012   -0.000012   -0.000012
    0.947580   10.072940   10.072940   10.072940   -0.000012   -0.000012   -0.000012
    0.987063   10.164262   10.164262   10.164262   -0.000012   -0.000012   -0.000012
    1.026545   10.266248   10.266248   10.266248   -0.000012   -0.000012   -0.000012
    1.066028   10.380654   10.380654   10.380654   -0.000013   -0.000013   -0.000013
    1.105510   10.509323   10.509323   10.509323   -0.000013   -0.000013   -0.000013
    1.144993   10.653706   10.653706   10.653706   -0.000013   -0.000013   -0.000013
    1.184475   10.814004   10.814004   10.814004   -0.000013   -0.000013   -0.000013
    1.223958   10.987745   10.987745   10.987745   -0.000013   -0.000013   -0.000013
    1.263440   11.168407   11.168407   11.168407   -0.000014   -0.000014   -0.000014
    1.302923   11.344863   11.344863   11.344863   -0.000014   -0.000014   -0.000014
    1.342405   11.502798   11.502798   11.502798   -0.000014   -0.000014   -0.000014
    1.381888   11.628329   11.628329   11.628329   -0.000015   -0.000015   -0.000015
    1.421370   11.713392   11.713392   11.713392   -0.000015   -0.000015   -0.000015
    1.460853   11.760571   11.760571   11.760571   -0.000016   -0.000016   -0.000016
