  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.25528009E+00  0.25528009E+00  0.25528009E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.39500000E-01  0.25530251E+00  0.25530251E+00  0.25530251E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.79000000E-01  0.25537585E+00  0.25537585E+00  0.25537585E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11840000E+00  0.25549600E+00  0.25549600E+00  0.25549600E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15790000E+00  0.25566491E+00  0.25566491E+00  0.25566491E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19740000E+00  0.25588248E+00  0.25588248E+00  0.25588248E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.23690000E+00  0.25614857E+00  0.25614857E+00  0.25614857E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.27640000E+00  0.25646702E+00  0.25646702E+00  0.25646702E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.31590000E+00  0.25683562E+00  0.25683562E+00  0.25683562E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.35530000E+00  0.25725612E+00  0.25725612E+00  0.25725612E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.39480000E+00  0.25773225E+00  0.25773225E+00  0.25773225E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.43430000E+00  0.25825964E+00  0.25825964E+00  0.25825964E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.47380000E+00  0.25884596E+00  0.25884596E+00  0.25884596E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.51330000E+00  0.25949068E+00  0.25949068E+00  0.25949068E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.55280000E+00  0.26019334E+00  0.26019334E+00  0.26019334E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.59220000E+00  0.26095935E+00  0.26095935E+00  0.26095935E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.63170000E+00  0.26178995E+00  0.26178995E+00  0.26178995E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.67120000E+00  0.26268646E+00  0.26268646E+00  0.26268646E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.71070000E+00  0.26365189E+00  0.26365189E+00  0.26365189E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.75020000E+00  0.26469114E+00  0.26469114E+00  0.26469114E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.78970000E+00  0.26581084E+00  0.26581084E+00  0.26581084E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.82910000E+00  0.26701730E+00  0.26701730E+00  0.26701730E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.86860000E+00  0.26832621E+00  0.26832621E+00  0.26832621E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.90810000E+00  0.26975087E+00  0.26975087E+00  0.26975087E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.94760000E+00  0.27131164E+00  0.27131164E+00  0.27131164E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.98710000E+00  0.27303388E+00  0.27303388E+00  0.27303388E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10265000E+01  0.27493844E+00  0.27493844E+00  0.27493844E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10660000E+01  0.27706005E+00  0.27706005E+00  0.27706005E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11055000E+01  0.27942177E+00  0.27942177E+00  0.27942177E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11450000E+01  0.28205016E+00  0.28205016E+00  0.28205016E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11845000E+01  0.28494493E+00  0.28494493E+00  0.28494493E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12240000E+01  0.28806521E+00  0.28806521E+00  0.28806521E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12634000E+01  0.29131315E+00  0.29131315E+00  0.29131315E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13029000E+01  0.29452307E+00  0.29452307E+00  0.29452307E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13424000E+01  0.29748845E+00  0.29748845E+00  0.29748845E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13819000E+01  0.30000986E+00  0.30000986E+00  0.30000986E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14214000E+01  0.30195705E+00  0.30195705E+00  0.30195705E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14609000E+01  0.30332924E+00  0.30332924E+00  0.30332924E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15003000E+01  0.30429364E+00  0.30429364E+00  0.30429364E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15398000E+01  0.30518119E+00  0.30518119E+00  0.30518119E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15793000E+01  0.30640106E+00  0.30640106E+00  0.30640106E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16188000E+01  0.30831764E+00  0.30831764E+00  0.30831764E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16583000E+01  0.31111518E+00  0.31111518E+00  0.31111518E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16977000E+01  0.31473678E+00  0.31473678E+00  0.31473678E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17372000E+01  0.31893522E+00  0.31893522E+00  0.31893522E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17767000E+01  0.32338350E+00  0.32338350E+00  0.32338350E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18162000E+01  0.32778703E+00  0.32778703E+00  0.32778703E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18557000E+01  0.33195323E+00  0.33195323E+00  0.33195323E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18952000E+01  0.33580480E+00  0.33580480E+00  0.33580480E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19346000E+01  0.33936017E+00  0.33936017E+00  0.33936017E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19741000E+01  0.34268998E+00  0.34268998E+00  0.34268998E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20136000E+01  0.34587311E+00  0.34587311E+00  0.34587311E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20531000E+01  0.34894036E+00  0.34894036E+00  0.34894036E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
