  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.30424661E+01  0.30424661E+01  0.30424661E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39500000E-01  0.30426470E+01  0.30426470E+01  0.30426470E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79000000E-01  0.30432390E+01  0.30432390E+01  0.30432390E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11840000E+00  0.30442091E+01  0.30442091E+01  0.30442091E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15790000E+00  0.30455731E+01  0.30455731E+01  0.30455731E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19740000E+00  0.30473308E+01  0.30473308E+01  0.30473308E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23690000E+00  0.30494813E+01  0.30494813E+01  0.30494813E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27640000E+00  0.30520567E+01  0.30520567E+01  0.30520567E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.31590000E+00  0.30550395E+01  0.30550395E+01  0.30550395E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35530000E+00  0.30584450E+01  0.30584450E+01  0.30584450E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39480000E+00  0.30623043E+01  0.30623043E+01  0.30623043E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43430000E+00  0.30665833E+01  0.30665833E+01  0.30665833E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47380000E+00  0.30713455E+01  0.30713455E+01  0.30713455E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51330000E+00  0.30765884E+01  0.30765884E+01  0.30765884E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55280000E+00  0.30823099E+01  0.30823099E+01  0.30823099E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59220000E+00  0.30885561E+01  0.30885561E+01  0.30885561E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.63170000E+00  0.30953397E+01  0.30953397E+01  0.30953397E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67120000E+00  0.31026738E+01  0.31026738E+01  0.31026738E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71070000E+00  0.31105865E+01  0.31105865E+01  0.31105865E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75020000E+00  0.31191215E+01  0.31191215E+01  0.31191215E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.78970000E+00  0.31283378E+01  0.31283378E+01  0.31283378E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.82910000E+00  0.31382928E+01  0.31382928E+01  0.31382928E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86860000E+00  0.31491227E+01  0.31491227E+01  0.31491227E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.90810000E+00  0.31609451E+01  0.31609451E+01  0.31609451E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94760000E+00  0.31739385E+01  0.31739385E+01  0.31739385E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98710000E+00  0.31883251E+01  0.31883251E+01  0.31883251E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10265000E+01  0.32042913E+01  0.32042913E+01  0.32042913E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10660000E+01  0.32221431E+01  0.32221431E+01  0.32221431E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11055000E+01  0.32420881E+01  0.32420881E+01  0.32420881E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11450000E+01  0.32643608E+01  0.32643608E+01  0.32643608E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11845000E+01  0.32889520E+01  0.32889520E+01  0.32889520E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12240000E+01  0.33154720E+01  0.33154720E+01  0.33154720E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12634000E+01  0.33429797E+01  0.33429797E+01  0.33429797E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13029000E+01  0.33698717E+01  0.33698717E+01  0.33698717E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13424000E+01  0.33941292E+01  0.33941292E+01  0.33941292E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13819000E+01  0.34138344E+01  0.34138344E+01  0.34138344E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14214000E+01  0.34278520E+01  0.34278520E+01  0.34278520E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14609000E+01  0.34364520E+01  0.34364520E+01  0.34364520E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15003000E+01  0.34416137E+01  0.34416137E+01  0.34416137E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15398000E+01  0.34467412E+01  0.34467412E+01  0.34467412E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15793000E+01  0.34556474E+01  0.34556474E+01  0.34556474E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16188000E+01  0.34713282E+01  0.34713282E+01  0.34713282E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16583000E+01  0.34948838E+01  0.34948838E+01  0.34948838E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16977000E+01  0.35251642E+01  0.35251642E+01  0.35251642E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17372000E+01  0.35593476E+01  0.35593476E+01  0.35593476E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17767000E+01  0.35939544E+01  0.35939544E+01  0.35939544E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18162000E+01  0.36258999E+01  0.36258999E+01  0.36258999E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18557000E+01  0.36531602E+01  0.36531602E+01  0.36531602E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18952000E+01  0.36749249E+01  0.36749249E+01  0.36749249E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19346000E+01  0.36913240E+01  0.36913240E+01  0.36913240E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19741000E+01  0.37028741E+01  0.37028741E+01  0.37028741E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20136000E+01  0.37099189E+01  0.37099189E+01  0.37099189E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
