#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.042720    9.289609    9.678461    9.848095    0.000067    0.000000    0.000000
    0.085439   17.628787   18.218614   18.892410    0.000036    0.000000    0.000000
    0.128159   24.252337   24.758773   26.455211   -0.000137    0.000000    0.000000
    0.170879   28.720378   28.894003   32.097140   -0.000421    0.000000    0.000000
    0.213598   30.975590   30.703837   35.691477   -0.000730    0.000000    0.000000
    0.256318   31.299872   30.633987   37.430472   -0.000962    0.000000    0.000000
    0.299038   30.187777   29.295787   37.754243   -0.001053    0.000000    0.000000
    0.341757   28.186726   27.271508   37.226966   -0.000988    0.000000    0.000000
    0.384477   25.767266   24.994509   36.416030   -0.000804    0.000000    0.000000
    0.427197   23.264378   22.726954   35.824749   -0.000561    0.000000    0.000000
    0.469916   20.889602   20.607993   35.887238   -0.000315    0.000000    0.000000
    0.512636   18.778237   18.721532   36.985639   -0.000101    0.000000    0.000000
    0.555356   17.028104   17.139484   39.432306    0.000072    0.000000    0.000000
    0.598075   15.708332   15.925359   43.388746    0.000208    0.000000    0.000000
    0.640795   14.845604   15.112372   48.754506    0.000318    0.000000    0.000000
    0.683514   14.411640   14.682906   55.100319    0.000406    0.000000    0.000000
    0.726234   14.329939   14.569602   61.711353    0.000470    0.000000    0.000000
    0.768954   14.502383   14.680275   67.746016    0.000502    0.000000    0.000000
    0.811673   14.841160   14.933058   72.447961    0.000502    0.000000    0.000000
    0.854393   15.290616   15.283772   75.320517    0.000475    0.000000    0.000000
    0.897113   15.831943   15.734200   76.198942    0.000438    0.000000    0.000000
    0.939832   16.475263   16.321513   75.215464    0.000408    0.000000    0.000000
    0.982552   17.247288   17.096620   72.699432    0.000398    0.000000    0.000000
    1.025272   18.180615   18.101133   69.068411    0.000415    0.000000    0.000000
    1.067991   19.304253   19.350384   64.745785    0.000454    0.000000    0.000000
    1.110711   20.633086   20.826256   60.115503    0.000505    0.000000    0.000000
    1.153431   22.156529   22.481261   55.505579    0.000560    0.000000    0.000000
    1.196150   23.831631   24.251743   51.186473    0.000617    0.000000    0.000000
    1.238870   25.588089   26.075756   47.373231    0.000678    0.000000    0.000000
    1.281590   27.348754   27.908962   44.225294    0.000744    0.000000    0.000000
    1.324309   29.059799   29.732623   41.843537    0.000812    0.000000    0.000000
    1.367029   30.717857   31.551510   40.267958    0.000875    0.000000    0.000000
    1.409749   32.379101   33.384320   39.478770    0.000919    0.000000    0.000000
    1.452468   34.142789   35.251900   39.402255    0.000932    0.000000    0.000000
    1.495188   36.113151   37.168789   39.920396    0.000911    0.000000    0.000000
    1.537908   38.354551   39.140657   40.883318    0.000860    0.000000    0.000000
    1.580627   40.859733   41.167058   42.124449    0.000792    0.000000    0.000000
    1.623347   43.544938   43.246138   43.478826    0.000724    0.000000    0.000000
    1.666067   46.275919   45.378601   44.802084    0.000666    0.000000    0.000000
    1.708786   48.914370   47.569016   45.986269    0.000616    0.000000    0.000000
    1.751506   51.365103   49.824300   46.966839    0.000562    0.000000    0.000000
    1.794226   53.603131   52.148833   47.718555    0.000486    0.000000    0.000000
    1.836945   55.667849   54.535799   48.243011    0.000376    0.000000    0.000000
    1.879665   57.627106   56.955116   48.554419    0.000232    0.000000    0.000000
    1.922384   59.526231   59.340532   48.669614    0.000074    0.000000    0.000000
    1.965104   61.344856   61.580100   48.602590   -0.000065    0.000000    0.000000
    2.007824   62.980491   63.519594   48.360334   -0.000151    0.000000    0.000000
    2.050543   64.267303   64.982424   47.937349   -0.000162    0.000000    0.000000
    2.093263   65.024028   65.806118   47.312146   -0.000096    0.000000    0.000000
    2.135983   65.113272   65.883868   46.451871    0.000022    0.000000    0.000000
    2.178702   64.488776   65.196481   45.328492    0.000159    0.000000    0.000000
    2.221422   63.211964   63.820717   43.939969    0.000280    0.000000    0.000000
    2.264142   61.432593   61.910431   42.324230    0.000364    0.000000    0.000000
    2.306861   59.343427   59.659808   40.555728    0.000403    0.000000    0.000000
    2.349581   57.130484   57.262999   38.725179    0.000403    0.000000    0.000000
    2.392301   54.936697   54.883035   36.912629    0.000370    0.000000    0.000000
    2.435020   52.847059   52.634543   35.169252    0.000310    0.000000    0.000000
    2.477740   50.894160   50.579186   33.515866    0.000231    0.000000    0.000000
    2.520460   49.074310   48.731334   31.956757    0.000141    0.000000    0.000000
    2.563179   47.368075   47.071942   30.498973    0.000054    0.000000    0.000000
    2.605899   45.760719   45.569546   29.165789   -0.000015    0.000000    0.000000
    2.648619   44.259495   44.203675   27.997821   -0.000053    0.000000    0.000000
    2.691338   42.903384   42.983143   27.042198   -0.000054    0.000000    0.000000
    2.734058   41.759219   41.949493   26.335970   -0.000024    0.000000    0.000000
    2.776778   40.902121   41.161288   25.891168    0.000020    0.000000    0.000000
    2.819497   40.383123   40.663308   25.686590    0.000050    0.000000    0.000000
    2.862217   40.195751   40.452149   25.668912    0.000032    0.000000    0.000000
    2.904937   40.255644   40.453723   25.762039   -0.000059    0.000000    0.000000
    2.947656   40.404715   40.524067   25.881678   -0.000232    0.000000    0.000000
    2.990376   40.442389   40.476384   25.950843   -0.000470    0.000000    0.000000
    3.033096   40.174584   40.127163   25.912358   -0.000735    0.000000    0.000000
    3.075815   39.463124   39.344841   25.735951   -0.000981    0.000000    0.000000
    3.118535   38.257442   38.083705   25.419510   -0.001167    0.000000    0.000000
    3.161255   36.599050   36.390610   24.986060   -0.001271    0.000000    0.000000
    3.203974   34.600629   34.385131   24.477697   -0.001292    0.000000    0.000000
    3.246694   32.411688   32.222550   23.947230   -0.001247    0.000000    0.000000
    3.289413   30.184440   30.055541   23.447723   -0.001161    0.000000    0.000000
    3.332133   28.049066   28.005775   23.021733   -0.001059    0.000000    0.000000
    3.374853   26.100529   26.150801   22.693879   -0.000957    0.000000    0.000000
    3.417572   24.394666   24.524133   22.469856   -0.000866    0.000000    0.000000
    3.460292   22.950554   23.124257   22.342752   -0.000787    0.000000    0.000000
    3.503012   21.756228   21.927016   22.302877   -0.000720    0.000000    0.000000
    3.545731   20.776571   20.897839   22.345557   -0.000661    0.000000    0.000000
    3.588451   19.961798   20.000614   22.472352   -0.000606    0.000000    0.000000
    3.631171   19.255976   19.202297   22.685080   -0.000549    0.000000    0.000000
    3.673890   18.605007   18.473926   22.975767   -0.000486    0.000000    0.000000
