#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   87.314007   87.786654  114.532634   -0.000201    0.000000    0.000000
    0.042720   85.988818   86.313891  113.360940   -0.000265    0.000000    0.000000
    0.085439   82.219066   82.170431  110.005824   -0.000418    0.000000    0.000000
    0.128159   76.575136   76.098014  104.923486   -0.000564    0.000000    0.000000
    0.170879   69.862434   69.087662   98.793032   -0.000603    0.000000    0.000000
    0.213598   62.939878   62.112055   92.393909   -0.000482    0.000000    0.000000
    0.256318   56.538990   55.905155   86.457281   -0.000211    0.000000    0.000000
    0.299038   51.140811   50.858933   81.534813    0.000142    0.000000    0.000000
    0.341757   46.945535   47.050200   77.932614    0.000489    0.000000    0.000000
    0.384477   43.930955   44.354312   75.725441    0.000762    0.000000    0.000000
    0.427197   41.954784   42.576103   74.821155    0.000928    0.000000    0.000000
    0.469916   40.844890   41.538698   75.017172    0.000994    0.000000    0.000000
    0.512636   40.442657   41.109000   76.008020    0.000986    0.000000    0.000000
    0.555356   40.601655   41.176761   77.352451    0.000939    0.000000    0.000000
    0.598075   41.170245   41.624200   78.455218    0.000872    0.000000    0.000000
    0.640795   41.987634   42.315309   78.625997    0.000795    0.000000    0.000000
    0.683514   42.902431   43.113403   77.227253    0.000707    0.000000    0.000000
    0.726234   43.800675   43.912686   73.859343    0.000610    0.000000    0.000000
    0.768954   44.624494   44.661776   68.494146    0.000509    0.000000    0.000000
    0.811673   45.369448   45.365511   61.487718    0.000417    0.000000    0.000000
    0.854393   46.064876   46.064521   53.469865    0.000348    0.000000    0.000000
    0.897113   46.749163   46.804880   45.167243    0.000313    0.000000    0.000000
    0.939832   47.451283   47.611350   37.239843    0.000309    0.000000    0.000000
    0.982552   48.182244   48.473650   30.181771    0.000326    0.000000    0.000000
    1.025272   48.932280   49.347566   24.295259    0.000350    0.000000    0.000000
    1.067991   49.670680   50.167170   19.714892    0.000365    0.000000    0.000000
    1.110711   50.348061   50.863428   16.450111    0.000366    0.000000    0.000000
    1.153431   50.904215   51.382459   14.424912    0.000354    0.000000    0.000000
    1.196150   51.284832   51.698920   13.505688    0.000333    0.000000    0.000000
    1.238870   51.462912   51.818813   13.517687    0.000302    0.000000    0.000000
    1.281590   51.455323   51.772126   14.255827    0.000259    0.000000    0.000000
    1.324309   51.323333   51.598262   15.495320    0.000197    0.000000    0.000000
    1.367029   51.151889   51.330699   17.005015    0.000111    0.000000    0.000000
    1.409749   51.012967   50.987494   18.562710    0.000000    0.000000    0.000000
    1.452468   50.928799   50.569459   19.970079   -0.000126    0.000000    0.000000
    1.495188   50.851250   50.065406   21.065148   -0.000251    0.000000    0.000000
    1.537908   50.669442   49.459651   21.732305   -0.000359    0.000000    0.000000
    1.580627   50.244071   48.737704   21.908831   -0.000443    0.000000    0.000000
    1.623347   49.455295   47.887856   21.586945   -0.000503    0.000000    0.000000
    1.666067   48.244239   46.898868   20.808242   -0.000550    0.000000    0.000000
    1.708786   46.630066   45.755579   19.649619   -0.000599    0.000000    0.000000
    1.751506   44.694321   44.433809   18.203089   -0.000659    0.000000    0.000000
    1.794226   42.539113   42.895439   16.556137   -0.000727    0.000000    0.000000
    1.836945   40.237292   41.085691   14.778765   -0.000787    0.000000    0.000000
    1.879665   37.797809   38.934757   12.920235   -0.000814    0.000000    0.000000
    1.922384   35.161254   36.367603   11.012247   -0.000784    0.000000    0.000000
    1.965104   32.229332   33.323205    9.073191   -0.000689    0.000000    0.000000
    2.007824   28.915993   29.781686    7.111319   -0.000542    0.000000    0.000000
    2.050543   25.199814   25.790097    5.129645   -0.000377    0.000000    0.000000
    2.093263   21.156082   21.475342    3.136260   -0.000233    0.000000    0.000000
    2.135983   16.954273   17.034256    1.158248   -0.000145    0.000000    0.000000
    2.178702   12.820746   12.699910   -0.749183   -0.000127    0.000000    0.000000
    2.221422    8.980876    8.694510   -2.507546   -0.000172    0.000000    0.000000
    2.264142    5.604220    5.186191   -4.035138   -0.000260    0.000000    0.000000
    2.306861    2.772828    2.264118   -5.273129   -0.000367    0.000000    0.000000
    2.349581    0.481147   -0.063250   -6.203076   -0.000476    0.000000    0.000000
    2.392301   -1.339168   -1.851881   -6.846435   -0.000575    0.000000    0.000000
    2.435020   -2.784593   -3.197455   -7.246947   -0.000658    0.000000    0.000000
    2.477740   -3.948869   -4.209729   -7.447341   -0.000719    0.000000    0.000000
    2.520460   -4.902803   -4.989785   -7.473087   -0.000750    0.000000    0.000000
    2.563179   -5.685491   -5.612336   -7.330898   -0.000749    0.000000    0.000000
    2.605899   -6.305741   -6.116531   -7.020561   -0.000722    0.000000    0.000000
    2.648619   -6.753210   -6.509481   -6.552044   -0.000679    0.000000    0.000000
    2.691338   -7.018444   -6.783944   -5.958428   -0.000640    0.000000    0.000000
    2.734058   -7.117498   -6.945339   -5.298981   -0.000628    0.000000    0.000000
    2.776778   -7.112422   -7.037064   -4.651447   -0.000662    0.000000    0.000000
    2.819497   -7.117022   -7.151334   -4.097218   -0.000749    0.000000    0.000000
    2.862217   -7.280962   -7.417617   -3.704518   -0.000882    0.000000    0.000000
    2.904937   -7.753610   -7.969983   -3.514768   -0.001032    0.000000    0.000000
    2.947656   -8.638668   -8.903837   -3.535495   -0.001158    0.000000    0.000000
    2.990376   -9.956655  -10.238424   -3.741163   -0.001219    0.000000    0.000000
    3.033096  -11.630672  -11.900310   -4.080763   -0.001186    0.000000    0.000000
    3.075815  -13.502335  -13.735946   -4.489288   -0.001057    0.000000    0.000000
    3.118535  -15.371724  -15.549389   -4.899769   -0.000852    0.000000    0.000000
    3.161255  -17.046012  -17.151357   -5.253729   -0.000607    0.000000    0.000000
    3.203974  -18.379107  -18.401727   -5.509279   -0.000363    0.000000    0.000000
    3.246694  -19.291974  -19.232286   -5.646684   -0.000150    0.000000    0.000000
    3.289413  -19.772432  -19.646417   -5.670302    0.000018    0.000000    0.000000
    3.332133  -19.861653  -19.701496   -5.605137    0.000139    0.000000    0.000000
    3.374853  -19.635415  -19.484234   -5.488007    0.000222    0.000000    0.000000
    3.417572  -19.186061  -19.087650   -5.356062    0.000277    0.000000    0.000000
    3.460292  -18.607692  -18.594217   -5.237783    0.000315    0.000000    0.000000
    3.503012  -17.984881  -18.067256   -5.150791    0.000345    0.000000    0.000000
    3.545731  -17.384998  -17.549048   -5.107092    0.000373    0.000000    0.000000
    3.588451  -16.853953  -17.064060   -5.121983    0.000401    0.000000    0.000000
    3.631171  -16.414696  -16.624092   -5.221243    0.000430    0.000000    0.000000
    3.673890  -16.068096  -16.232573   -5.442231    0.000457    0.000000    0.000000
    3.716610  -15.795827  -15.886519   -5.827792    0.000476    0.000000    0.000000
    3.759330  -15.565759  -15.576651   -6.414672    0.000481    0.000000    0.000000
    3.802049  -15.339734  -15.287605   -7.220056    0.000468    0.000000    0.000000
    3.844769  -15.082885  -14.999974   -8.229925    0.000436    0.000000    0.000000
    3.887489  -14.772140  -14.694268   -9.392929    0.000392    0.000000    0.000000
